enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_DPAMQ1ERx_L_fwd_pc	enzyme_DPAMQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DPAMQ1ERx_L	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_DPAMQ1ERx_L_rev_pc	enzyme_DPAMQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DPAMQ1ERx_L	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_DPCHR1ERx_L_fwd_pc	enzyme_DPCHR1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DPCHR1ERx_L	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_DPCHR1ERx_L_rev_pc	enzyme_DPCHR1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	DPCHR1ERx_L	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_ESTRADIOL23Q1ERx_fwd_pc	enzyme_ESTRADIOL23Q1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRADIOL23Q1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_ESTRADIOL23Q1ERx_rev_pc	enzyme_ESTRADIOL23Q1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRADIOL23Q1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_ESTRADIOL34Q1ERx_fwd_pc	enzyme_ESTRADIOL34Q1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRADIOL34Q1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_ESTRADIOL34Q1ERx_rev_pc	enzyme_ESTRADIOL34Q1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRADIOL34Q1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_ESTRONE23Q1ERx_fwd_pc	enzyme_ESTRONE23Q1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRONE23Q1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_ESTRONE23Q1ERx_rev_pc	enzyme_ESTRONE23Q1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRONE23Q1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_ESTRONE34Q1ERx_fwd_pc	enzyme_ESTRONE34Q1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRONE34Q1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_ESTRONE34Q1ERx_rev_pc	enzyme_ESTRONE34Q1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ESTRONE34Q1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_IND56Q1ERx_fwd_pc	enzyme_IND56Q1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	IND56Q1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
enzyme_IND56Q1ERx_rev_pc	enzyme_IND56Q1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	IND56Q1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
enzyme_NRPPHRCHR1ERx_fwd_pc	enzyme_NRPPHRCHR1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	NRPPHRCHR1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(135310.99365450782);cplx_COMPLEX_CYB5R3_B5B_pc(155183.4697183303);cplx_MONOMER_CYB5R3_pc(90411.35028515445)	135310.99365450782;155183.4697183303;90411.35028515445	234000.0
