complex	subunits	compartment	reactions	genes	coefficients	cofactors	notes
cplx_MONOMER_ACTG1	protein_ACTG1	c	NTPA	ACTG1	1		ASSUMED MONOMER
cplx_MONOMER_ACTG2	protein_ACTG2	c	NTPA	ACTG2	1		ASSUMED MONOMER
cplx_HOMODIMER_ACY1	protein_ACY1	c	ACMDAC;NACCYSDAC	ACY1	2
cplx_MONOMER_ACYP1	protein_ACYP1	c	ACYP;E14BPP;ACYP2	ACYP1	1		ASSUMED MONOMER
cplx_MONOMER_ACYP2	protein_ACYP2	c	ACYP;E14BPP;ACYP2	ACYP2	1		ASSUMED MONOMER
cplx_MONOMER_ADA	protein_ADA	c	ADA;DADA;RBVDA	ADA	1
cplx_MONOMER_ADCY10	protein_ADCY10	c	ADNCYC	ADCY10	1
cplx_MONOMER_ADCY2	protein_ADCY2	c	ADNCYC	ADCY2	1
cplx_HOMODIMER_ADH5	protein_ADH5	c	FAWOXx_10_10OH;FAWOXx_10_10OXO;FAWOXx_12_12OH;FAWOXx_12_12OXO;FAWOXx_14_14OH;FAWOXx_14_14OXO;FAWOXx_16_016OH;FAWOXx_16_016OXO;FAWOXx_20_5Z8Z11Z14Z20OH;FAWOXx_20_5Z8Z11Z14Z20OXO;FAWOXx_22_22OH;FAWOXx_22_22OXO;HMGTHDH;ALCD2x;LCARR;LCARS;GTHNORDx;LALDO	ADH5	2
cplx_MONOMER_ADI1	protein_ADI1	c	ARDFE2;ARDNI2	ADI1	1
cplx_MONOMER_ADK	protein_ADK	c	ADNK1;4PYRNK;NRHK;DADNK1;AICAK;RBVK	ADK	1
cplx_MONOMER_ADO	protein_ADO	c	CYSAMO	ADO	1
cplx_MONOMER_ADPGK	protein_ADPGK	c	ADPGK;ADPGKa	ADPGK	1
cplx_MONOMER_ADPRS	protein_ADPRS	c	ADPRDACAC1;NADN2;POLYADPRH;PROTSADPRH	ADPRS	1
cplx_HOMOTETRAMER_ADSL	protein_ADSL	c	ADSL1;ADSL2	ADSL	4
cplx_HOMODIMER_ADSS2	protein_ADSS2	c	ADSS	ADSS2	2
cplx_HOMODIMER_AFMID	protein_AFMID	c	FKYNH	AFMID	2
cplx_MONOMER_AGL	protein_AGL	c	AMGLSDASEa;GLDBRAN	AGL	1
cplx_MONOMER_AGPAT1	protein_AGPAT1	c	LPAAT	AGPAT1	1		ASSUMED MONOMER
cplx_MONOMER_AGPAT3	protein_AGPAT3	c	LPAAT;LPCAT;LPIAT;LPSAT	AGPAT3	1		ASSUMED MONOMER
cplx_MONOMER_AGPAT4	protein_AGPAT4	c	LPAAT	AGPAT4	1		ASSUMED MONOMER
cplx_COMPLEX_AGT_ANPEP	protein_AGT;protein_ANPEP	c	ANGIO3ARGH	AGT;ANPEP	1;2
cplx_COMPLEX_AGT_DNPEP	protein_AGT;protein_DNPEP	c	ANGIO2ASPH	AGT;DNPEP	1;12
cplx_COMPLEX_AGT_DPP3	protein_AGT;protein_DPP3	c	ANGIO2DDP;ANGIO3ARGH;ANGIO4DDP	AGT;DPP3	1;1
cplx_COMPLEX_AGT_PREP	protein_AGT;protein_PREP	c	ANGIO58PEP	AGT;PREP	1;1
cplx_COMPLEX_AGT_THOP1	protein_AGT;protein_THOP1	c	ANGIO1THOP	AGT;THOP1	1;1
cplx_HOMOTETRAMER_AHCY	protein_AHCY	c	AHC;SEAHCYSHYD	AHCY	4
cplx_MONOMER_AK1	protein_AK1	c	ADK1;NDPK1;NDPK2;NDPK3;ADK3;ADK4;ADK5;ADK6;DADK3;DADK4;DADK5;DADK6;DADK1;ADK7;DADK7	AK1	1
