enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_ADPT_pc	enzyme_ADPT	cplx_HOMODIMER_APRT_pc	ADPT	forward	pc	cplx_HOMODIMER_APRT_pc(99634.56466255264)	99634.56466255264	234000.0
enzyme_ADPT_rev_pc	enzyme_ADPT_rev	cplx_HOMODIMER_APRT_pc	ADPT	reverse	pc	cplx_HOMODIMER_APRT_pc(0)	0	234000.0
enzyme_DPGase_pc	enzyme_DPGase	cplx_HOMODIMER_BPGM_pc	DPGase	forward	pc	cplx_HOMODIMER_BPGM_pc(137080.6683256151)	137080.6683256151	234000.0
enzyme_DPGase_rev_pc	enzyme_DPGase_rev	cplx_HOMODIMER_BPGM_pc	DPGase	reverse	pc	cplx_HOMODIMER_BPGM_pc(0)	0	234000.0
enzyme_DPGM_pc	enzyme_DPGM	cplx_HOMODIMER_BPGM_pc;cplx_HOMODIMER_PGAM1_pc	DPGM	forward	pc	cplx_HOMODIMER_BPGM_pc(137080.6683256151);cplx_HOMODIMER_PGAM1_pc(132953.5323308509)	137080.6683256151;132953.5323308509	234000.0
enzyme_DPGM_rev_pc	enzyme_DPGM_rev	cplx_HOMODIMER_BPGM_pc;cplx_HOMODIMER_PGAM1_pc	DPGM	reverse	pc	cplx_HOMODIMER_BPGM_pc(137080.6683256151);cplx_HOMODIMER_PGAM1_pc(132953.5323308509)	137080.6683256151;132953.5323308509	234000.0
enzyme_PGM_pc	enzyme_PGM	cplx_HOMODIMER_BPGM_pc;cplx_HOMODIMER_PGAM1_pc	PGM	forward	pc	cplx_HOMODIMER_BPGM_pc(137080.6683256151);cplx_HOMODIMER_PGAM1_pc(132953.5323308509)	137080.6683256151;132953.5323308509	234000.0
enzyme_PGM_rev_pc	enzyme_PGM_rev	cplx_HOMODIMER_BPGM_pc;cplx_HOMODIMER_PGAM1_pc	PGM	reverse	pc	cplx_HOMODIMER_BPGM_pc(137080.6683256151);cplx_HOMODIMER_PGAM1_pc(132953.5323308509)	137080.6683256151;132953.5323308509	234000.0
enzyme_ENO_pc	enzyme_ENO	cplx_HOMODIMER_ENO1_pc;cplx_HETERODIMER_ENO_AG_pc;cplx_HETERODIMER_ENO_AB_pc;cplx_HOMODIMER_ENO2_pc;cplx_HETERODIMER_ENO_BG_pc;cplx_HOMODIMER_ENO3_pc	ENO	forward	pc	cplx_HOMODIMER_ENO1_pc(192470.81975221806);cplx_HETERODIMER_ENO_AG_pc(192595.46121340993);cplx_HETERODIMER_ENO_AB_pc(192193.67361500897);cplx_HOMODIMER_ENO2_pc(192720.0757924438);cplx_HETERODIMER_ENO_BG_pc(192318.37493316917);cplx_HOMODIMER_ENO3_pc(191916.3941973793)	192470.81975221806;192595.46121340993;192193.67361500897;192720.0757924438;192318.37493316917;191916.3941973793	234000.0
enzyme_ENO_rev_pc	enzyme_ENO_rev	cplx_HOMODIMER_ENO1_pc;cplx_HETERODIMER_ENO_AG_pc;cplx_HETERODIMER_ENO_AB_pc;cplx_HOMODIMER_ENO2_pc;cplx_HETERODIMER_ENO_BG_pc;cplx_HOMODIMER_ENO3_pc	ENO	reverse	pc	cplx_HOMODIMER_ENO1_pc(192470.81975221806);cplx_HETERODIMER_ENO_AG_pc(192595.46121340993);cplx_HETERODIMER_ENO_AB_pc(192193.67361500897);cplx_HOMODIMER_ENO2_pc(192720.0757924438);cplx_HETERODIMER_ENO_BG_pc(192318.37493316917);cplx_HOMODIMER_ENO3_pc(191916.3941973793)	192470.81975221806;192595.46121340993;192193.67361500897;192720.0757924438;192318.37493316917;191916.3941973793	234000.0
