	metabolites	metatlas	bigg.metabolite	vmhmetabolite
989	dpam__L_c	MAM01736c	dopa	dopa
990	dpam__L_e	MAM01736e	dopa	dopa
991	dpamchrm_c	MAM02160c	23dh1i56dio	23dh1i56dio
992	dpamchrmsqn_c	MAM01333c		CE5277
993	dpamqn__L_c
994	dpamsqn__L_c
995	dpchrm__D_c
996	dpchrm__L_c	MAM02355c	L_dpchrm	L_dpchrm
997	dpchrmsqn__L_c	MAM01735c		CE5278
998	dpcoa_c	MAM01674c	dpcoa	dpcoa
999	dtdp_c	MAM01747c	dtdp	dtdp
1000	dtmp_c	MAM01752c	dtmp	dtmp
1001	dttp_c	MAM01753c	dttp	dttp
1002	dudp_c	MAM01754c	dudp	dudp
1003	dump_c	MAM01755c	dump	dump
1004	dutp_c	MAM01756c	dutp	dutp
1005	e14bp_c
1006	e4hglu_c	MAM02358c	e4hglu	e4hglu
1007	e4p_c	MAM01785c	e4p	e4p
1008	edp1011_c
1009	edp1011_e
1010	edp1314_c
1011	edp1314_e
1012	edp1617_c
1013	edp1617_e
1014	edp1920_c
1015	edp1920_e
1016	edp78_c
1017	edp78_e
1018	eeq1112_c
1019	eeq1112_e
1020	eeq1415_c
1021	eeq1415_e
1022	eeq1718_c
1023	eeq1718_e
1024	eeq56_c
1025	eeq56_e
1026	eeq89_c
1027	eeq89_e
1028	eet1112_c	MAM00279c	C14770	C14770
1029	eet1112_e	MAM00279e	C14770	C14770
1030	eet1415_c	MAM00366c	C14771	C14771
1031	eet1415_e	MAM00366e	C14771	C14771
1032	eet56_c	MAM01054c	C14768	C14768
1033	eet56_e	MAM01054e	C14768	C14768
1034	eet89_c	MAM01209c	C14769	C14769
1035	eet89_e	MAM01209e	C14769	C14769
1036	epome1213_c	MAM00305c	C14826	C14826
1037	epome1213_e	MAM00305e	C14826	C14826
1038	epome910_c	MAM01216c	C14825	C14825
1039	epome910_e	MAM01216e	C14825	C14825
1040	ergoth_c
1041	ergoth_e
1042	erthn__D_c
1043	erthrs__D_c
1044	erylt_c
1045	erylt_e
1046	eryth__L_c	MAM02359c	eryth	eryth
1047	estradiol23qn_c	MAM00410c		CE5250
1048	estradiol23sqn_c	MAM00411c		CE5254
1049	estradiol34qn_c	MAM00412c		CE5249
1050	estradiol34sqn_c	MAM00413c	CE5253	CE5253
1051	estradiol_c	MAM01787c	estradiol	estradiol
1052	estradiol_e	MAM01787e	estradiol	estradiol
1053	estrone23qn_c	MAM01791c		CE5252
1054	estrone23sqn_c	MAM01792c		CE5256
1055	estrone34qn_c	MAM01793c		CE5251
1056	estrone34sqn_c	MAM01794c		CE5255
1057	estrone_c	MAM01790c	estrone	estrone
1058	estrone_e	MAM01790e	estrone	estrone
1059	etha_c	MAM01797c	etha	etha
1060	etha_e	MAM01797e	etha	etha
1061	ethamp_c	MAM01798c	ethamp	ethamp
1062	ethamp_e	MAM01798e	ethamp	ethamp
1063	ethmalcoa__S_c	MAM03576c	ethmalcoa	ethmalcoa
1064	etoh_c	MAM01796c	etoh	etoh
1065	etoh_e	MAM01796e	etoh	etoh
1066	f1p_c	MAM01842c	f1p	f1p
1068	f3p_c	MAM01844c		CE3074
1069	f6p_c	MAM01845c	f6p	f6p
1070	fad_c	MAM01802c	fad	fad
1071	fadh2_c	MAM01803c	fadh2	fadh2
1072	fald_c	MAM01831c	fald	fald
1073	fdp_c	MAM01841c	fdp	fdp
1074	fe2_c	MAM01821c	fe2	fe2
1075	fe2_e	MAM01821e	fe2	fe2
1076	fe3_c	MAM01822c	fe3	fe3
1077	fe3_e	MAM01822e	fe3	fe3
1078	fe3ooh_c
1079	fgam_c	MAM02575c	fgam	fgam
1080	ficytb5_c	MAM01823c	HC00617	HC00617
1081	fmn_c	MAM01828c	fmn	fmn
1082	fmnh2_c
1083	focytb5_c	MAM01825c	HC00619	HC00619
1084	for_c	MAM01833c	for	for
1085	for_e	MAM01833e	for	for
1086	forapyrntp_c	MAM01832c		HC01651
1087	fpram_c	MAM01132c	fpram	fpram
1088	fprica_c	MAM01804c	fprica	fprica
1089	fru_c	MAM01840c	fru	fru
1090	fru_e	MAM01840e	fru	fru
1091	fuc1p__L_c	MAM02372c	fuc1p__L	fuc1p_L
1092	fuc__L_c	MAM01159c	fuc__L	fuc_L
1093	fucgalacgalfuc12gal14acglcgalgluside_hs_c	MAM03097c	fucgalacgalfuc12gal14acglcgalgluside_hs	fucgalacgalfuc12gal14acglcgalgluside_hs
1094	fucgalacgalfucgalacglcgal14acglcgalgluside_hs_c	MAM01879c		fucgalacgalfucgalacglcgal14acglcgalgluside_hs
1095	fucgalacglcgal14acglcgalgluside_hs_c	MAM03137c	fucgalacglcgal14acglcgalgluside_hs	fucgalacglcgal14acglcgalgluside_hs
1096	fucgalacglcgalgluside_hs_c
1097	fum_c	MAM01862c	fum	fum
1098	fum_e	MAM01862e	fum	fum
1099	g16bp_c	MAM01966c	M01966	M01966
1100	g1p_c	MAM01967c	g1p	g1p
1101	g3p_c	MAM01939c	g3p	g3p
1102	g3pc_c	MAM02912c	g3pc	g3pc
1103	g3pe_c
1104	g3pi_c
1105	g3pnae_hs_c
1106	g3ps_c
1107	g6p__aD_c
1108	g6p_c	MAM01968c	g6p	g6p
1109	ga2_hs_c	MAM01905c	ga2_hs	ga2_hs
1110	gal1p_c	MAM01322c	gal1p	gal1p
1111	gal__bD_c
1112	gal__bD_e
1113	gal_c	MAM01910c	gal	gal
1114	gal_e	MAM01910e	gal	gal
1115	galfucgalacglcgal14acglcgalgluside_hs_c	MAM01915c	galfucgalacglcgal14acglcgalgluside_hs	galfucgalacglcgal14acglcgalgluside_hs
1116	galfucgalacglcgalgluside_hs_c	MAM03091c	galfucgalacglcgalgluside_hs	galfucgalacglcgalgluside_hs
1117	galgluside_hs_c	MAM03586c	galgluside_hs	galgluside_hs
1118	galt_c	MAM01909c	galt	galt
1119	galt_e	MAM01909e	galt	galt
1120	gam6p_c	MAM01963c	gam6p	gam6p
1121	gam_c	MAM01962c	gam	gam
1122	gam_e	MAM01962e	gam	gam
1123	gar_c	MAM01940c	gar	gar
1124	gbside_hs_c	MAM01959c	gbside_hs	gbside_hs
1125	gdp_c	MAM01948c	gdp	gdp
1126	gdpddman_c	MAM01949c	gdpddman	gdpddman
1127	gdpfuc_c	MAM01950c	gdpfuc	gdpfuc
1128	gdpmann_c	MAM01951c	gdpmann	gdpmann
1129	gglu2abut_c	MAM01931c		CE1661
1130	gglucys__L_c	MAM01927c	glucys	glucys
1131	ggn8Y_c		Tyr_ggn
1132	ggnG11_c	MAM01990c	glygn1	glygn1
1133	ggnG4G4_c	MAM01991c	dxtrn	dxtrn
1134	ggnG4G7_c	MAM01992c	glygn2	glygn2
1135	ggnG7G1_c	MAM01994c	HC02136	HC02136
1136	ggnG7_c	MAM01993c	glygn3	glygn3
1137	ggnG8_c	MAM01996c	ggn	ggn
1138	glc__D_c	MAM01965c	glc__D	glc_D
1139	glc__D_e	MAM01965e	glc__D	glc_D
1140	glc__aD_c
1141	glc__aD_e
1142	glcur_c	MAM01973c	glcur	glcur
1143	gln__L_c	MAM01975c	gln__L	gln_L
1144	gln__L_e	MAM01975e	gln__L	gln_L
1145	glntrna_c	MAM02376c		M02376
1146	globin_c
1147	globinr_c
1148	globoA_hs_c
1149	globoB_hs_c
1150	glu5sa__L_c	MAM02374c	glu5sa	glu5sa
1151	glu__L_c	MAM01974c	glu__L	glu_L
1152	glu__L_e	MAM01974e	glu__L	glu_L
1153	glutrna_c	MAM02377c		M02377
1154	glx_c	MAM02007c	glx	glx
1155	glx_e	MAM02007e	glx	glx
1156	gly_c	MAM01986c	gly	gly
1157	gly_e	MAM01986e	gly	gly
1158	glyald_c	MAM01981c	glyald	glyald
1159	glyb_c	MAM01393c	glyb	glyb
1160	glyc3p_c	MAM02914c	glyc3p	glyc3p
1161	glyc__R_c	MAM01982c	glyc__R	glyc_R
1162	glyc__R_e	MAM01982e	glyc__R	glyc_R
1163	glyc__S_c		glyc__S
1164	glyc__S_e		glyc__S
1165	glyc_c	MAM01983c	glyc	glyc
1166	glyc_e	MAM01983e	glyc	glyc
1167	glyclt_c	MAM01998c	glyclt	glyclt
1168	glyclt_e	MAM01998e	glyclt	glyclt
1169	glygly_c	MAM03621c	glygly	glygly
1170	glyleu_c	MAM03626c	glyleu	glyleu
1171	glyphe_c	MAM03629c	glyphe	glyphe
1172	glypro_c	MAM03630c	glypro	glypro
1173	glytrna_c	MAM02006c		M02006
1174	glytrp_c
1175	gm2_hs_c	MAM02011c	gm2_hs	HC02160
1176	gm3_hs_c	MAM02015c	gm3_hs	gm3_hs
1177	gmp_c	MAM02016c	gmp	gmp
1178	gp4g_c
1179	grdx2cgth_c
1180	grdx2cox_c
1181	grdx2crd_c
1182	gsn_c	MAM02038c	gsn	gsn
1183	gsn_e	MAM02038e	gsn	gsn
1184	gthnhoh_c
1185	gthno_c
1186	gthno_e
1187	gthnoh2_c
1188	gthox_c	MAM02027c	gthox	gthox
1189	gthox_e	MAM02027e	gthox	gthox
1190	gthrd_c	MAM02026c	gthrd	gthrd
1191	gtp_c	MAM02034c	gtp	gtp
1192	gua_c	MAM02037c	gua	gua
1193	gua_e	MAM02037e	gua	gua
1194	gudac_c	MAM02036c	gudac	gudac
1195	guln__L_c	MAM02378c	guln__L	guln
1196	h2o2_c	MAM02041c	h2o2	h2o2
1197	h2o2_e	MAM02041e	h2o2	h2o2
1198	h2o_c	MAM02040c	h2o	h2o
1199	h2o_e	MAM02040e	h2o	h2o
1200	h2s_c
1201	h2s_e
1202	h_c	MAM02039c	h	h
1203	h_e	MAM02039e	h	h
1204	ham_c
1205	hb4_23dpg_c
1206	hb_c
1207	hco3_c	MAM02046c	hco3	hco3
1208	hco3_e	MAM02046e	hco3	hco3
1209	hcys__L_c	MAM02133c	hcys__L	hcys_L
1210	hcys__L_e	MAM02133e	hcys__L	hcys_L
1211	hcystin__L_c	MAM03394c	Lhcystin	Lhcystin
1212	hcystin__L_e
1213	hdha10_c
1214	hdha10_e
1215	hdha11_c
1216	hdha11_e
1217	hdha13_c
1218	hdha13_e
1219	hdha14_c
1220	hdha14_e
1221	hdha16_c
1222	hdha16_e
1223	hdha17_c
1224	hdha17_e
1225	hdha20_c
1226	hdha20_e
1227	hdha4_c
1228	hdha4_e
1229	hdha7_c
1230	hdha7_e
1231	hdha8_c
1232	hdha8_e
1233	hematin_c
1234	hematin_e
1235	hemedegprods_c
1236	hemegth_c
1237	hemegthoh_c
1238	hepe11_c
1239	hepe11_e
1240	hepe12_c
1241	hepe12_e
1242	hepe15_c
1243	hepe15_e
1244	hepe18_c
1245	hepe18_e
1246	hepe5_c
1247	hepe5_e
1248	hepe8_c
1249	hepe8_e
1250	hepe9_c
1251	hepe9_e
1252	hete11_c
1253	hete11_e
1254	hete12_c
1255	hete12_e
1256	hete15_c
1257	hete15_e
1258	hete5_c
1259	hete5_e
1260	hete8_c
1261	hete8_e
1262	hete9_c
1263	hete9_e
1264	hgentis_c	MAM02135c	hgentis	hgentis
1265	his__L_c	MAM02125c	his__L	his_L
1266	his__L_e	MAM02125e	his__L	his_L
1267	hista_c	MAM02124c	hista	hista
1268	hista_e	MAM02124e	hista	hista
1269	histrna_c	MAM02380c		M02380
1270	hmbil_c	MAM02151c	hmbil	hmbil
1271	hmgth_c	MAM02152c	HC02121	HC02121
1272	hno_c
1273	hode13_c
1274	hode13_e
1275	hode9_c
1276	hode9_e
1277	homoval_c	MAM02137c	homoval	homoval
1278	homoval_e	MAM02137e	homoval	homoval
1279	hpdha10_c
1280	hpdha11_c
1281	hpdha13_c
1282	hpdha14_c
1283	hpdha16_c
1284	hpdha17_c
1285	hpdha20_c
1286	hpdha4_c
1287	hpdha7_c
1288	hpdha8_c
1289	hpepe11_c
1290	hpepe12_c
1291	hpepe15_c
1292	hpepe18_c
1293	hpepe5_c
1294	hpepe8_c
1295	hpepe9_c
1296	hpete11_c
1297	hpete12_c
1298	hpete15_c
1299	hpete5_c
1300	hpete8_c
1301	hpete9_c
1302	hpode13_c
1303	hpode9_c
1304	hpta_c	MAM02108c	M02108	M02108
1305	hpta_e	MAM02108e	M02108	M02108
1306	hptal_c
1307	hptea_2E_c
1308	hpteal_2E_c
1309	hpyr_c	MAM02154c	hpyr	hpyr
1310	htsul_c	MAM02043c	HC01501	HC01501
1311	hxaACP_c	MAM02121c		HC01592
1312	hxa_c	MAM02120c	caproic	caproic
1313	hxa_e	MAM02120e	caproic	caproic
1314	hxal_c
1315	hxan_c	MAM02159c	hxan	hxan
1316	hxan_e	MAM02159e	hxan	hxan
1317	hxdcaACP_c	MAM02115c	palmACP	palmACP
1318	hxdcal_c	MAM02113c	hxdcal	hxdcal
1319	hxdceaACP_2E_c	MAM00050c		HC01606
1320	hxdceal_2E_c	MAM02116c	HC02228	HC02228
1321	hxeaACP_2E_c	MAM00052c		HC01591
1322	hxea_2E_c
1323	hxeal_2E_c
1324	hyptaur_c	MAM02157c	hyptaur	hyptaur
1325	icit_c	MAM02183c	icit	icit
1326	idp_c	MAM02161c	idp	idp
1327	ile__L_c	MAM02184c	ile__L	ile_L
1328	ile__L_e	MAM02184e	ile__L	ile_L
1329	iletrna_c	MAM02401c		M02401
1330	imp_c	MAM02167c	imp	imp
1331	ind56qn_c	MAM03163c	ind56qn	"['ind56qn', 'M03163']"
1332	ind56sqn_c
1333	inds_c	MAM03703c		inds
1334	inds_e	MAM03703e		inds
1335	inost_c	MAM02171c	inost	inost
1336	inost_e	MAM02171e	inost	inost
1337	ins6p_c
1338	ins_c	MAM02170c	ins	ins
1339	ins_e	MAM02170e	ins	ins
1340	insulinox_c	MAM03169c		M03169
1341	insulinrd_c	MAM03170c		M03170
1342	itp_c	MAM02193c	itp	itp
1343	k_c	MAM02200c	k	k
1344	k_e	MAM02200e	k	k
1345	kdn_c	MAM00771c	kdn	kdn
1346	kdnp_c	MAM00772c	kdnp	kdnp
1347	kynate_c	MAM00990c	kynate	kynate
1348	kynr__L_c	MAM02319c	Lkynr	Lkynr
1349	kynr__L_e	MAM02319e	Lkynr	Lkynr
1350	lac__D_c	MAM01716c	lac__D	lac_D
1351	lac__D_e	MAM01716e	lac__D	lac_D
1352	lac__L_c	MAM02403c	lac__L	lac_L
1353	lac__L_e	MAM02403e	lac__L	lac_L
1354	lald__D_c	MAM01715c	lald__D	lald_D
1355	lald__L_c	MAM02329c	lald__L	lald_L
1356	leu__L_c	MAM02360c	leu__L	leu_L
1357	leu__L_e	MAM02360e	leu__L	leu_L
1358	leuadrnchrm_c
1359	leuala_c
1360	leudpamchrm_c	MAM02361c	CE5665	CE5665
1361	leudpchrm__L_c	MAM00638c	2c23dh56dhoxin	2c23dh56dhoxin
1362	leugly_c	MAM03714c	leugly	leugly
1363	leuglygly_c
1364	leuglyphe_c
1365	leuktrA4_c	MAM02362c	leuktrA4	leuktrA4
1366	leuktrA4_e	MAM02362e	leuktrA4	leuktrA4
1367	leuktrA5_c	MAM02363c	CE7079	CE7079
1368	leuktrA5_e
1369	leuktrB4_c	MAM02364c	leuktrB4	leuktrB4
1370	leuktrB4_e	MAM02364e	leuktrB4	leuktrB4
1371	leuktrB5_c	MAM02365c	CE7083	CE7083
1372	leuktrB5_e	MAM02365e	CE7083	CE7083
1373	leuktrC4_c	MAM02366c	leuktrC4	leuktrC4
1374	leuktrC4_e	MAM02366e	leuktrC4	leuktrC4
1375	leuktrC5_c	MAM02367c		CE7086
1376	leuktrC5_e
1377	leuleu_c	MAM03715c	leuleu	leuleu
1378	leuleuleu_c
1379	leunrpphrchrm_c
1380	leupro_c	MAM03717c	leupro	leupro
1381	leutrna_c	MAM02404c		M02404
1382	li1_c
1383	li1_e
1384	lipoate_c	MAM02394c	lipoate	lipoate
1385	lipoate_e	MAM02394e	lipoate	lipoate
1386	lnape_hs_c
1387	lpa_hs_c	MAM03419c	alpa_hs	alpa_hs
1388	lpail_hs_c
1389	lpao_hs_c	MAM03320c		C03968
1390	lpc_hs_c	MAM00656c	lpchol_hs	lpchol_hs
1391	lpco_hs_c
1392	lpcp_hs_c
1393	lpe_hs_c
1394	lpep_hs_c	MAM00223c		M00223
1395	lps_hs_c
1396	lys__L_c	MAM02426c	lys__L	lys_L
1397	lys__L_e	MAM02426e	lys__L	lys_L
1398	lysleu_c
1399	lystrna_c	MAM02405c		M02405
1400	lyxnt__L_c	MAM02406c	lyxnt	lyxnt
1401	m2mn_c	MAM00141c	m2mn	m2mn
1402	mag2_hs_c
1403	mag_hs_c	MAM00490c	mag_hs	mag_hs
1404	mago_hs_c
1405	malACP_c	MAM02442c	malACP	malACP
1406	mal__L_c	MAM02439c	mal__L	mal_L
1407	mal__L_e	MAM02439e	mal__L	mal_L
1408	malcoa_c	MAM02444c	malcoa	malcoa
1409	malcrn_c	MAM02443c	c3dc	"['c3dc', 'HC10859']"
1410	mald_c	MAM02441c	CE0737	CE0737
1411	man16bp_c	MAM01717c		C03693
1412	man1p_c	MAM02454c	man1p	man1p
1413	man6p_c	MAM02455c	man6p	man6p
1414	man_c	MAM02453c	man	man
1415	man_e	MAM02453e	man	man
1416	mdhdascb__L_c
1417	mdhdascb__L_e
1418	meoh_c	MAM02470c	meoh	meoh
1419	mepi__L_c	MAM02407c	mepi	mepi
1420	mepi__L_e	MAM02407e	mepi	mepi
1421	mercplac_c	MAM00815c	mercplac	mercplac
1422	mercppyr_c	MAM02464c	mercppyr	mercppyr
1423	met__L_c	MAM02471c	met__L	met_L
1424	met__L_e	MAM02471e	met__L	met_L
1425	methb_c
1426	methb_onoo_c
1427	methbr_c
1428	methf_c	MAM01044c	methf	methf
1429	methsel_c	MAM02469c		M02469
1430	methselne_c
1431	methselni_c
1432	metpro_c
1433	mettrna_c	MAM02408c		M02408
1434	mg2_c	MAM02482c		mg2
1435	mg2_e	MAM02482e		mg2
1436	mhista_c	MAM02601c	mhista	mhista
1437	mi13456p_c	MAM00521c	mi13456p	mi13456p
1438	mi1345p_c	MAM00522c	mi1345p	mi1345p
1439	mi134p_c	MAM00524c	mi134p	mi134p
1440	mi1456p_c	MAM00525c	mi1456p	mi1456p
1441	mi145p_c	MAM01718c	mi145p	mi145p
1442	mi14p_c	MAM00526c	mi14p	mi14p
1443	mi1p__D_c	MAM02173c	mi1p__D	mi1p_D
1444	mi3p__D_c	MAM00529c	mi3p__D	mi3p_D
1445	mi4p__D_c	MAM00530c	mi4p__D	mi4p_D
1446	mlthf_c	MAM01045c	mlthf	mlthf
1447	mma_c	MAM02473c	mma	mma
1448	mma_e	MAM02473e	mma	mma
1449	mmarg__L_c
1450	mmarg__L_e
1451	mmcoa__S_c	MAM02480c	mmcoa__S	mmcoa_S
1452	mn_c	MAM01382c	mn	mn
1453	mndiol_c
1454	mndn_c
1455	mobd_c
1456	mobd_e
1457	moco_c
1458	mpt_c	MAM02488c		M02488
1459	mptamp_c	MAM01281c		M01281
1460	msa_c	MAM00900c	msa	msa
1461	mthgxl_c	MAM02475c	mthgxl	mthgxl
1462	n2o3_c
1463	n2o3_e
1464	n4abutn_c	MAM02514c	n4abutn	n4abutn
1465	na1_c	MAM02519c	na1	na1
1466	na1_e	MAM02519e	na1	na1
1467	nac_c	MAM02586c	nac	nac
1468	nac_e	MAM02586e	nac	nac
1469	nad_c	MAM02552c	nad	nad
1470	nad_e	MAM02552e	nad	nad
1471	nadh_c	MAM02553c	nadh	nadh
1472	nadhx__R_c
1473	nadhx__S_c
1474	nadp_c	MAM02554c	nadp	nadp
1475	nadp_e	MAM02554e	nadp	nadp
1476	nadph_c	MAM02555c	nadph	nadph
1477	nadphx__R_c
1478	nadphx__S_c
1479	nae_hs_c
1480	nape_hs_c
1481	ncam_c	MAM02583c	ncam	ncam
1482	ncam_e	MAM02583e	ncam	ncam
1483	nh3_c
1484	nh3_e
1485	nh4_c	MAM02579c	nh4	nh4
1486	nh4_e	MAM02579e	nh4	nh4
1487	nicrns_c	MAM02584c	nicrns	nicrns
1488	nicrnt_c	MAM02585c	nicrnt	nicrnt
1489	nitrosylhb_c
1490	nmn_c	MAM02581c	nmn	nmn
1491	nmn_e
1492	nmnh_c
1493	no2_c	MAM02588c	no2	no2
1494	no2_e	MAM02588e	no2	no2
1495	no2r_c
1496	no3_c
1497	no3_e
1498	no_c	MAM02609c	no	no
1499	no_e	MAM02609e	no	no
1500	nona_c	MAM02614c	C01601	C01601
1501	nona_e	MAM02614e	C01601	C01601
1502	nonal_c
1503	nonea_2E_c
1504	noneal_2E_c
1505	normete__L_c	MAM02622c	normete__L	normete_L
1506	normete__L_e	MAM02622e	normete__L	normete_L
1507	nrpphr__L_c	MAM02617c	nrpphr	nrpphr
1508	nrpphr__L_e	MAM02617e	nrpphr	nrpphr
1509	nrpphrchrm_c	MAM02618c		CE5538
1510	nrpphrchrmsqn_c	MAM02619c		CE5542
1511	nrpphrqn__L_c
1512	nrpphrsqn__L_c
1513	nwharg_c	MAM02497c	nwharg	nwharg
1514	o18bp_c
1515	o2_c	MAM02630c	o2	o2
1516	o2_e	MAM02630e	o2	o2
1517	o2s_c	MAM02631c	o2s	o2s
1518	o2s_e	MAM02631e	o2s	o2s
1519	oaa_c	MAM02633c	oaa	oaa
1520	ocaACP_c	MAM02643c		HC01595
1521	ocdcaACP_c	MAM03389c	ocdcaACP	HC01988
1522	ocdceaACP_2E_c	MAM03392c		HC02099
1523	oceaACP_2E_c	MAM00058c		HC01594
1524	octa_c	MAM02642c	octa	octa
1525	octa_e	MAM02642e	octa	octa
1526	octal_c
1527	octea_2E_c
1528	octeal_2E_c
1529	oh1_c	MAM02147c	oh1	oh1
1530	oh1_e	MAM02147e	oh1	oh1
1531	oh1r_c
1532	onoo_c
1533	onoo_e
1534	onooco2_c
1535	onooh_c
1536	onooh_e
1537	ophth_c
1538	orn__L_c	MAM02658c	orn	orn
1539	orn__L_e	MAM02658e	orn	orn
1540	orot5p_c	MAM02660c	orot5p	orot5p
1541	orot_c	MAM02659c	orot	orot
1542	orot_e	MAM02659e	orot	orot
1543	oxa_c	MAM02661c	oxa	oxa
1544	oxa_e	MAM02661e	oxa	oxa
1545	oxoferrylhb_c
1546	oxoferrylhbr_c
1547	oxyhb_c
1548	p4a_c
1549	pa_hs_c	MAM02733c	pa_hs	pa_hs
1550	pac_c	MAM02720c	pac	pac
1551	pacald_c	MAM02719c	pacald	pacald
1552	paf_hs_c	MAM00626c	paf_hs	paf_hs
1553	pail345p_hs_c	MAM02734c	pail345p_hs	pail345p_hs
1554	pail34p_hs_c	MAM00551c	pail34p_hs	pail34p_hs
1555	pail35p_hs_c	MAM02735c	pail35p_hs	pail35p_hs
1556	pail3p_hs_c	MAM00552c	pail3p_hs	pail3p_hs
1557	pail45p_hs_c	MAM02736c	pail45p_hs	pail45p_hs
1558	pail4p_hs_c	MAM00553c	pail4p_hs	pail4p_hs
1559	pail5p_hs_c	MAM00554c	pail5p_hs	"['pail5p_hs', 'CE5101']"
1560	pail_hs_c	MAM02750c	pail_hs	pail_hs
1561	pail_hs_e	MAM02750e	pail_hs	pail_hs
1562	pao_hs_c	MAM00628c	ak2gp_hs	ak2gp_hs
1563	paoac_hs_c	MAM03317c		C01264
1564	pap_c	MAM02681c	pap	pap
1565	paps_c	MAM02682c	paps	paps
1566	pc_hs_c	MAM02684c	pchol_hs	pchol_hs
1567	pc_hs_e	MAM02684e	pchol_hs	pchol_hs
1568	pco_hs_c	MAM00560c	ak2gchol_hs	ak2gchol_hs
1569	pcp_hs_c
1570	pcreat_c	MAM01620c	pcreat	pcreat
1571	pdx5p_c	MAM02818c	pdx5p	pdx5p
1572	pe_hs_c	MAM02685c	pe_hs	pe_hs
1573	pe_hs_e	MAM02685e	pe_hs	pe_hs
1574	penme2_hs_c
1575	penme_hs_c
1576	pep_c	MAM02696c	pep	pep
1577	pep_hs_c	MAM02629c	dak2gpe_hs	dak2gpe_hs
1578	peth_hs_c
1579	peth_hs_e
1580	phe__L_c	MAM02724c	phe__L	phe_L
1581	phe__L_e	MAM02724e	phe__L	phe_L
1582	phehisleu_c
1583	pheleu_c	MAM03867c	pheleu	pheleu
1584	pheme_c	MAM02049c	pheme	pheme
1585	pheme_e	MAM02049e	pheme	pheme
1586	phepro_c
1587	phetrna_c	MAM02412c		M02412
1588	phetyr_c	MAM03879c	phetyr	phetyr
1589	phlac_c	MAM03882c	phlac	phlac
1590	phpyr_c	MAM02725c	phpyr	phpyr
1591	pi_c	MAM02751c	pi	pi
1592	pi_e	MAM02751e	pi	pi
1593	pnto__R_c	MAM02680c	pnto__R	pnto_R
1594	pnto__R_e	MAM02680e	pnto__R	pnto_R
1595	polyadprib1_c
1596	polyadprib2_c
1597	ppa_c	MAM02772c	ppa	ppa
1598	ppa_e	MAM02772e	ppa	ppa
1599	ppal_c
1600	ppbng_c	MAM02756c	ppbng	ppbng
1601	ppcoa_c	MAM02774c	ppcoa	ppcoa
1602	ppgpp_c
1603	ppi_c	MAM02759c	ppi	ppi
1604	ppi_e	MAM02759e	ppi	ppi
1605	ppp9_c	MAM02803c	ppp9	ppp9
1606	ppp9_e	MAM02803e	ppp9	ppp9
1609	pppi_c	MAM03057c	pppi	pppi
1610	pram_c	MAM01131c	pram	pram
1611	prdx1cgth_c
1612	prdx1crd_c
1613	prdx1cso_c
1614	prdx2cox_c
1615	prdx2crd_c
1616	prdx2cso2_c
1617	prdx2cso3_c
1618	prdx2cso_c
1619	prgstrn_c	MAM02769c	prgstrn	prgstrn
1620	prgstrn_e	MAM02769e	prgstrn	prgstrn
1621	pro__L_c	MAM02770c	pro__L	pro_L
1622	pro__L_e	MAM02770e	pro__L	pro_L
1623	proleu_c
1624	prophe_c	MAM03901c	prophe	prophe
1625	propro_c
1626	prostga1_c	MAM02776c	HC02202	HC02202
1627	prostga2_c	MAM02777c	HC02203	HC02203
1628	prostga3_c
1629	prostgd21glyc_c
1630	prostgd2_c	MAM02783c	prostgd2	prostgd2
1631	prostge1_c	MAM02785c	prostge1	prostge1
1632	prostge1_e	MAM02785e	prostge1	prostge1
1633	prostge21glyc_c	MAM02798c		CE5726
1634	prostge2_c	MAM02786c	prostge2	prostge2
1635	prostge2_e	MAM02786e	prostge2	prostge2
1636	prostge3_c
1637	prostge3_e
1638	prostgf1_c
1639	prostgf1_e
1640	prostgf21glyc_c
1641	prostgf2_c	MAM02789c	prostgf2	prostgf2
1642	prostgf2_e	MAM02789e	prostgf2	prostgf2
1643	prostgf3_c
1644	prostgf3_e	MAM02787c	HC02213	HC02213
1645	prostgg1_c
1646	prostgg2_c	MAM02792c	HC02217	HC02217
1647	prostgg3_c
1648	prostgh1_c	MAM02793c	CE6234	CE6234
1649	prostgh2_c	MAM02794c	prostgh2	prostgh2
1650	prostgh3_c	MAM02716c	CE7088	CE7088
1651	protein_Nproshispi_c
1652	protein_Ntelehispi_c
1653	protein_aclys__L_c
1654	protein_admarg__L_c
1655	protein_arg__L_c
1656	protein_asn__L_c
1657	protein_asp__D_c
1658	protein_asp__L_c
1659	protein_aspmeo__D_c
1660	protein_cys__L_c	MAM00200c		M00200
1661	protein_frulys3p_c
1662	protein_frulys6p_c
1663	protein_frulys_c
1664	protein_gln__L_c
1665	protein_glu5meo__L_c
1666	protein_glu__L_c
1667	protein_gludpam_c
1668	protein_gluhista_c
1669	protein_glunpphr_c
1670	protein_glusrtn_c
1671	protein_his__L_c
1672	protein_hxdcacys_c
1673	protein_isoasp__D_c
1674	protein_isoasp__L_c	MAM00202c		M00202
1675	protein_isoaspmeo__L_c	MAM00203c		M00203
1676	protein_lacarg_c
1677	protein_laccys_c
1678	protein_laclys_c
1679	protein_lys__L_c	MAM00204c	peplys	peplys
1680	protein_lysglu_protein_c
1681	protein_mmarg__L_c
1682	protein_oadpribser_c
1683	protein_ocdcacys_c
