	metabolites	metatlas	bigg.metabolite	vmhmetabolite
242	FA_hs_14_9Z_c	MAM00128c	ttdcea	ttdcea
243	FA_hs_14_9Z_e	MAM00128e	ttdcea	ttdcea
244	FA_hs_14_DC_c
245	FA_hs_15_0_c	MAM02690c	ptdca	ptdca
246	FA_hs_15_0_e	MAM02690e	ptdca	ptdca
247	FA_hs_16_0_c	MAM02674c	hdca	hdca
248	FA_hs_16_0_e	MAM02674e	hdca	hdca
249	FA_hs_16_16OH_c	MAM00403c	whhdca	whhdca
250	FA_hs_16_16O_c
251	FA_hs_16_2E_c
252	FA_hs_16_2E_e
253	FA_hs_16_7Z_c	MAM01197c	M01197	M01197
254	FA_hs_16_7Z_e	MAM01197e	M01197	M01197
255	FA_hs_16_9Z_c	MAM02675c	hdcea	hdcea
256	FA_hs_16_9Z_e	MAM02675e	hdcea	hdcea
257	FA_hs_16_DC_c	MAM03654c	hexdiac	hexdiac
258	FA_hs_17_0_c	MAM02456c	hpdca	hpdca
259	FA_hs_17_0_e	MAM02456e	hpdca	hpdca
260	FA_hs_17_10Z_c	MAM00003c	M00003	M00003
261	FA_hs_17_10Z_e	MAM00003e	M00003	M00003
262	FA_hs_17_9Z_c	MAM01238c	M01238	M01238
263	FA_hs_17_9Z_e	MAM01238e	M01238	M01238
264	FA_hs_18_0_c	MAM02938c	ocdca	ocdca
265	FA_hs_18_0_e	MAM02938e	ocdca	ocdca
266	FA_hs_18_11Z_c	MAM01585c	vacc	vacc
267	FA_hs_18_11Z_e	MAM01585e	vacc	vacc
268	FA_hs_18_13Z_c
269	FA_hs_18_13Z_e
270	FA_hs_18_6Z9Z12Z15Z_c	MAM02939c	strdnc	strdnc
271	FA_hs_18_6Z9Z12Z15Z_e	MAM02939e	strdnc	strdnc
272	FA_hs_18_6Z9Z12Z_c	MAM01932c	lnlncg	lnlncg
273	FA_hs_18_6Z9Z12Z_e	MAM01932e	lnlncg	lnlncg
274	FA_hs_18_6Z9Z_c	MAM00104c	lneldc	lneldc
275	FA_hs_18_6Z9Z_e	MAM00104e	lneldc	lneldc
276	FA_hs_18_7Z_c	MAM00115c	M00115	M00115
277	FA_hs_18_7Z_e	MAM00115e	M00115	M00115
278	FA_hs_18_9E_c	MAM01778c	elaid	elaid
279	FA_hs_18_9E_e	MAM01778e	elaid	elaid
280	FA_hs_18_9Z12Z15Z_c	MAM02389c	lnlnca	lnlnca
281	FA_hs_18_9Z12Z15Z_e	MAM02389e	lnlnca	lnlnca
282	FA_hs_18_9Z12Z_c	MAM02387c	lnlc	lnlc
283	FA_hs_18_9Z12Z_e	MAM02387e	lnlc	lnlc
284	FA_hs_18_9Z12Zr_c
285	FA_hs_18_9Z12Zroo_c
286	FA_hs_18_9Z_c	MAM02646c	ocdcea	ocdcea
287	FA_hs_18_9Z_e	MAM02646e	ocdcea	ocdcea
288	FA_hs_19_0_c	MAM02613c	M02613	M02613
289	FA_hs_19_0_e	MAM02613e	M02613	M02613
290	FA_hs_20_0_c	MAM01771c	arach	arach
291	FA_hs_20_0_e	MAM01771e	arach	arach
292	FA_hs_20_11Z14Z17Z_c	MAM00010c	M00010	M00010
293	FA_hs_20_11Z14Z17Z_e	MAM00010e	M00010	M00010
294	FA_hs_20_11Z14Z_c	MAM00008c	M00008	M00008
295	FA_hs_20_11Z14Z_e	MAM00008e	M00008	M00008
296	FA_hs_20_11Z_c	MAM01584c	CE2510	CE2510
297	FA_hs_20_11Z_e	MAM01584e	CE2510	CE2510
298	FA_hs_20_13Z_c	MAM00017c	M00017	M00017
299	FA_hs_20_13Z_e	MAM00017e	M00017	M00017
300	FA_hs_20_5Z8Z11Z14Z17Z_c	MAM01784c	tmndnc	tmndnc
301	FA_hs_20_5Z8Z11Z14Z17Z_e	MAM01784e	tmndnc	tmndnc
302	FA_hs_20_5Z8Z11Z14Z17Zr_c
303	FA_hs_20_5Z8Z11Z14Z17Zroo_c
304	FA_hs_20_5Z8Z11Z14Z20DC_c
305	FA_hs_20_5Z8Z11Z14Z20OH_c	MAM00270c	wharachd	wharachd
306	FA_hs_20_5Z8Z11Z14Z20O_c
307	FA_hs_20_5Z8Z11Z14Z_c	MAM01362c	arachd	arachd
308	FA_hs_20_5Z8Z11Z14Z_e	MAM01362e	arachd	arachd
309	FA_hs_20_5Z8Z11Z14Zr_c
310	FA_hs_20_5Z8Z11Z14Zroo_c
311	FA_hs_20_5Z8Z11Z_c	MAM02457c	M02457	M02457
312	FA_hs_20_5Z8Z11Z_e	MAM02457e	M02457	M02457
313	FA_hs_20_8Z11Z14Z17Z_c	MAM02648c	eicostet	eicostet
314	FA_hs_20_8Z11Z14Z17Z_e	MAM02648e	eicostet	eicostet
315	FA_hs_20_8Z11Z14Z_c
316	FA_hs_20_8Z11Z14Z_e	MAM01696c	dlnlcg	"['CE2516', 'dlnlcg']"
317	FA_hs_20_8Z11Z_c	MAM01207c	M01207	M01207
318	FA_hs_20_8Z11Z_e	MAM01207e	M01207	M01207
319	FA_hs_20_9Z_c	MAM01235c	M01235	M01235
320	FA_hs_20_9Z_e	MAM01235e	M01235	M01235
321	FA_hs_21_0_c	MAM02053c	M02053	M02053
322	FA_hs_21_0_e	MAM02053e	M02053	M02053
323	FA_hs_22_0_c	MAM01373c	docosac	docosac
324	FA_hs_22_0_e	MAM01373e	docosac	docosac
325	FA_hs_22_10Z13Z16Z19Z_c	MAM00260c	M00260	M00260
326	FA_hs_22_10Z13Z16Z19Z_e	MAM00260e	M00260	M00260
327	FA_hs_22_10Z13Z16Z_c	MAM00265c	M00265	M00265
328	FA_hs_22_10Z13Z16Z_e	MAM00265e	M00265	M00265
329	FA_hs_22_11Z_c	MAM01582c	M01582	M01582
330	FA_hs_22_11Z_e	MAM01582e	M01582	M01582
331	FA_hs_22_13Z16Z19Z_c	MAM00341c	M00341	M00341
332	FA_hs_22_13Z16Z19Z_e	MAM00341e	M00341	M00341
333	FA_hs_22_13Z16Z_c	MAM00021c	M00021	M00021
334	FA_hs_22_13Z16Z_e	MAM00021e	M00021	M00021
335	FA_hs_22_13Z_c	MAM01583c	doco13ac	doco13ac
336	FA_hs_22_13Z_e	MAM01583e	doco13ac	doco13ac
337	FA_hs_22_22OH_c	MAM03798c	omhdocosac	omhdocosac
338	FA_hs_22_22O_c
339	FA_hs_22_4Z7Z10Z13Z16Z19Z_c	MAM01689c	crvnc	crvnc
340	FA_hs_22_4Z7Z10Z13Z16Z19Z_e	MAM01689e	crvnc	crvnc
341	FA_hs_22_4Z7Z10Z13Z16Z19Zr_c
342	FA_hs_22_4Z7Z10Z13Z16Z19Zroo_c
343	FA_hs_22_4Z7Z10Z13Z16Z_c	MAM00094c	dcsptn1	dcsptn1
344	FA_hs_22_4Z7Z10Z13Z16Z_e	MAM00094e	dcsptn1	dcsptn1
345	FA_hs_22_7Z10Z13Z16Z19Z_c	MAM01741c	clpnd	clpnd
346	FA_hs_22_7Z10Z13Z16Z19Z_e	MAM01741e	clpnd	clpnd
347	FA_hs_22_7Z10Z13Z16Z_c	MAM01291c	adrn	adrn
348	FA_hs_22_7Z10Z13Z16Z_e	MAM01291e	adrn	adrn
349	FA_hs_22_DC_c
350	FA_hs_23_0_c	MAM03045c	M03045	M03045
351	FA_hs_23_0_e	MAM03045e	M03045	M03045
352	FA_hs_24_0_c	MAM02385c	lgnc	lgnc
353	FA_hs_24_0_e	MAM02385e	lgnc	lgnc
354	FA_hs_24_12Z15Z18Z21Z_c	MAM00315c	M00315	M00315
355	FA_hs_24_12Z15Z18Z21Z_e	MAM00315e	M00315	M00315
356	FA_hs_24_15Z_c
