	reactions	metatlas	bigg.reaction	vmhreaction
1196	DOPAQC_L	MAR06875	DOPAQNISO1	DOPAQNISO1
1197	DOPAQNRE1_L
1198	DOPAQNRE2_L
1199	DOPASQDP_L
1200	DOPASQOX_L
1201	DPAMCHRSQOX
1202	DPAMCHRT	MAR12022	DACT	DACT
1203	DPAMO2SX_L
1204	DPAMQC_L
1205	DPAMQNRE1_L	MAR06876	HMR_6876	HMR_6876
1206	DPAMQNRE2_L
1207	DPAMSQDP_L
1208	DPAMSQOX_L
1209	DPCHRDC_L
1210	DPCHRSQOX_L
1211	IND56SQOX
1212	KYNATESYN		KYNATESYN
1213	LADRNCHRO2SX
1214	LADRNCHRSQDP
1215	LDPAMCHRO2SX
1216	LDPAMCHRSQDP
1217	LDPCHRO2SX_L
1218	LDPCHRSQDP_L
1219	LNRPPHRCHRO2SX
1220	LNRPPHRCHRSQDP
1221	NRPPHRCHRSQOX
1222	NRPPHRO2SX_L
1223	NRPPHRQC_L
1224	NRPPHRSQDP_L
1225	NRPPHRSQOX_L
1226	DOPADC_D
1227	DOPADC_L	MAR06731	3HLYTCL	3HLYTCL
1228	NRPPHRMT	MAR06743	NORANMT	NORANMT
1229	PPBNGS	MAR04744	PPBNGS	PPBNGS
1230	FEROX	MAR03991	FEROc	r0016
1231	HMBS	MAR04746	HMBS	HMBS
1232	UPPG1DC	MAR04772	HMR_4772	HMR_4772
1233	UPPG3DC	MAR04750	UPPDC1	UPPDC1
1234	UPPG3S	MAR04748	UPP3S	UPP3S
1235	HEMEGTHOHDEG
1236	BILIREDx	MAR04764		HMR_4764
1237	BILIREDy	MAR08634	BILIRED	BILIRED
1238	CPPPG1OX	MAR04773	RE3051C	RE3051C
1239	CPPPG3OX	MAR04770	RE3052C	RE3052C
1242	FE2PHEMEOX
1243	HEMATINGTHG
1244	HEMEGTHOHDX
1245	UPPG1OX	MAR04769	RE3637C	RE3637C
1246	UPPG1S	MAR04771	HMR_4771	HMR_4771
1247	UPPG3OX	MAR04768		HMR_4768;RE3053C
1248	PGE1DHy
1249	PGE1Ry
1250	PGE2DHy	MAR08651	CBR1	CBPter
1251	PGE2Ry	MAR01327	CBR2	CBR2
1252	PGE3DHy
1253	PGE3Ry
1254	PGF1DHy
1255	PGF2DHy
1256	PGF3DHy
1257	PGG1S
1258	PGG2S
1259	PGG3S
1260	PGD2Ry
1261	PGE1S
1262	PGE2S
1263	PGE3S	MAR01312		HMR_1312
1264	PGDF21GH
1265	PGE21GH	MAR01342		RE2067C
1266	15KPGE1Ry
1267	15KPGE2Ry
1268	15KPGE3Ry
1269	15KPGF1Ry
1270	15KPGF2Ry
1271	15KPGF3Ry
1272	PGD2S	MAR01330	PGDI	PGDI
1273	PGH2Ry	MAR01326	RE2799C	RE2799C
1274	PGG1GTHR
1275	PGG2GTHR
1276	PGG3GTHR
1277	PROSTGA1GST
1278	PROSTGA2GST	MAR01370		RE3554C
1279	PROSTGA3GST
1280	PGD21GH
1281	PGE1DHYD
1282	PGE2DHYD	MAR01321	HMR_1321	HMR_1321
1283	PGE3DHYD
1284	PROTKRU5PPP
1285	PRMTADMA
1286	PROTDMT_D
1287	PROTISODMT_L
1288	PROTQADRNLGMT
1289	PROTQDPAMGMT
1290	PROTQGLUN
1291	PROTQHISTAGMT
1292	PROTQSRTNGMT
1293	PROTSACGAMT
1294	PROTTACGAMT
1295	PROTS3OACGAMH
1296	PROTT3OACGAMH
1297	PROTCDGLAC_D
1298	PROTCDGLAC_L
1299	PROTKDGLAC_D
1300	PROTKDGLAC_L
1301	PROTRDGLAC_D
1302	PROTRDGLAC_L
1303	PROTKNADDAC
1304	PHPT1
1305	PHPT2
1306	PPMEPPP2CA
1307	LCMTPPP2CA
1308	PROTSADPRH
1309	PROTKTnAgGALT
1310	PROTSTnAgGALT
1311	PROTKFRU3K
1312	PROTGMT	MAR09500		HMR_9500
1313	PROTKF6PPP
1314	PROTNK1
1315	PROTNK2
1316	PROTSK
1317	PROTTK
1318	PRMTSDMA
1319	PROTCSAE_14_0
1320	PROTCSAE_16_0	MAR09499		HMR_9499
1321	PROTCSAE_18_0
1322	PROTYK
1323	PROTSACGALT
1324	PROTTACGALT
1325	PROTCSAT_14_0
1326	PROTCSAT_16_0
1327	PROTCSAT_18_0
1328	PRMTMMA
1329	PROTYPP
1330	PROTSPP
1331	PROTTPP
1332	PROTKRBLK
1333	PROTQPROTLGMT
1334	PROTCMTHGXL
1335	PROTDDHYD_D
1336	PROTDDHYD_L
1337	PROTDMH_D
1338	PROTIDDHYD_D
1339	PROTISODDHYD_L
1340	PROTISODMH_L
1341	PROTKACTPAC
1342	PROTKDG6PGL
1343	PROTKDGLCGL
1344	PROTKDR5PGL
1345	PROTKF3PDG
1346	PROTKMTHGXL
1347	PROTKRU3PDG
1348	PROTNDA
1349	PROTRMTHGXL
1350	PROTSUCAMR
1351	PROTCADPRH
1352	PROTCADPRT
1362	EX_1p3h5c__L_e
1363	EX_1pyr5c__L_e
1364	EX_1sgth2hoxe1_e
1365	EX_1sgth2hoxe2_e
1366	EX_23cgamp_e
1367	EX_2abut_e
1368	EX_2dadn_e
1369	EX_2dcytd_e
1370	EX_2dgsn_e
1371	EX_2dins_e
1372	EX_2duri_e
1373	EX_2hb_e	MAR09212	EX_2hb_e	EX_2425dhvitd3[e]
1374	EX_2hox3mtoxe1_e
1375	EX_2hox3mtoxe2_e
1376	EX_2mtoxe1_e
1377	EX_2mtoxe2_e
1378	EX_2obut_e	MAR11391	EX_2obut_e	EX_2obut[e]
1379	EX_2sgth4hoxe1_e
1380	EX_2sgth4hoxe2_e
1381	EX_35camp_e		EX_camp_e
1382	EX_35cgmp_e	MAR09216	EX_35cgmp_e	EX_2hb[e]
1383	EX_35cimp_e
1384	EX_3dglc_e
1385	EX_3moxtyr_e	MAR10427	EX_3moxtyr_e	EX_3moxtyr[e]
1386	EX_4abut_e	MAR09220	EX_4abut_e	EX_35cgmp[e]
1387	EX_4hpro_LT_e	MAR08386	EX_4hpro_LT_e	EX_4hpro[e]
1388	EX_4mtoxe1_e
1389	EX_4mtoxe2_e
1390	EX_4pyrdx_e	MAR09225	EX_4pyrdx_e	EX_4mptnl[e]
1391	EX_4pyrn_e
1392	EX_4sgth2hoxe1_e
1393	EX_4sgth2hoxe2_e
1394	EX_4sgth56dhi_e
1395	EX_4sgth56dhilne_e
1396	EX_5aop_e	MAR10428	EX_5aop_e	EX_5aop[e]
1397	EX_5fthf_e	MAR09229	EX_5fthf_e	EX_5adtststerone[e]
1398	EX_5mta_e	MAR09021	EX_5mta_e	EX_5mta[e]
1399	EX_5mthf_e	MAR09232	EX_5mthf_e	EX_5dhf[e]
1400	EX_5oxpro_e	MAR09025	EX_5oxpro_e	EX_5oxpro[e]
1401	EX_5sgthadrnl__L_e
1402	EX_5sgthdopa__L_e
1403	EX_5sgthdpam__L_e
1404	EX_5sgthleuadrnchrm_e
1405	EX_5sgthleudopachr__L_e
1407	EX_5sgthnrpphr__L_e
1408	EX_78dhbpt_e
1409	EX_abt__L_e
1410	EX_ac_e	MAR09239	EX_ac_e	EX_7dhf[e]
1411	EX_acac_e	MAR09240	EX_acac_e	EX_7thf[e]
1412	EX_acald_e
1413	EX_ach_e	MAR09244	EX_ach_e	EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e]
1414	EX_acnam_e	MAR11348	EX_acnam_e	EX_acnam[e]
1415	EX_ade_e	MAR09250	EX_ade_e	EX_acnacngal14acglcgalgluside_hs[e]
1416	EX_admarg__L_e
1417	EX_adn_e	MAR09251	EX_adn_e	EX_acnacngalgbside_hs[e]
1418	EX_adp_e	MAR09252	EX_adp_e	EX_acngalacglcgal14acglcgalgluside_hs[e]
1419	EX_adprbp_e	MAR09253	EX_adprbp_e	EX_ade[e]
1420	EX_adprib_e	MAR09254	EX_adprib_e	EX_adn[e]
1421	EX_adrnl__L_e	MAR09256	EX_adrnl_e	EX_adprbp[e]
1422	EX_ag1_e
1423	EX_aic_e
1424	EX_aica_e
1425	EX_aicar_e	MAR09027	EX_aicar_e	EX_aicar[e]
1426	EX_akg_e		EX_akg_e
1427	EX_ala__L_e	MAR09259	EX_ala__L_e	EX_akg[e]
1428	EX_ala_B_e	MAR09257	EX_ala_B_e	EX_ahandrostanglc[e]
1429	EX_amp_e		EX_amp_e
1430	EX_andrstndn_e	MAR11848	EX_andrstndn_e	EX_andrstndn[e]
1431	EX_aprgstrn_e	MAR09265	EX_aprgstrn_e	EX_antipyrene[e]
1432	EX_arab__L_e	MAR09267	EX_arab__L_e	EX_appnn[e]
1433	EX_arg__L_e	MAR09270	EX_arg__L_e	EX_arab_L[e]
1434	EX_arsna_e
1435	EX_arsni_e
1436	EX_arsseldigth_e
1437	EX_ascb__L_e	MAR09158	EX_ascb__L_e	EX_ascb_L[e]
1438	EX_asn__L_e	MAR09062	EX_asn__L_e	EX_asn_L[e]
1439	EX_asp__L_e	MAR09070	EX_asp__L_e	EX_asp_L[e]
1440	EX_atp_e	MAR00569	EX_atp_e	EX_atp[e]
1441	EX_but_e	MAR09273	EX_but_e	EX_bilirub[e]
1442	EX_ca2_e	MAR09082	EX_ca2_e	EX_ca2[e]
1443	EX_cadprbp_e
1444	EX_cadprib_e
1445	EX_chol_e	MAR09277	EX_chol_e	EX_carveol[e]
1446	EX_cholp_e	MAR09845	EX_cholp_e	EX_cholp[e]
1447	EX_chsterol_e	MAR09279	EX_chsterol_e	EX_cgly[e]
1448	EX_cit_e	MAR09280	EX_cit_e	EX_cholate[e]
1449	EX_citr__L_e	MAR09201	EX_citr__L_e	EX_citr_L[e]
1450	EX_cl_e	MAR09285	EX_cl_e	EX_chsterol[e]
1451	EX_co_e		EX_co_e
1452	EX_co2_e	MAR09058	EX_co2_e	EX_co2[e]
1453	EX_cobalt2_e
1454	EX_cppp1_e
1455	EX_cppp3_e
1456	EX_cpppg3_e
1457	EX_creat_e	MAR09288	EX_creat_e	EX_co[e]
1458	EX_crn_e	MAR09289	EX_crn_e	EX_coumarin[e]
1459	EX_crtn_e		EX_crtn_e
1460	EX_crtsl_e	MAR09290	EX_crtsl_e	EX_creat[e]
1461	EX_crtstrn_e		EX_crtstrn_e
1462	EX_cu1_e
1463	EX_cu2_e
1464	EX_cys__L_e	MAR09065	EX_cys__L_e	EX_cys_L[e]
1465	EX_cysi__L_e		EX_cysi__L_e
1466	EX_cytd_e	MAR09299	EX_cytd_e	EX_debrisoquine[e]
1467	EX_dha_e	MAR01921	EX_dha_e	EX_dha[e]
1468	EX_dhdascb__L_e
1469	EX_dhet1112_e
1470	EX_dhet1415_e
1471	EX_dhet56_e
1472	EX_dhet89_e
1473	EX_dhlipoate_e
1474	EX_dhnpt_e
1475	EX_dihdpa1011_e
1476	EX_dihdpa1314_e
1477	EX_dihdpa1617_e
1478	EX_dihdpa1920_e
1479	EX_dihdpa78_e
1480	EX_dihete1112_e
1481	EX_dihete1415_e
1482	EX_dihete1718_e
1483	EX_dihete56_e
1484	EX_dihete89_e
1485	EX_dihome1213_e
1486	EX_dihome910_e
1487	EX_dnadp_e
1488	EX_dopa__L_e
1489	EX_dpam__L_e	MAR09305	EX_dopa_e	EX_din[e]
1490	EX_edp1011_e
1491	EX_edp1314_e
1492	EX_edp1617_e
1493	EX_edp1920_e
1494	EX_edp78_e
1495	EX_eeq1112_e
1496	EX_eeq1415_e
1497	EX_eeq1718_e
1498	EX_eeq56_e
1499	EX_eeq89_e
1500	EX_eet1112_e
1501	EX_eet1415_e
1502	EX_eet56_e
1503	EX_eet89_e
1504	EX_epome1213_e
1505	EX_epome910_e
1506	EX_ergoth_e
1507	EX_erylt_e
1508	EX_estradiol_e	MAR09312	EX_estradiol_e	EX_ebastine[e]
1509	EX_estrone_e	MAR11858	EX_estrone_e	EX_estrone[e]
1510	EX_etha_e		EX_etha_e
1511	EX_ethamp_e	MAR09849	EX_ethamp_e	EX_ethamp[e]
1512	EX_etoh_e	MAR09099	EX_etoh_e	EX_etoh[e]
1513	EX_FA_hs_10_0_e
1514	EX_FA_hs_11_0_e
1515	EX_FA_hs_12_0_e
1516	EX_FA_hs_13_0_e
1517	EX_FA_hs_14_0_e
1518	EX_FA_hs_14_5Z_e
1519	EX_FA_hs_14_7Z_e
1520	EX_FA_hs_14_9Z_e
1521	EX_FA_hs_15_0_e
1522	EX_FA_hs_16_0_e
1523	EX_FA_hs_16_2E_e
1524	EX_FA_hs_16_7Z_e
1525	EX_FA_hs_16_9Z_e
1526	EX_FA_hs_17_0_e
1527	EX_FA_hs_17_10Z_e
1528	EX_FA_hs_17_9Z_e
1529	EX_FA_hs_18_0_e
1530	EX_FA_hs_18_11Z_e
1531	EX_FA_hs_18_13Z_e
1532	EX_FA_hs_18_6Z9Z_e
1533	EX_FA_hs_18_6Z9Z12Z_e
1534	EX_FA_hs_18_6Z9Z12Z15Z_e
1535	EX_FA_hs_18_7Z_e
1536	EX_FA_hs_18_9E_e
1537	EX_FA_hs_18_9Z_e
1538	EX_FA_hs_18_9Z12Z_e
1539	EX_FA_hs_18_9Z12Z15Z_e
1540	EX_FA_hs_19_0_e
1541	EX_FA_hs_20_0_e
1542	EX_FA_hs_20_11Z_e
1543	EX_FA_hs_20_11Z14Z_e
1544	EX_FA_hs_20_11Z14Z17Z_e
1545	EX_FA_hs_20_13Z_e
1546	EX_FA_hs_20_5Z8Z11Z_e
1547	EX_FA_hs_20_5Z8Z11Z14Z_e
1548	EX_FA_hs_20_5Z8Z11Z14Z17Z_e
1549	EX_FA_hs_20_8Z11Z_e
1550	EX_FA_hs_20_8Z11Z14Z_e
1551	EX_FA_hs_20_8Z11Z14Z17Z_e
1552	EX_FA_hs_20_9Z_e
1553	EX_FA_hs_21_0_e
1554	EX_FA_hs_22_0_e
1555	EX_FA_hs_22_10Z13Z16Z_e
1556	EX_FA_hs_22_10Z13Z16Z19Z_e
1557	EX_FA_hs_22_11Z_e
1558	EX_FA_hs_22_13Z_e
1559	EX_FA_hs_22_13Z16Z_e
1560	EX_FA_hs_22_13Z16Z19Z_e
1561	EX_FA_hs_22_4Z7Z10Z13Z16Z_e
1562	EX_FA_hs_22_4Z7Z10Z13Z16Z19Z_e
1563	EX_FA_hs_22_7Z10Z13Z16Z_e
1564	EX_FA_hs_22_7Z10Z13Z16Z19Z_e
1565	EX_FA_hs_23_0_e
1566	EX_FA_hs_24_0_e
1567	EX_FA_hs_24_12Z15Z18Z21Z_e
1568	EX_FA_hs_24_15Z_e
1569	EX_FA_hs_24_6Z9Z12Z15Z18Z_e
1570	EX_FA_hs_24_6Z9Z12Z15Z18Z21Z_e
1571	EX_FA_hs_24_9Z12Z15Z18Z_e
1572	EX_FA_hs_24_9Z12Z15Z18Z21Z_e
1573	EX_FA_hs_26_0_e
1574	EX_FA_hs_26_17Z_e
1575	EX_fe2_e	MAR09315	EX_fe2_e	EX_estriolglc[e]
1576	EX_fe3_e	MAR09316	EX_fe3_e	EX_estroneglc[e]
1577	EX_for_e		EX_for_e
1578	EX_fru_e	MAR09139	EX_fru_e	EX_fru[e]
1579	EX_fum_e	MAR11400	EX_fum_e	EX_fum[e]
1580	EX_gal__bD_e
1581	EX_gal_e	MAR09327	EX_gal_e	EX_fucgal14acglcgalgluside_hs[e]
1582	EX_galt_e	MAR11422	EX_galt_e	EX_galt[e]
1583	EX_gam_e	MAR09332	EX_gam_e	EX_galfuc12gal14acglcgalgluside_hs[e]
1584	EX_glc__aD_e
1585	EX_glc__D_e	MAR09337	EX_glc__D_e	EX_gd1b2_hs[e]
1586	EX_gln__L_e	MAR09339	EX_gln__L_e	EX_gd1c_hs[e]
1587	EX_glu__L_e	MAR09071	EX_glu__L_e	EX_glu_L[e]
1588	EX_glx_e	MAR11448	EX_glx_e	EX_glx[e]
1589	EX_gly_e	MAR09067	EX_gly_e	EX_gly[e]
1590	EX_glyc__R_e		EX_glyc__R_e
1591	EX_glyc__S_e	MAR00603	EX_glyc__S_e	EX_glyc_S[e]
1592	EX_glyc_e	MAR09085	EX_glyc_e	EX_glyc[e]
1593	EX_glyclt_e	MAR10436	EX_glyclt_e	EX_glyclt[e]
1594	EX_gsn_e	MAR09345	EX_gsn_e	EX_gp1calpha_hs[e]
1595	EX_gthno_e
1596	EX_gthox_e	MAR09347	EX_gthox_e	EX_gq1balpha_hs[e]
1597	EX_gua_e	MAR09350	EX_gua_e	EX_gthox[e]
1598	EX_h_e
1599	EX_h2o_e	MAR09352	EX_h2o_e	EX_gtp[e]
1600	EX_h2o2_e	MAR09351	EX_h_e	EX_gthrd[e]
1601	EX_h2s_e	MAR09353	EX_h2o2_e	EX_gua[e]
1602	EX_hco3_e	MAR09354	EX_hco3_e	EX_h2o2[e]
1603	EX_hcys__L_e	MAR09853	EX_hcys__L_e	EX_hcys_L[e]
1604	EX_hcystin__L_e
1605	EX_hdha10_e
1606	EX_hdha11_e
1607	EX_hdha13_e
1608	EX_hdha14_e
1609	EX_hdha16_e
1610	EX_hdha17_e
1611	EX_hdha20_e
1612	EX_hdha4_e
1613	EX_hdha7_e
1614	EX_hdha8_e
1615	EX_hematin_e
1616	EX_hepe11_e
1617	EX_hepe12_e
1618	EX_hepe15_e	MAR11579	CE7082UPKt	CE7082UPKt
1619	EX_hepe18_e
1620	EX_hepe5_e
1621	EX_hepe8_e
1622	EX_hepe9_e
1623	EX_hete11_e
1624	EX_hete12_e
1625	EX_hete15_e
1626	EX_hete5_e
1627	EX_hete8_e
1628	EX_hete9_e
1629	EX_his__L_e	MAR09038	EX_his__L_e	EX_his_L[e]
1630	EX_hista_e	MAR00619	EX_hista_e	EX_hista[e]
1631	EX_hode13_e
1632	EX_hode9_e
1633	EX_homoval_e		EX_homoval_e
1634	EX_hpta_e
1635	EX_hxa_e		EX_hxa_e
1636	EX_hxan_e		EX_hxan_e
1637	EX_ile__L_e	MAR09358	EX_ile__L_e	EX_hxan[e]
1638	EX_inds_e
1639	EX_inost_e	MAR09359	EX_inost_e	EX_idp[e]
1640	EX_ins_e		EX_ins_e
1641	EX_k_e	MAR09360	EX_k_e	EX_imp[e]
1642	EX_kynr__L_e
1643	EX_lac__D_e	MAR09136	EX_lac__D_e	EX_lac_D[e]
1644	EX_lac__L_e	MAR09135	EX_lac__L_e	EX_lac_L[e]
1645	EX_leu__L_e	MAR09367	EX_leu__L_e	EX_leuktrD4[e]
1646	EX_leuktrA4_e
1647	EX_leuktrA5_e		EX_leuktrA4_e
1648	EX_leuktrB4_e
1649	EX_leuktrB5_e		EX_leuktrB4_e
1650	EX_leuktrC4_e	MAR09363	EX_leuktrC4_e	EX_Lcystin[e]
1651	EX_leuktrC5_e
1652	EX_li1_e
1653	EX_lipoate_e	MAR09167	EX_lipoate_e	EX_lipoate[e]
1654	EX_lys__L_e	MAR09041	EX_lys__L_e	EX_lys_L[e]
1655	EX_mal__L_e	MAR11404	EX_mal__L_e	EX_mal_L[e]
1656	EX_man_e	MAR09137	EX_man_e	EX_man[e]
1657	EX_mdhdascb__L_e
1658	EX_mepi__L_e	MAR09371	EX_mepi_e	EX_malttr[e]
1659	EX_met__L_e	MAR09372	EX_met__L_e	EX_meoh[e]
1660	EX_mg2_e
1661	EX_mma_e	MAR11934	EX_mma_e	EX_mma[e]
1662	EX_mmarg__L_e
1663	EX_mobd_e
1664	EX_n2o3_e
1665	EX_na1_e	MAR09077	EX_na1_e	EX_na1[e]
1666	EX_nac_e	MAR09375	EX_nac_e	EX_mthgxl[e]
1667	EX_nad_e	MAR07774	EX_nad_e
1668	EX_nadp_e		EX_nadp_e
1669	EX_ncam_e		EX_ncam_e
1670	EX_nh3_e
1671	EX_nh4_e	MAR11420	EX_nh4_e	EX_nh4[e]
1672	EX_nmn_e
1673	EX_no_e	MAR09378	EX_no_e	EX_ncam[e]
1674	EX_no2_e	MAR09149	EX_no2_e	EX_no2[e]
1675	EX_no3_e
1676	EX_nona_e
1677	EX_normete__L_e	MAR10490	EX_normete__L_e	EX_normete_L[e]
1678	EX_nrpphr__L_e	MAR09379	EX_nrpphr_e	EX_nifedipine[e];EX_nfd[e]
1679	EX_o2_e	MAR09048	EX_o2_e	EX_o2[e]
1680	EX_o2s_e	MAR09382	EX_o2s_e	EX_nrpphrsf[e]
1681	EX_octa_e	MAR09385	EX_octa_e	EX_oagt3_hs[e]
1682	EX_oh1_e		EX_oh1_e
1683	EX_onoo_e
1684	EX_onooh_e
1685	EX_orn__L_e	MAR09087	EX_orn__L_e	EX_orn[e]
1686	EX_orot_e		EX_orot_e
1687	EX_oxa_e	MAR09387	EX_oxa_e	EX_omeprazole[e]
1688	EX_pail_hs_e	MAR12127	EX_pail_hs_e	EX_pail_hs[e]
1689	EX_pc_hs_e
1690	EX_pe_hs_e	MAR00656	EX_pe_hs_e	EX_pe_hs[e]
1691	EX_peth_hs_e
1692	EX_phe__L_e	MAR09390	EX_phe__L_e	EX_perillyl[e]
1693	EX_pheme_e	MAR09107	EX_pheme_e	EX_pheme[e]
1694	EX_pi_e	MAR09072	EX_pi_e	EX_pi[e]
1695	EX_pnto__R_e	MAR09392	EX_pnto__R_e	EX_phyQ[e]
1696	EX_ppa_e		EX_ppa_e
1697	EX_ppi_e	MAR11405	EX_ppi_e	EX_ppi[e]
1698	EX_ppp9_e	MAR11954	EX_ppp9_e	EX_ppp9[e]
1699	EX_prgstrn_e		EX_prgstrn_e
1700	EX_pro__L_e	MAR09068	EX_pro__L_e	EX_pro_L[e]
1701	EX_prostge1_e	MAR09394	EX_prostge1_e	EX_pro_D[e]
1702	EX_prostge2_e		EX_prostge2_e
1703	EX_prostge3_e
1704	EX_prostgf1_e
1705	EX_prostgf2_e	MAR09395	EX_prostgf2_e	EX_prostgd2[e]
1706	EX_prostgf3_e
1707	EX_ps_hs_e	MAR00661	EX_ps_hs_e	EX_ps_hs[e]
1708	EX_pta_e
1709	EX_ptrc_e	MAR11426	EX_ptrc_e	EX_ptrc[e]
1710	EX_pydam_e	MAR09398	EX_pydam_e	EX_prostgf2[e]
1711	EX_pydx_e		EX_pydx_e
1712	EX_pydxn_e	MAR09144	EX_pydxn_e	EX_pydxn[e]
1713	EX_pyr_e	MAR09399	EX_pyr_e	EX_pydam[e]
1714	EX_r5p_e
1715	EX_rbt_e	MAR09400	EX_rbt_e	EX_pydx[e]
1716	EX_retinol_e	MAR09147	EX_retinol_e	EX_retinol[e]
1717	EX_rib__D_e	MAR09404	EX_rib__D_e	EX_retn[e]
1718	EX_ribflv_e	MAR09405	EX_ribflv_e	EX_retnglc[e]
1719	EX_rnamh_e
1720	EX_saica_e
1721	EX_sbt__D_e		EX_sbt__D_e
1722	EX_seln_e
1723	EX_selni_e
1724	EX_ser__L_e	MAR09069	EX_ser__L_e	EX_ser_L[e]
1725	EX_sgthprostga1_e
1726	EX_sgthprostga2_e
1727	EX_sgthprostga3_e
1728	EX_sh1_e
1729	EX_snocys__L_e
1730	EX_so4_e		EX_so4_e
1731	EX_sph1p_e	MAR09074	EX_sph1p_e	EX_so4[e]
1732	EX_sphgn_e	MAR11959	EX_sphgn_e	EX_sphgn[e]
1733	EX_sphings_e	MAR11947	EX_sphings_e	EX_sphings[e]
1734	EX_sphmyln_hs_e	MAR11281	EX_sphmyln_hs_e	EX_sphmyln_hs[e]
1735	EX_sphs1p_e	MAR09409	EX_sphs1p_e	EX_spc_hs[e]
1736	EX_spmd_e	MAR11427	EX_spmd_e	EX_spmd[e]
1737	EX_sppt_e
1738	EX_sprm_e		EX_sprm_e
1739	EX_srtn_e	MAR09410	EX_srtn_e	EX_sph1p[e]
1740	EX_succ_e	MAR09414	EX_succ_e	EX_strch2[e]
1741	EX_taur_e		EX_taur_e
1742	EX_tetiodthy__L_e
1743	EX_thbpt_e	MAR10496	EX_thbpt_e	EX_thbpt[e]
1744	EX_thf_e		EX_thf_e
1745	EX_thm_e	MAR09159	EX_thm_e	EX_thm[e]
1746	EX_thmmp_e	MAR09421	EX_thmmp_e	EX_thf[e]
1747	EX_thr__L_e	MAR09044	EX_thr__L_e	EX_thr_L[e]
1748	EX_thym_e		EX_thym_e
1749	EX_thymd_e		EX_thymd_e
1750	EX_triiodthy__L_e
1751	EX_trp__L_e	MAR09427	EX_trp__L_e	EX_triodthy[e]
1752	EX_tststerone_e	MAR09428	EX_tststerone_e	EX_triodthysuf[e]
1753	EX_tyr__L_e	MAR09434	EX_tyr__L_e	EX_tymsf[e]
1754	EX_upp1_e
1755	EX_upp3_e
1756	EX_ura_e	MAR09435	EX_ura_e	EX_udp[e]
1757	EX_urate_e	MAR09436	EX_urate_e	EX_ump[e]
1758	EX_urea_e	MAR09437	EX_urea_e	EX_ura[e]
1759	EX_uri_e	MAR09075	EX_uri_e	EX_urate[e]
1760	EX_val__L_e	MAR09440	EX_val__L_e	EX_utp[e]
1761	EX_vanillac_e	MAR11474	EX_vanillac_e	EX_vanillac[e]
1762	EX_xan_e	MAR11428	EX_xan_e	EX_xan[e]
1763	EX_xyl__D_e		EX_xyl__D_e
1764	EX_xylt_e	MAR09138	EX_xylt_e	EX_xylt[e]
1765	EX_xylu__D_e	MAR11942	EX_xylu__D_e	EX_xylu_D[e]
1766	EX_zn2_e
1770	ARACHDOHRI
1771	ARACHDRO2P
1772	ARACHDROO11AVITE1RT
1773	ARACHDROO11AVITE1T
1774	ARACHDROO12AVITE1RT
1775	ARACHDROO12AVITE1T
1776	ARACHDROO15AVITE1RT
1777	ARACHDROO15AVITE1T
1778	ARACHDROO5AVITE1RT
1779	ARACHDROO5AVITE1T
1780	ARACHDROO8AVITE1RT
1781	ARACHDROO8AVITE1T
1782	ARACHDROO9AVITE1RT
1783	ARACHDROO9AVITE1T
1784	CRVNCDRO2P
1785	CRVNCOHRI
1786	CRVNCROO10AVITE1RT
1787	CRVNCROO10AVITE1T
1788	CRVNCROO11AVITE1RT
1789	CRVNCROO11AVITE1T
1790	CRVNCROO13AVITE1RT
1791	CRVNCROO13AVITE1T
1792	CRVNCROO14AVITE1RT
1793	CRVNCROO14AVITE1T
1794	CRVNCROO16AVITE1RT
1795	CRVNCROO16AVITE1T
1796	CRVNCROO17AVITE1RT
1797	CRVNCROO17AVITE1T
1798	CRVNCROO20AVITE1RT
1799	CRVNCROO20AVITE1T
1800	CRVNCROO4AVITE1RT
1801	CRVNCROO4AVITE1T
1802	CRVNCROO7AVITE1RT
1803	CRVNCROO7AVITE1T
1804	CRVNCROO8AVITE1RT
1805	CRVNCROO8AVITE1T
1806	LNLCOHRI
1807	LNLCRO2P
1808	LNLCROO13AVITE1RT
1809	LNLCROO13AVITE1T
1810	LNLCROO9AVITE1RT
1811	LNLCROO9AVITE1T
1812	TMNDNCOHRI
1813	TMNDNCRO2P
1814	TMNDNCROO11AVITE1RT
1815	TMNDNCROO11AVITE1T
1816	TMNDNCROO12AVITE1RT
1817	TMNDNCROO12AVITE1T
1818	TMNDNCROO15AVITE1RT
1819	TMNDNCROO15AVITE1T
1820	TMNDNCROO18AVITE1RT
1821	TMNDNCROO18AVITE1T
1822	TMNDNCROO5AVITE1RT
1823	TMNDNCROO5AVITE1T
1824	TMNDNCROO8AVITE1RT
1825	TMNDNCROO8AVITE1T
1826	TMNDNCROO9AVITE1RT
1827	TMNDNCROO9AVITE1T
1828	ADA	MAR04481	ADA	ADA
1829	DADA	MAR04694	DADA	DADA
1830	ADNK1	MAR04012	ADNK1	ADNK1
1831	AICAK
1832	ADSL1	MAR04412	ADSL1r	ADSL1
1833	ADSL2	MAR04812	ADSL2r	ADSL2
1834	ADSS	MAR04042	ADSS	ADSS
1835	ADK1	MAR04002	ADK1	ADK1
1836	DADK1	MAR04480		r0345
1837	AMPDA	MAR04080	AMPDA	AMPDA
1838	ADPT	MAR04085	ADPT	ADPT
1839	AICRT
1840	AICART	MAR04814	AICART	AICART
