enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_NH4t_fwd_pc	enzyme_NH4t_fwd	cplx_HOMOTETRAMER_AQP1_pc;cplx_HOMOTETRAMER_AQP3_pc;cplx_HOMODIMER_RHAG_pc;cplx_HETEROTRIMER_RH_pc;cplx_HETEROTETRAMER_RH_pc	NH4t	forward	pc	cplx_HOMOTETRAMER_AQP1_pc(233123.4344480988);cplx_HOMOTETRAMER_AQP3_pc(251379.88644167324);cplx_HOMODIMER_RHAG_pc(192491.62656455123);cplx_HETEROTRIMER_RH_pc(262771.8446961297);cplx_HETEROTETRAMER_RH_pc(326867.02261345217)	233123.4344480988;251379.88644167324;192491.62656455123;262771.8446961297;326867.02261345217	234000.0
enzyme_NH4t_rev_pc	enzyme_NH4t_rev	cplx_HOMOTETRAMER_AQP1_pc;cplx_HOMOTETRAMER_AQP3_pc;cplx_HOMODIMER_RHAG_pc;cplx_HETEROTRIMER_RH_pc;cplx_HETEROTETRAMER_RH_pc	NH4t	reverse	pc	cplx_HOMOTETRAMER_AQP1_pc(233123.4344480988);cplx_HOMOTETRAMER_AQP3_pc(251379.88644167324);cplx_HOMODIMER_RHAG_pc(192491.62656455123);cplx_HETEROTRIMER_RH_pc(262771.8446961297);cplx_HETEROTETRAMER_RH_pc(326867.02261345217)	233123.4344480988;251379.88644167324;192491.62656455123;262771.8446961297;326867.02261345217	234000.0
enzyme_ARSNIt_fwd_pc	enzyme_ARSNIt_fwd	cplx_HOMOTETRAMER_AQP3_pc	ARSNIt	forward	pc	cplx_HOMOTETRAMER_AQP3_pc(251379.88644167324)	251379.88644167324	234000.0
enzyme_ARSNIt_rev_pc	enzyme_ARSNIt_rev	cplx_HOMOTETRAMER_AQP3_pc	ARSNIt	reverse	pc	cplx_HOMOTETRAMER_AQP3_pc(251379.88644167324)	251379.88644167324	234000.0
enzyme_GLYCt_fwd_pc	enzyme_GLYCt_fwd	cplx_HOMOTETRAMER_AQP3_pc	GLYCt	forward	pc	cplx_HOMOTETRAMER_AQP3_pc(251379.88644167324)	251379.88644167324	234000.0
enzyme_GLYCt_rev_pc	enzyme_GLYCt_rev	cplx_HOMOTETRAMER_AQP3_pc	GLYCt	reverse	pc	cplx_HOMOTETRAMER_AQP3_pc(251379.88644167324)	251379.88644167324	234000.0
enzyme_BHMT_fwd_pc	enzyme_BHMT_fwd	cplx_HOMOTETRAMER_BHMT_pc	BHMT	forward	pc	cplx_HOMOTETRAMER_BHMT_pc(328124.79014047346)	328124.79014047346	234000.0
enzyme_BHMT_rev_pc	enzyme_BHMT_rev	cplx_HOMOTETRAMER_BHMT_pc	BHMT	reverse	pc	cplx_HOMOTETRAMER_BHMT_pc(0)	0	234000.0
enzyme_CAT_fwd_pc	enzyme_CAT_fwd	cplx_HOMOTETRAMER_CAT_pc	CAT	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864)	405911.23035104864	234000.0
enzyme_CAT_rev_pc	enzyme_CAT_rev	cplx_HOMOTETRAMER_CAT_pc	CAT	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0)	0	234000.0
enzyme_56DHIPX_fwd_pc	enzyme_56DHIPX_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	56DHIPX	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_56DHIPX_rev_pc	enzyme_56DHIPX_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	56DHIPX	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_ADRNLPX_L_fwd_pc	enzyme_ADRNLPX_L_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	ADRNLPX_L	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
enzyme_ADRNLPX_L_rev_pc	enzyme_ADRNLPX_L_rev	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	ADRNLPX_L	reverse	pc	cplx_HOMOTETRAMER_CAT_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0	234000.0
enzyme_DOPAPX_L_fwd_pc	enzyme_DOPAPX_L_fwd	cplx_HOMOTETRAMER_CAT_pc;cplx_HOMODIMER_PRDX6_pc	DOPAPX_L	forward	pc	cplx_HOMOTETRAMER_CAT_pc(405911.23035104864);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	405911.23035104864;125680.15585547239	234000.0
