enzyme	enzyme_keff	reactions	direction
enzyme_GLNASNNaEx_rev	234000.0	GLNASNNaEx	asn__L_c + gln__L_e + na1_e <-- asn__L_e + gln__L_c + na1_c
enzyme_GLNCITRNaEx_fwd	234000.0	GLNCITRNaEx	citr__L_c + gln__L_e + na1_e --> citr__L_e + gln__L_c + na1_c
enzyme_GLNCITRNaEx_rev	234000.0	GLNCITRNaEx	citr__L_c + gln__L_e + na1_e <-- citr__L_e + gln__L_c + na1_c
enzyme_GLNCYSNaEx_fwd	234000.0	GLNCYSNaEx	cys__L_c + gln__L_e + na1_e --> cys__L_e + gln__L_c + na1_c
enzyme_GLNCYSNaEx_rev	234000.0	GLNCYSNaEx	cys__L_c + gln__L_e + na1_e <-- cys__L_e + gln__L_c + na1_c
enzyme_GLNGLYex_fwd	234000.0	GLNGLYex	gln__L_c + gly_e --> gln__L_e + gly_c
enzyme_GLNGLYex_rev	234000.0	GLNGLYex	gln__L_c + gly_e <-- gln__L_e + gly_c
enzyme_GLNILEex_fwd	234000.0	GLNILEex	gln__L_c + ile__L_e --> gln__L_e + ile__L_c
enzyme_GLNILEex_rev	234000.0	GLNILEex	gln__L_c + ile__L_e <-- gln__L_e + ile__L_c
enzyme_GLNLEUex_fwd	234000.0	GLNLEUex	gln__L_c + leu__L_e --> gln__L_e + leu__L_c
enzyme_GLNLEUex_rev	234000.0	GLNLEUex	gln__L_c + leu__L_e <-- gln__L_e + leu__L_c
enzyme_GLNLYSNaEx_fwd	234000.0	GLNLYSNaEx	gln__L_e + lys__L_c + na1_e --> gln__L_c + lys__L_e + na1_c
enzyme_GLNLYSNaEx_rev	234000.0	GLNLYSNaEx	gln__L_e + lys__L_c + na1_e <-- gln__L_c + lys__L_e + na1_c
enzyme_GLNMETex_fwd	234000.0	GLNMETex	gln__L_c + met__L_e --> gln__L_e + met__L_c
enzyme_GLNMETex_rev	234000.0	GLNMETex	gln__L_c + met__L_e <-- gln__L_e + met__L_c
enzyme_GLNMMARGNaEx_fwd	234000.0	GLNMMARGNaEx	gln__L_e + mmarg__L_c + na1_e --> gln__L_c + mmarg__L_e + na1_c
enzyme_GLNMMARGNaEx_rev	234000.0	GLNMMARGNaEx	gln__L_e + mmarg__L_c + na1_e <-- gln__L_c + mmarg__L_e + na1_c
enzyme_GLNORNNaEx_fwd	234000.0	GLNORNNaEx	gln__L_e + na1_e + orn__L_c --> gln__L_c + na1_c + orn__L_e
enzyme_GLNORNNaEx_rev	234000.0	GLNORNNaEx	gln__L_e + na1_e + orn__L_c <-- gln__L_c + na1_c + orn__L_e
enzyme_GLNPHEex_fwd	234000.0	GLNPHEex	gln__L_c + phe__L_e --> gln__L_e + phe__L_c
enzyme_GLNPHEex_rev	234000.0	GLNPHEex	gln__L_c + phe__L_e <-- gln__L_e + phe__L_c
