enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTO1	137137.34759411562	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTP1	121099.73485819153	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMODIMER_GSTT1	136278.8049523991	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_HOMOTRIMER_MGST2	127233.0420783922	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_fwd	cplx_MONOMER_LANCL1	118326.83702670697	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c --> 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTM1	130155.68408445724	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTM2	130280.32409636454	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTM3	133350.1586761585	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTM4	129572.49194990216	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTM5	130022.51919128819	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTO1	137137.34759411562	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
enzyme_NRPPHRCHRGST_rev	cplx_HOMODIMER_GSTP1	121099.73485819153	pc	NRPPHRCHRGST	gthrd_c + nrpphrchrm_c <-- 5sgthleunrpphrchrm_c
