	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
120	ATP2B1	7.2.2.10	P20020	7.-.-.-	Translocases	7.2.-.-	Catalysing the translocation of inorganic cations	7.2.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type Ca(2+) transporter	Ca(2+)-transporting ATPase;calcium pump;calcium-translocating P-type ATPase	ATP + Ca(2+)(in) + H2O = ADP + Ca(2+)(out) + H(+) + phosphate	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- This enzyme family comprises three types of Ca(2+)-transporting;    enzymes that are found in the plasma membrane, the sarcoplasmic;    reticulum, in yeast, and in some bacteria;-!- The enzymes from plasma membrane and from yeast have been shown to;    transport one ion per ATP hydrolyzed whereas those from the;    sarcoplasmic reticulum transport two ions per ATP hydrolyzed;-!- In muscle cells Ca(2+) is transported from the cytosol into the;    sarcoplasmic reticulum;-!- Formerly EC 3.6.3.8
121	ATP2B4	7.2.2.10	P23634	7.-.-.-	Translocases	7.2.-.-	Catalysing the translocation of inorganic cations	7.2.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type Ca(2+) transporter	Ca(2+)-transporting ATPase;calcium pump;calcium-translocating P-type ATPase	ATP + Ca(2+)(in) + H2O = ADP + Ca(2+)(out) + H(+) + phosphate	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- This enzyme family comprises three types of Ca(2+)-transporting;    enzymes that are found in the plasma membrane, the sarcoplasmic;    reticulum, in yeast, and in some bacteria;-!- The enzymes from plasma membrane and from yeast have been shown to;    transport one ion per ATP hydrolyzed whereas those from the;    sarcoplasmic reticulum transport two ions per ATP hydrolyzed;-!- In muscle cells Ca(2+) is transported from the cytosol into the;    sarcoplasmic reticulum;-!- Formerly EC 3.6.3.8
122	ATP6V1A	7.1.2.2	P38606	7.-.-.-	Translocases	7.1.-.-	Catalysing the translocation of hydrons	7.1.2.-	Hydron translocation linked to the hydrolysis of a nucleoside triphosphate	H(+)-transporting two-sector ATPase	ATP synthase;chloroplast ATPase;F0F1-ATPase;F1-ATPase;FoF1-ATPase;H(+)-transporting ATPase;H(+)-transporting ATP synthase;mitochondrial ATPase	ATP + 4 H(+)(in) + H2O = ADP + 5 H(+)(out) + phosphate	-!- A multisubunit non-phosphorylated ATPase that is involved in the;    transport of ions;-!- Large enzymes of mitochondria, chloroplasts and bacteria with a;    membrane sector (Fo, Vo, Ao) and a cytoplasmic-compartment sector;    (F1, V1, A1);-!- The F-type enzymes of the inner mitochondrial and thylakoid membranes;    act as ATP synthases;-!- All of the enzymes included here operate in a rotational mode, where;    the extramembrane sector (containing 3 alpha- and 3 beta-subunits) is;    connected via the delta-subunit to the membrane sector by several;    smaller subunits;-!- Within this complex, the gamma- and epsilon-subunits, as well as the;    9-12 c subunits rotate by consecutive 120 degree angles and perform;    parts of ATP synthesis;-!- This movement is driven by the H(+) electrochemical potential;    gradient;-!- The V-type (in vacuoles and clathrin-coated vesicles) and A-type;    (archaeal) enzymes have a similar structure but, under physiological;    conditions, they pump H(+) rather than synthesize ATP;-!- Formerly EC 3.6.1.34 and EC 3.6.3.14
123	ATP7A	7.2.2.8	Q04656	7.-.-.-	Translocases	7.2.-.-	Catalysing the translocation of inorganic cations	7.2.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type Cu(+) transporter	Cu(+)-exporting ATPase	ATP + Cu(+)(in) + H2O = ADP + Cu(+)(out) + H(+) + phosphate	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- This enzyme transports Cu(+) or Ag(+), and cannot transport the;    divalent ions, contrary to EC 7.2.2.9, which mainly transports the;    divalent copper ion;-!- Formerly EC 3.6.3.54 and EC 3.6.3.n1
124	ATP7B	7.2.2.8	P35670	7.-.-.-	Translocases	7.2.-.-	Catalysing the translocation of inorganic cations	7.2.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type Cu(+) transporter	Cu(+)-exporting ATPase	ATP + Cu(+)(in) + H2O = ADP + Cu(+)(out) + H(+) + phosphate	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- This enzyme transports Cu(+) or Ag(+), and cannot transport the;    divalent ions, contrary to EC 7.2.2.9, which mainly transports the;    divalent copper ion;-!- Formerly EC 3.6.3.54 and EC 3.6.3.n1
125	B3GALNT1	2.4.1.79	O75752	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.1.-	Hexosyltransferases	globotriaosylceramide 3-beta-N-acetylgalactosaminyltransferase	beta3GalNAc-T1;galactosylgalactosylglucosylceramide beta-D-;acetylgalactosaminyltransferase;globoside synthase;globoside synthetase;uridine diphosphoacetylgalactosamine-galactosylgalactosylglucosylceramide;acetylgalactosaminyltransferase	a globoside Gb3Cer (d18:1(4E)) + UDP-N-acetyl-alpha-D-galactosamine =;a globoside Gb4Cer (d18:1(4E)) + H(+) + UDP	-!- Globoside is a neutral glycosphingolipid in human erythrocytes and;    has blood-group-P-antigen activity;-!- UDP-GalNAc is the only sugar donor that is used efficiently by the;    enzyme: UDP-Gal and UDP-GlcNAc result in very low enzyme activity;-!- Lactosylceramide, globoside and gangliosides GM3 and GD3 are not;    substrates
126	BHMT	2.1.1.5	Q93088	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.1.-	Methyltransferases	betaine--homocysteine S-methyltransferase		glycine betaine + L-homocysteine = L-methionine + N,N-dimethylglycine	
127	BLVRA	1.3.1.24	P53004	1.-.-.-	Oxidoreductases	1.3.-.-	Acting on the CH-CH group of donors	1.3.1.-	With NAD(+) or NADP(+) as acceptor	biliverdin reductase		(1) bilirubin IXalpha + NADP(+) = biliverdin IXalpha + H(+) + NADPH;(2) bilirubin IXalpha + NAD(+) = biliverdin IXalpha + H(+) + NADH	
128	BLVRB	1.3.1.24	P30043	1.-.-.-	Oxidoreductases	1.3.-.-	Acting on the CH-CH group of donors	1.3.1.-	With NAD(+) or NADP(+) as acceptor	biliverdin reductase		(1) bilirubin IXalpha + NADP(+) = biliverdin IXalpha + H(+) + NADPH;(2) bilirubin IXalpha + NAD(+) = biliverdin IXalpha + H(+) + NADH	
129	BLVRB	1.5.1.30	P30043	1.-.-.-	Oxidoreductases	1.5.-.-	Acting on the CH-NH group of donors	1.5.1.-	With NAD(+) or NADP(+) as acceptor	flavin reductase (NADPH)	flavine mononucleotide reductase;flavin mononucleotide reductase;FMN reductase (NADPH);NADPH:flavin oxidoreductase;NADPH:riboflavin oxidoreductase;NADPH dehydrogenase (flavin);NADPH-dependent FMN reductase;NADPH-flavin reductase;NADPH-FMN reductase;NADPH-specific FMN reductase;riboflavine mononucleotide reductase;riboflavin mononucleotide (reduced nicotinamide adenine dinucleotide;phosphate) reductase;riboflavin mononucleotide reductase	NADP(+) + reduced riboflavin = 2 H(+) + NADPH + riboflavin	-!- The enzyme from Entamoeba histolytica reduces riboflavin and;    galactoflavin, and, more slowly, FMN and FAD;-!- NADH is oxidized more slowly than NADPH;-!- Formerly EC 1.6.8.2
130	BMP2K	2.7.11.1	Q9NSY1	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
131	BPGM	5.4.2.11	P07738	5.-.-.-	Isomerases	5.4.-.-	Intramolecular transferases	5.4.2.-	Phosphotransferases (phosphomutases)	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	2,3-diphosphoglycerate dependent phosphoglycerate mutase;cofactor dependent phosphoglycerate mutase;PGAM;phosphoglycerate phosphomutase;phosphoglyceromutase	(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate	-!- The enzymes from vertebrates, platyhelminths, mollusks, annelids,;    crustaceans, insects, algae, some fungi, yeast and some bacteria;    (particularly Gram-negative) require 2,3-bisphospho-D-glycerate as a;    cofactor;-!- The enzyme is activated by 2,3-bisphospho-D-glycerate by transferring;    a phosphate to histidine (His(10) in man and Escherichia coli, His(8);    in Saccharomyces cerevisiae);-!- This phosphate can be transferred to the free OH of 2-phospho-D-;    glycerate, followed by transfer of the phosphate already on the;    phosphoglycerate back to the histidine. cf. EC 5.4.2.12;-!- The enzyme has no requirement for metal ions;-!- This enzyme also catalyze, slowly, the reactions of EC 5.4.2.4;-!- Formerly EC 2.7.5.3 and EC 5.4.2.1
132	BPGM	5.4.2.4	P07738	5.-.-.-	Isomerases	5.4.-.-	Intramolecular transferases	5.4.2.-	Phosphotransferases (phosphomutases)	bisphosphoglycerate mutase	2,3-bisphosphoglycerate mutase;2,3-bisphosphoglycerate synthase;2,3-diphosphoglycerate mutase;bisphosphoglycerate synthase;BPGM;diphosphoglycerate mutase;diphosphoglyceromutase;glycerate phosphomutase	(2R)-3-phospho-glyceroyl phosphate = (2R)-2,3-bisphosphoglycerate + H(+)	-!- In the direction shown, the enzyme is phosphorylated by;    3-phosphoglyceroyl phosphate to give phosphoenzyme and;    3-phosphoglycerate;-!- The latter is rephosphorylated by the enzyme to yield 2,3-;    diphosphoglycerate, but this reaction is slowed down by dissociation;    of 3-phosphoglycerate from the enzyme, which is therefore more active;    in the presence of added 3-phosphoglycerate;-!- Also catalyzes, slowly, the reaction of EC 5.4.2.12;-!- Formerly EC 2.7.5.4
133	BPNT1	3.1.3.57	O95861	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	inositol-1,4-bisphosphate 1-phosphatase	inositol polyphosphate 1-phosphatase	1D-myo-inositol 1,4-bisphosphate + H2O = 1D-myo-inositol 4-phosphate +;phosphate	-!- Acts on inositol 1,4-bisphosphate and inositol 1,3,4-trisphosphate;    (forming inositol 3,4-bisphosphate) with similar Vmax for both;    substrates, but with a 5 times higher affinity for the bisphosphate;-!- Does not act on inositol 1-phosphate, inositol 1,4,5-trisphosphate or;    inositol 1,3,4,5-tetrakisphosphate
134	BPNT1	3.1.3.7	O95861	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	3'(2'),5'-bisphosphate nucleotidase	3'(2'),5'-bisphosphonucleoside 3'(2')-phosphohydrolase;3'-phosphoadenylylsulfate 3'-phosphatase;DPNPase;phosphoadenylate 3'-nucleotidase	adenosine 3',5'-bisphosphate + H2O = AMP + phosphate	-!- Also acts on 3'-phosphoadenylylsulfate, and on the corresponding;    2'-phosphates
135	C1GALT1	2.4.1.122	Q9NS00	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.1.-	Hexosyltransferases	N-acetylgalactosaminide beta-1,3-galactosyltransferase	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase;uridine diphosphogalactose-mucin beta-(1->3)-galactosyltransferase	an N-acetyl-alpha-D-galactosaminyl derivative + UDP-alpha-D-galactose =;a beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl derivative +;H(+) + UDP	-!- The eukaryotic enzyme can act on non-reducing O-serine-linked;    N-acetylgalactosamine residues in mucin glycoproteins, forming the;    T-antigen;-!- The bacterial enzyme, found in some pathogenic strains, is involved;    in biosynthesis of the O-antigen repeating unit;-!- Formerly EC 2.4.1.307
136	CA1	4.2.1.1	P00915	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	carbonic anhydrase	carbonate dehydratase;carbonate hydro-lyase;carbonic dehydratase	H(+) + hydrogencarbonate = CO2 + H2O	-!- The enzyme catalyzes the reversible hydration of dissolved CO2 to;    carbonic acid, which dissociates to give hydrogencarbonate above;    neutral pH;-!- It is widespread and found in archaea, bacteria, and eukaryotes;-!- Three distinct classes exist, and appear to have evolved;    independently;-!- Contains zinc
137	CA1	4.2.1.69	P00915	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	cyanamide hydratase		urea = cyanamide + H2O	
138	CA2	4.2.1.1	P00918	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	carbonic anhydrase	carbonate dehydratase;carbonate hydro-lyase;carbonic dehydratase	H(+) + hydrogencarbonate = CO2 + H2O	-!- The enzyme catalyzes the reversible hydration of dissolved CO2 to;    carbonic acid, which dissociates to give hydrogencarbonate above;    neutral pH;-!- It is widespread and found in archaea, bacteria, and eukaryotes;-!- Three distinct classes exist, and appear to have evolved;    independently;-!- Contains zinc
139	CA2	4.2.1.69	P00918	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	cyanamide hydratase		urea = cyanamide + H2O	
140	CA3	4.2.1.1	P07451	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	carbonic anhydrase	carbonate dehydratase;carbonate hydro-lyase;carbonic dehydratase	H(+) + hydrogencarbonate = CO2 + H2O	-!- The enzyme catalyzes the reversible hydration of dissolved CO2 to;    carbonic acid, which dissociates to give hydrogencarbonate above;    neutral pH;-!- It is widespread and found in archaea, bacteria, and eukaryotes;-!- Three distinct classes exist, and appear to have evolved;    independently;-!- Contains zinc
141	CA4	4.2.1.1	P22748	4.-.-.-	Lyases	4.2.-.-	Carbon-oxygen lyases	4.2.1.-	Hydro-lyases	carbonic anhydrase	carbonate dehydratase;carbonate hydro-lyase;carbonic dehydratase	H(+) + hydrogencarbonate = CO2 + H2O	-!- The enzyme catalyzes the reversible hydration of dissolved CO2 to;    carbonic acid, which dissociates to give hydrogencarbonate above;    neutral pH;-!- It is widespread and found in archaea, bacteria, and eukaryotes;-!- Three distinct classes exist, and appear to have evolved;    independently;-!- Contains zinc
142	CAD	2.1.3.2	P27708	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.3.-	Carboxy- and carbamoyltransferases	aspartate carbamoyltransferase	aspartate transcarbamylase;ATCase;carbamoylaspartotranskinase	carbamoyl phosphate + L-aspartate = H(+) + N-carbamoyl-L-aspartate +;phosphate	
143	CAD	3.5.1.2	P27708	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.1.-	In linear amides	glutaminase	L-glutamine amidohydrolase	H2O + L-glutamine = L-glutamate + NH4(+)	
144	CAD	3.5.2.3	P27708	3.-.-.-	Hydrolases	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds	3.5.2.-	In cyclic amides	dihydroorotase	carbamoylaspartic dehydrase;DHOase	(S)-dihydroorotate + H2O = H(+) + N-carbamoyl-L-aspartate	
145	CAD	6.3.4.16	P27708	6.-.-.-	Ligases	6.3.-.-	Forming carbon-nitrogen bonds	6.3.4.-	Other carbon--nitrogen ligases	carbamoyl-phosphate synthase (ammonia)	carbamoylphosphate synthase (ammonia);carbamoylphosphate synthetase (ammonia);carbamoyl-phosphate synthetase (ammonia);carbamoyl-phosphate synthetase I;carbon-dioxide--ammonia ligase;CPS I	2 ATP + hydrogencarbonate + NH4(+) = 2 ADP + carbamoyl phosphate + 2 H(+);+ phosphate	-!- The enzyme catalyzes the first committed step in the urea cycle;-!- The reaction proceeds via three separate chemical reactions:;    phosphorylation of hydrogencarbonate to carboxyphosphate; a;    nucleophilic attack of ammonia on carboxyphosphate yielding;    carbamate; and the phosphorylation of carbamate forming carbamoyl;    phosphate;-!- Two moles of ATP are utilized for the synthesis of one molecule of;    carbamoyl phosphate, making the reaction essentially irreversible;-!- The enzyme requires the allosteric activator N-acetyl-L-glutamate;    cf. EC 6.3.5.5;-!- Formerly EC 2.7.2.5
146	CAD	6.3.5.5	P27708	6.-.-.-	Ligases	6.3.-.-	Forming carbon-nitrogen bonds	6.3.5.-	Carbon--nitrogen ligases with glutamine as amido-N-donor	carbamoyl-phosphate synthase (glutamine-hydrolyzing)	carbamoyl phosphate synthetase;carbamoyl phosphate synthetase (glutamine);carbamoyl-phosphate synthetase (glutamine-hydrolyzing);carbamoylphosphate synthetase II;CPS;GD-CPSase;glutamine-dependent carbamoyl-phosphate synthase;glutamine-dependent carbamoyl phosphate synthetase	2 ATP + H2O + hydrogencarbonate + L-glutamine = 2 ADP + carbamoyl;phosphate + 2 H(+) + L-glutamate + phosphate	-!- The product carbamoyl phosphate is an intermediate in the;    biosynthesis of arginine and the pyrimidine nucleotides;-!- The enzyme from Escherichia coli has three separate active sites,;    which are connected by a molecular tunnel that is almost 100 A in;    length;-!- The amidotransferase domain within the small subunit of the enzyme;    hydrolyzes glutamine to ammonia via a thioester intermediate;-!- The ammonia migrates through the interior of the protein, where it;    reacts with carboxyphosphate to produce the carbamate intermediate;-!- The carboxyphosphate intermediate is formed by the phosphorylation of;    hydrogencarbonate by ATP at a site contained within the N-terminal;    half of the large subunit;-!- The carbamate intermediate is transported through the interior of the;    protein to a second site within the C-terminal half of the large;    subunit, where it is phosphorylated by another ATP to yield the final;    product, carbamoyl phosphate. cf. EC 6.3.4.16;-!- Formerly EC 2.7.2.9
147	CARM1	2.1.1.319	Q86X55	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.1.-	Methyltransferases	type I protein arginine methyltransferase		L-arginyl-[protein] + 2 S-adenosyl-L-methionine = 2 H(+) +;N(omega),N(omega)-dimethyl-L-arginyl-[protein] + 2 S-adenosyl-L-;homocysteine	-!- This eukaryotic enzyme catalyzes the sequential dimethylation of one;    of the terminal guanidino nitrogen atoms in arginine residues,;    resulting in formation of asymmetric dimethylarginine residues;-!- Some forms (e.g. PRMT1) have a very wide substrate specificity, while;    others (e.g. PRMT4 and PRMT6) are rather specific;-!- The enzyme has a preference for methylating arginine residues that;    are flanked by one or more glycine residues;-!- PRMT1 is responsible for the bulk (about 85%) of total protein;    arginine methylation activity in mammalian cells. cf. EC 2.1.1.320,;    EC 2.1.1.321 and EC 2.1.1.322;-!- Formerly EC 2.1.1.23, EC 2.1.1.124, EC 2.1.1.125 and EC 2.1.1.126
148	CARS1	6.1.1.16	P49589	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	cysteine--tRNA ligase	cysteine translase;cysteinyl-tRNA synthetase	ATP + L-cysteine + tRNA(Cys) = AMP + diphosphate + L-cysteinyl-tRNA(Cys)	
149	CAT	1.11.1.6	P04040	1.-.-.-	Oxidoreductases	1.11.-.-	Acting on a peroxide as acceptor	1.11.1.-	Peroxidases	catalase		2 H2O2 = 2 H2O + O2	-!- A manganese protein containing Mn(III) in the resting state, which;    also belongs here, is often called pseudocatalase;-!- The enzymes from some organisms, such as Penicillium simplicissimum,;    can also act as a peroxidase (EC 1.11.1.7) for which several organic;    substances, especially ethanol, can act as a hydrogen donor;-!- Enzymes that exhibit both catalase and peroxidase activity belong;    under EC 1.11.1.21
150	CBR1	1.1.1.184	P16152	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	carbonyl reductase (NADPH)	aldehyde reductase I;NADPH-dependent carbonyl reductase;prostaglandin 9-ketoreductase;xenobiotic ketone reductase	a secondary alcohol + NADP(+) = a ketone + H(+) + NADPH	-!- Acts on a wide range of carbonyl compounds, including quinones,;    aromatic aldehydes, ketoaldehydes, daunorubicin, and prostaglandins;    E and F, reducing them to the corresponding alcohol;-!- Si-specific with respect to NADPH (cf. EC 1.1.1.2)
151	CBR1	1.1.1.189	P16152	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	prostaglandin-E2 9-reductase	9-keto-prostaglandin E2 reductase;9-ketoprostaglandin reductase;PGE2 9-ketoreductase;PGE2 9-oxoreductase;prostaglandin-E2 9-oxoreductase	NADP(+) + prostaglandin F2alpha = H(+) + NADPH + prostaglandin E2	-!- Reduces prostaglandin E2 to prostaglandin F2alpha;-!- A number of other 9-oxo- and 15-oxo-prostaglandin derivatives can;    also be reduced to the corresponding hydroxy compounds;-!- May be identical with EC 1.1.1.197
152	CBR1	1.1.1.196	P16152	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	15-hydroxyprostaglandin-D dehydrogenase (NADP(+))	prostaglandin-D 15-dehydrogenase (NADP(+));prostaglandin-D 15-dehydrogenase (NADP+)	NADP(+) + prostaglandin D2 = 15-oxoprostaglandin D2 + H(+) + NADPH	-!- Specific for prostaglandins D (cf. EC 1.1.1.141 and EC 1.1.1.197)
153	CBR1	1.1.1.197	P16152	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	15-hydroxyprostaglandin dehydrogenase (NADP(+))		NADP(+) + prostaglandin E1 = 15-oxoprostaglandin E1 + H(+) + NADPH	-!- Acts on prostaglandins E2, F2alpha and B1, but not on prostaglandin;    D2 (cf. EC 1.1.1.141 and EC 1.1.1.196);-!- May be identical with EC 1.1.1.189
154	CBR1	1.1.1.71	P16152	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	alcohol dehydrogenase [NAD(P)(+)]	retinal reductase	(1) a primary alcohol + NAD(+) = an aldehyde + H(+) + NADH;(2) a primary alcohol + NADP(+) = an aldehyde + H(+) + NADPH	-!- Reduces aliphatic aldehydes of chain length from C2 to C14, with;    greatest activity on C4, C6 and C8 aldehydes;-!- Also reduces retinal to retinol
155	CBR3	1.1.1.184	O75828	1.-.-.-	Oxidoreductases	1.1.-.-	Acting on the CH-OH group of donors	1.1.1.-	With NAD(+) or NADP(+) as acceptor	carbonyl reductase (NADPH)	aldehyde reductase I;NADPH-dependent carbonyl reductase;prostaglandin 9-ketoreductase;xenobiotic ketone reductase	a secondary alcohol + NADP(+) = a ketone + H(+) + NADPH	-!- Acts on a wide range of carbonyl compounds, including quinones,;    aromatic aldehydes, ketoaldehydes, daunorubicin, and prostaglandins;    E and F, reducing them to the corresponding alcohol;-!- Si-specific with respect to NADPH (cf. EC 1.1.1.2)
156	CBR3	1.6.5.10	O75828	1.-.-.-	Oxidoreductases	1.6.-.-	Acting on NADH or NADPH	1.6.5.-	With a quinone or similar compound as acceptor	NADPH dehydrogenase (quinone)		a quinone + H(+) + NADPH = a quinol + NADP(+)	-!- The enzyme from Escherichia coli is specific for NADPH and is most;    active with quinone derivatives and ferricyanide as electron;    acceptors;-!- Menaquinone can act as acceptor;-!- The enzyme from hog liver is inhibited by dicoumarol and folic acid;    derivatives but not by 2,4-dinitrophenol;-!- Formerly EC 1.6.99.6
157	CD38	2.4.99.20	P28907	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.99.-	Transferring other glycosyl groups	2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase	diphosphopyridine nucleosidase	NADP(+) + nicotinate = nicotinamide + nicotinate-adenine dinucleotide;phosphate	-!- This multiunctional enzyme catalyzes both the removal of nicotinamide;    from NADP(+), forming 2'-phospho-cyclic ADP-ribose, and the addition;    of nicotinate to the cyclic product, forming NAADP(+), a calcium;    messenger that can mobilize intracellular Ca(2+) stores and activate;    Ca(2+) influx to regulate a wide range of physiological processes;-!- In addition, the enzyme also catalyzes EC 3.2.2.6
158	CD38	3.2.2.6	P28907	3.-.-.-	Hydrolases	3.2.-.-	Glycosylases	3.2.2.-	Hydrolyzing N-glycosyl compounds	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase	NAD(+) nucleosidase;NADase;NAD hydrolase;nicotinamide adenine dinucleotide nucleosidase	H2O + NAD(+) = ADP-D-ribose + H(+) + nicotinamide	-!- This multiunctional enzyme catalyzes both the synthesis and;    hydrolysis of cyclic ADP-ribose, a calcium messenger that can;    mobilize intracellular Ca(2+) stores and activate Ca(2+) influx to;    regulate a wide range of physiological processes;-!- In addition, the enzyme also catalyzes EC 2.4.99.20;-!- It is also able to act on beta-nicotinamide D-ribonucleotide. cf;    EC 3.2.2.5
159	CDC34	2.3.2.23	P49427	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.2.-	Aminoacyltransferases	E2 ubiquitin-conjugating enzyme	ubiquitin-carrier-protein E2;ubiquitin-conjugating enzyme E2	S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine +;[E2 ubiquitin-conjugating enzyme]-L-cysteine = [E1 ubiquitin-activating;enzyme]-L-cysteine + S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-;cysteine	-!- The E2 ubiquitin-conjugating enzyme acquires the activated ubquitin;    from the E1 ubiquitin-activating enzyme (EC 6.2.1.45) and binds it;    via a transthioesterification reaction to itself;-!- In the human enzyme the catalytic center is located at Cys-87 where;    ubiquitin is bound via its C-terminal glycine in a thioester linkage;-!- Formerly EC 6.3.2.19
160	CDC34	2.3.2.24	P49427	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.2.-	Aminoacyltransferases	(E3-independent) E2 ubiquitin-conjugating enzyme	E3-independent ubiquitin-conjugating enzyme E2	S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine + [acceptor;protein]-L-lysine = [E1 ubiquitin-activating enzyme]-L-cysteine + N(6)-;monoubiquitinyl-[acceptor protein]-L-lysine	-!- The enzyme transfers a single ubiquitin directly from an;    ubiquitinated E1 ubiquitin-activating enzyme to itself, and on to a;    lysine residue of the acceptor protein without involvement of E3;    ubiquitin transferases (cf. EC 2.3.2.26, EC 2.3.2.27);-!- It forms a labile ubiquitin adduct in the presence of E1, ubiquitin,;    and Mg(2+)-ATP and catalyzes the conjugation of ubiquitin to protein;    substrates, independently of E3;-!- This transfer has only been observed with small proteins;-!- In vitro a transfer to small acceptors (e.g. L-lysine, N-acetyl-L-;    lysine methyl ester) has been observed
161	CDC42	3.6.5.2	P60953	3.-.-.-	Hydrolases	3.6.-.-	Acting on acid anhydrides	3.6.5.-	Acting on GTP; involved in cellular and subcellular movement	small monomeric GTPase		GTP + H2O = GDP + H(+) + phosphate	-!- A family of about 50 enzymes with a molecular mass of 21 kDa that are;    distantly related to the alpha-subunit of EC 3.6.1.46;-!- Involved in cell-growth regulation (Ras subfamily), membrane vesicle;    traffic and uncoating (Rab and ARF subfamilies), nuclear protein;    import (Ran subfamily) and organization of the cytoskeleton (Rho and;    Rac subfamilies);-!- Formerly EC 3.6.1.47
162	CDIPT	2.7.8.11	O14735	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.8.-	Transferases for other substituted phosphate groups	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	CDP-diacylglycerol--inositol phosphatidyltransferase;phosphatidylinositol synthase	a CDP-1,2-diacyl-sn-glycerol + myo-inositol = a 1,2-diacyl-sn-glycero-3-;phospho-(1D-myo-inositol) + CMP + H(+)	
