rxns	rxnRetired
SK_pe_hs_16_0_18_9Z12Z_c	SK_pe_hs_16_0_18_2_c
SK_pe_hs_16_0_18_9Z_c	SK_pe_hs_16_0_18_1_c
SK_pe_hs_18_9Z12Z_16_0_c	SK_pe_hs_18_2_16_0_c
SK_pe_hs_18_9Z12Z_18_9Z_c	SK_pe_hs_18_2_18_1_c
SK_pe_hs_18_9Z_18_9Z12Z_c	SK_pe_hs_18_1_18_2_c
SK_pe_hs_18_9Z_18_9Z_c	SK_pe_hs_18_1_18_1_c
SPRMt2	SPRMt2i
THMt	THMtrbc
UMPK1	UMPK
UPPG3DC	UPPDC1
UPPG3S	UPP3S
XYLTD_Dx	XYLTD_D
XYLUR_Ly	XYLUR
