enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_IND56Q1ERx_fwd_pc	enzyme_IND56Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	IND56Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_IND56Q1ERx_rev_pc	enzyme_IND56Q1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	IND56Q1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_NRPPHRCHR1ERx_fwd_pc	enzyme_NRPPHRCHR1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	NRPPHRCHR1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_NRPPHRCHR1ERx_rev_pc	enzyme_NRPPHRCHR1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	NRPPHRCHR1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_NRPPHRQ1ERx_L_fwd_pc	enzyme_NRPPHRQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	NRPPHRQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154672.61196395746);cplx_COMPLEX_Cyb5r3_B5b_pc(158521.62997944708);cplx_MONOMER_Cyb5r3_pc(95859.60065079007)	154672.61196395746;158521.62997944708;95859.60065079007	234000.0
enzyme_NRPPHRQ1ERx_L_rev_pc	enzyme_NRPPHRQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	NRPPHRQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_fwd_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_fwd	cplx_COMPLEX_Fads1_Cyb5a_pc;cplx_COMPLEX_Fads1_Cyb5b_pc	CYTBFADSD5_20_8Z11Z14Z17Z	forward	pc	cplx_COMPLEX_Fads1_Cyb5a_pc(186329.79099193087);cplx_COMPLEX_Fads1_Cyb5b_pc(189950.41257965827)	186329.79099193087;189950.41257965827	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_rev_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z17Z_rev	cplx_COMPLEX_Fads1_Cyb5a_pc;cplx_COMPLEX_Fads1_Cyb5b_pc	CYTBFADSD5_20_8Z11Z14Z17Z	reverse	pc	cplx_COMPLEX_Fads1_Cyb5a_pc(0);cplx_COMPLEX_Fads1_Cyb5b_pc(0)	0;0	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z_fwd_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z_fwd	cplx_COMPLEX_Fads1_Cyb5a_pc;cplx_COMPLEX_Fads1_Cyb5b_pc	CYTBFADSD5_20_8Z11Z14Z	forward	pc	cplx_COMPLEX_Fads1_Cyb5a_pc(186329.79099193087);cplx_COMPLEX_Fads1_Cyb5b_pc(189950.41257965827)	186329.79099193087;189950.41257965827	234000.0
enzyme_CYTBFADSD5_20_8Z11Z14Z_rev_pc	enzyme_CYTBFADSD5_20_8Z11Z14Z_rev	cplx_COMPLEX_Fads1_Cyb5a_pc;cplx_COMPLEX_Fads1_Cyb5b_pc	CYTBFADSD5_20_8Z11Z14Z	reverse	pc	cplx_COMPLEX_Fads1_Cyb5a_pc(0);cplx_COMPLEX_Fads1_Cyb5b_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_18_9Z12Z15Z_fwd_pc	enzyme_CYTBFADSD6_18_9Z12Z15Z_fwd	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_18_9Z12Z15Z	forward	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(186428.7879113744);cplx_COMPLEX_Fads2_Cyb5b_pc(190048.77669104934)	186428.7879113744;190048.77669104934	234000.0
enzyme_CYTBFADSD6_18_9Z12Z15Z_rev_pc	enzyme_CYTBFADSD6_18_9Z12Z15Z_rev	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_18_9Z12Z15Z	reverse	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(0);cplx_COMPLEX_Fads2_Cyb5b_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_18_9Z12Z_fwd_pc	enzyme_CYTBFADSD6_18_9Z12Z_fwd	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_18_9Z12Z	forward	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(186428.7879113744);cplx_COMPLEX_Fads2_Cyb5b_pc(190048.77669104934)	186428.7879113744;190048.77669104934	234000.0
enzyme_CYTBFADSD6_18_9Z12Z_rev_pc	enzyme_CYTBFADSD6_18_9Z12Z_rev	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_18_9Z12Z	reverse	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(0);cplx_COMPLEX_Fads2_Cyb5b_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_18_9Z_fwd_pc	enzyme_CYTBFADSD6_18_9Z_fwd	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_18_9Z	forward	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(186428.7879113744);cplx_COMPLEX_Fads2_Cyb5b_pc(190048.77669104934)	186428.7879113744;190048.77669104934	234000.0
enzyme_CYTBFADSD6_18_9Z_rev_pc	enzyme_CYTBFADSD6_18_9Z_rev	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_18_9Z	reverse	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(0);cplx_COMPLEX_Fads2_Cyb5b_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_20_11Z14Z17Z_fwd_pc	enzyme_CYTBFADSD6_20_11Z14Z17Z_fwd	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_20_11Z14Z17Z	forward	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(186428.7879113744);cplx_COMPLEX_Fads2_Cyb5b_pc(190048.77669104934)	186428.7879113744;190048.77669104934	234000.0
enzyme_CYTBFADSD6_20_11Z14Z17Z_rev_pc	enzyme_CYTBFADSD6_20_11Z14Z17Z_rev	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_20_11Z14Z17Z	reverse	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(0);cplx_COMPLEX_Fads2_Cyb5b_pc(0)	0;0	234000.0
enzyme_CYTBFADSD6_20_11Z14Z_fwd_pc	enzyme_CYTBFADSD6_20_11Z14Z_fwd	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_20_11Z14Z	forward	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(186428.7879113744);cplx_COMPLEX_Fads2_Cyb5b_pc(190048.77669104934)	186428.7879113744;190048.77669104934	234000.0
enzyme_CYTBFADSD6_20_11Z14Z_rev_pc	enzyme_CYTBFADSD6_20_11Z14Z_rev	cplx_COMPLEX_Fads2_Cyb5a_pc;cplx_COMPLEX_Fads2_Cyb5b_pc	CYTBFADSD6_20_11Z14Z	reverse	pc	cplx_COMPLEX_Fads2_Cyb5a_pc(0);cplx_COMPLEX_Fads2_Cyb5b_pc(0)	0;0	234000.0
