enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_P5CRy_rev	cplx_HOMODECAMER_Pycr3	0	pc	P5CRy	1pyr5c__L_c + 2.0 h_c + nadph_c <-- nadp_c + pro__L_c
enzyme_PAFH_fwd	cplx_HETEROTETRAMER_Pafah1b2_Pafah1b1	280353.340485246	pc	PAFH	h2o_c + paf_hs_c --> ac_c + h_c + lpco_hs_c
enzyme_PAFH_fwd	cplx_HETEROTETRAMER_Pafah1b2_Pafah1b3_Pafah1b1	280755.0294424088	pc	PAFH	h2o_c + paf_hs_c --> ac_c + h_c + lpco_hs_c
enzyme_PAFH_fwd	cplx_HETEROTETRAMER_Pafah1b3_Pafah1b1	281156.5269192521	pc	PAFH	h2o_c + paf_hs_c --> ac_c + h_c + lpco_hs_c
enzyme_PAFH_rev	cplx_HETEROTETRAMER_Pafah1b2_Pafah1b1	0	pc	PAFH	h2o_c + paf_hs_c <-- ac_c + h_c + lpco_hs_c
enzyme_PAFH_rev	cplx_HETEROTETRAMER_Pafah1b2_Pafah1b3_Pafah1b1	0	pc	PAFH	h2o_c + paf_hs_c <-- ac_c + h_c + lpco_hs_c
enzyme_PAFH_rev	cplx_HETEROTETRAMER_Pafah1b3_Pafah1b1	0	pc	PAFH	h2o_c + paf_hs_c <-- ac_c + h_c + lpco_hs_c
enzyme_PAFS_fwd	cplx_MONOMER_Lpcat1	144558.40599572673	pc	PAFS	accoa_c + lpco_hs_c --> coa_c + paf_hs_c
enzyme_PAFS_fwd	cplx_MONOMER_Lpcat3	138000.42662598586	pc	PAFS	accoa_c + lpco_hs_c --> coa_c + paf_hs_c
enzyme_PAFS_rev	cplx_MONOMER_Lpcat1	0	pc	PAFS	accoa_c + lpco_hs_c <-- coa_c + paf_hs_c
enzyme_PAFS_rev	cplx_MONOMER_Lpcat3	0	pc	PAFS	accoa_c + lpco_hs_c <-- coa_c + paf_hs_c
enzyme_PAN4PP_fwd	cplx_HOMODIMER_Pank4	334758.2055088697	pc	PAN4PP	4pptth__R_c + h2o_c --> pi_c + ptth__R_c
enzyme_PAN4PP_rev	cplx_HOMODIMER_Pank4	0	pc	PAN4PP	4pptth__R_c + h2o_c <-- pi_c + ptth__R_c
enzyme_PAPLA2_fwd	cplx_MONOMER_Abhd16a	150596.85587009758	pc	PAPLA2	h2o_c + pa_hs_c --> FA_hs_c + h_c + lpa_hs_c
enzyme_PAPLA2_fwd	cplx_MONOMER_Pla2g4a	188655.56565882146	pc	PAPLA2	h2o_c + pa_hs_c --> FA_hs_c + h_c + lpa_hs_c
enzyme_PAPLA2_fwd	cplx_MONOMER_Pla2g4b	194001.46789843554	pc	PAPLA2	h2o_c + pa_hs_c --> FA_hs_c + h_c + lpa_hs_c
enzyme_PAPLA2_rev	cplx_MONOMER_Abhd16a	0	pc	PAPLA2	h2o_c + pa_hs_c <-- FA_hs_c + h_c + lpa_hs_c
enzyme_PAPLA2_rev	cplx_MONOMER_Pla2g4a	0	pc	PAPLA2	h2o_c + pa_hs_c <-- FA_hs_c + h_c + lpa_hs_c
enzyme_PAPLA2_rev	cplx_MONOMER_Pla2g4b	0	pc	PAPLA2	h2o_c + pa_hs_c <-- FA_hs_c + h_c + lpa_hs_c
enzyme_PAPPO_fwd	cplx_MONOMER_Lpin2	212070.23563204	pc	PAPPO	h2o_c + pao_hs_c --> dago_hs_c + pi_c
enzyme_PAPPO_rev	cplx_MONOMER_Lpin2	0	pc	PAPPO	h2o_c + pao_hs_c <-- dago_hs_c + pi_c
enzyme_PAPP_fwd	cplx_MONOMER_Lpin2	212070.23563204	pc	PAPP	h2o_c + pa_hs_c --> dag_hs_c + pi_c
enzyme_PAPP_rev	cplx_MONOMER_Lpin2	0	pc	PAPP	h2o_c + pa_hs_c <-- dag_hs_c + pi_c
enzyme_PCETHTP_fwd	cplx_MONOMER_Pld1	249955.97883228265	pc	PCETHTP	etoh_c + pc_hs_c --> chol_c + peth_hs_c
enzyme_PCETHTP_rev	cplx_MONOMER_Pld1	0	pc	PCETHTP	etoh_c + pc_hs_c <-- chol_c + peth_hs_c
enzyme_PCFLOPt_fwd	cplx_HOMOTETRAMER_Abca1	1210263.2521295012	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c --> adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_fwd	cplx_MONOMER_Abca7	406194.1058838175	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c --> adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_fwd	cplx_MONOMER_Abcb1a	274771.1305925095	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c --> adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_fwd	cplx_MONOMER_Abcb1b	275267.8533712306	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c --> adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_fwd	cplx_MONOMER_Abcb4	274373.120782396	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c --> adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_rev	cplx_HOMOTETRAMER_Abca1	0	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c <-- adp_c + h_c + pc_hs_e + pi_c
enzyme_PCFLOPt_rev	cplx_MONOMER_Abca7	0	pc	PCFLOPt	atp_c + h2o_c + pc_hs_c <-- adp_c + h_c + pc_hs_e + pi_c
