	UniProt	IPI	GI	UniParc
1364	Q96IU4	IPI00063827		
1365	Q96IV0	IPI00074605		
1366	Q96JD6	IPI00153045		
1367	Q96JH7	IPI00064162	36029914	
1368	Q96JM4	IPI00815851		
1369	Q96K17	IPI00412792		
1370	Q96K21	IPI00329053;IPI00386862		
1371	Q96K76	IPI00607554	71774197	
1372	Q96KB5	IPI00306708		
1373	Q96KG9	IPI00062264		
1374	Q96KP4	IPI00177728		
1375	Q96KS0	IPI00074957		
1376	Q96L94	IPI00307039		
1377	Q96LD8	IPI00165616		
1378	Q96M27	IPI00744319		
1379	Q96MC9	IPI00307657		
1380	Q96MV1	IPI00043429		
1381	Q96NA2	IPI00289188		
1382	Q96NT1	IPI00070003		
1383	Q96P63	IPI00033583		
1384	Q96P70	IPI00185146	21361659	
1385	Q96PL5	IPI00044556	22536182	
1386	Q96PU5	IPI00163321		
1387	Q96QF7	IPI00289929		
1388	Q96QK1	IPI00018931		
1389	Q96QR8	IPI00045051		
1390	Q96RS6	IPI00306398;IPI00797537		
1391	Q96S19	IPI00065475		
1392	Q96SN8	IPI00329038;IPI00329039;IPI00384417;IPI00384418	25777600	
1393	Q96SU4	IPI00077853		
1394	Q96T66	IPI00290687		
1395	Q99426	IPI00293126		
1396	Q99436	IPI00003217	4506203	
1397	Q99447	IPI00015285		
1398	Q99460	IPI00299608;IPI00456695	25777600	
1399	Q99471	IPI00015361		
1400	Q99497	IPI00298547		
1401	Q99501	IPI00306170		
1402	Q99536	IPI00156689		
1403	Q99543	IPI00455199		
1404	Q99598	IPI00293350		
1405	Q99613	IPI00016910		
1406	Q99627	IPI00009480	5729779	
1407	Q99729	IPI00334587;IPI00334713		
1408	Q99733		5174613	
1409	Q99747	IPI00293817	4505331	
1410	Q99755		4505815	
1411	Q99808		12655065	
1412	Q99816	IPI00018434		
1413	Q99828	IPI00018451		
1414	Q99829	IPI00018452		
1415	Q99832	IPI00018465	56789228	
1416	Q99880	IPI00018534		
1417	Q99933	IPI00300531		
1418	Q99986	IPI00019640		
1419	Q9BPX3	IPI00106495		
1420	Q9BPX5	IPI00414554		
1421	Q9BPZ7	IPI00028195		
1422	Q9BQA1	IPI00012202		
1423	Q9BQE3	IPI00218343		
1424	Q9BQK8	IPI00556641		
1425	Q9BR76	IPI00007058		
1426	Q9BRA2	IPI00646689		
1427	Q9BRF8	IPI00305010		
1428	Q9BRG1	IPI00031655		
1429	Q9BRP8	IPI00305092		
1430	Q9BRQ6	IPI00031622		
1431	Q9BRT9	IPI00031614		
1432	Q9BRX2	IPI00106698		
1433	Q9BRX8	IPI00296190		
1434	Q9BRZ2		30794216	
1435	Q9BS40	IPI00106687		
1436	Q9BSJ8	IPI00022143		
1437	Q9BSL1	IPI00305442		
1438	Q9BT73	IPI00031106		
1439	Q9BT78	IPI00171844		
1440	Q9BTE1	IPI00032498		
1441	Q9BTM9	IPI00008445		
1442	Q9BTT0	IPI00165393		
1443	Q9BTU6	IPI00020124		
1444	Q9BTY7	IPI00009335		
1445	Q9BU02	IPI00013621		
1446	Q9BU89	IPI00171856		
1447	Q9BUH6	IPI00030968		
1448	Q9BUK6	IPI00306049		
1449	Q9BUL8	IPI00298558		
1450	Q9BUP3	IPI00784029	2618733	
1451	Q9BV20	IPI00005948		
1452	Q9BV68	IPI00155562		
1453	Q9BVC4	IPI00007182		
1454	Q9BVC6	IPI00031697		
1455	Q9BVJ7	IPI00306353		
1456	Q9BVK6	IPI00023542		
1457	Q9BVL2	IPI00107122		
1458	Q9BVL4	IPI00031666		
1459	Q9BVM2	IPI00063962	39930355	
1460	Q9BW62	IPI00789455		
1461	Q9BWQ6	IPI00031493		
1462	Q9BX66	IPI00002491		
1463	Q9BXD5	IPI00006165		
1464	Q9BXJ9	IPI00386189		
1465	Q9BXL5	IPI00464963		
1466	Q9BXS5	IPI00032516		
1467	Q9BY32	IPI00018783		
1468	Q9BYN0	IPI00168554		
1469	Q9BZ23	IPI00171176;IPI00556350		
1470	Q9BZE9	IPI00065276;IPI00332071	13129078	
1471	Q9BZI7		12711674	
1472	Q9BZV1	IPI00019276	13376854	
1473	Q9C0B1	IPI00028277		
1474	Q9C0C9	IPI00783378		
1475	Q9C0E2	IPI00028357		
1476	Q9C0I1	IPI00061280		
1477	Q9C0K7		13027388	
1478	Q9GZN8	IPI00101095		
1479	Q9GZP4	IPI00015351	21361837	
1480	Q9GZS3	IPI00019269		
1481	Q9GZT8	IPI00604624		
1482	Q9GZZ1	IPI00018627;IPI00470922		
1483	Q9GZZ9	IPI00015736		
1484	Q9H008	IPI00005474		
1485	Q9H074	IPI00021466		
1486	Q9H079	IPI00003035		
1487	Q9H082	IPI00021475		
1488	Q9H0E2	IPI00100154		
1489	Q9H0J9	IPI00009355		
1490	Q9H0N0	IPI00030304		
1491	Q9H0P0	IPI00619911		
1492	Q9H0R3	IPI00030236		
1493	Q9H0R8	IPI00027733		
1494	Q9H0U4	IPI00008964		
1495	Q9H0W9	IPI00072044;IPI00761072		
1496	Q9H1E5	IPI00100247		
1497	Q9H254	IPI00018829		
1498	Q9H267	IPI00032905		
1499	Q9H299	IPI00746352		
1500	Q9H2G2	IPI00022827;IPI00247439		
1501	Q9H2H8	IPI00300952		
1502	Q9H2J4	IPI00031629	10716144	
1503	Q9H2K8	IPI00410485	6503038	
1504	Q9H2M9	IPI00554590		
1505	Q9H361	IPI00301154		
1506	Q9H3N1	IPI00395887		
1507	Q9H3S7	IPI00034006		
1508	Q9H3Z4	IPI00023780		
1509	Q9H444	IPI00025974		
1510	Q9H446	IPI00034010		
1511	Q9H467	IPI00100463		
1512	Q9H479	IPI00023729	11545906	
1513	Q9H4A3	IPI00004472		
1514	Q9H4A6	IPI00005490		
1515	Q9H4B7	IPI00006510		
1516	Q9H4G4	IPI00007067		
1517	Q9H4M9	IPI00017184		
1518	Q9H583	IPI00024279		
1519	Q9H5X1	IPI00030985		
