	UniProt	IPI	GI	UniParc
0	A0A024QZ64		78070601	
1	A0A024R0L6		14043830	
2	A0A024R1I3		40674427	
3	A0A024R4T4		4507791	
4	A0A024R782		40353764	
5	A0A024R7W9		12804827	
6	A0A024R8S5		190384	
7	A0A024RCR2		15530323	
8	A0A077QP03		29792290	
9	A0A090N7U0		32307161	
10	A0A090N8Y2		4758304	
11	A0A0K0K1K4		13325216	
12	A0A0K0K1L8		5453990	
13	A0A0S2Z3S5		18426900	
14	A0A0S2Z489		17512153	
15	A0A0S2Z4R1		16741793	
16	A0A0S2Z583		12652725	
17	A0A0S2Z5D4		7705893	
18	A0A0S2Z5I7		28416940	
19	A0A140VJS3		12804959	
20	A0A140VJS6		79160069	
21	A0A140VK56		14603290	
22	A0A140VK64		13436368	
23	A0A140VK70		4506209	
24	A0A140VK83		54697128	
25	A0A140VKB1		19482174	
26	A0A140VKC8		12804977	
27	A0AVT1	IPI00023647		
28	A0FGR8	IPI00409635	45387945	
29	A0PJE2	IPI00062441		
30	A0PJW8	IPI00012682		
31	A4D1P6	IPI00477281	39794262	
32	A5D8V6	IPI00401773		
33	A6NCN2	IPI00008669		
34	A6NDG6	IPI00177008		
35	A6NDU8	IPI00374272		
36	A6NED2	IPI00399158		
37	A6NH11	IPI00373867		
38	A8K2U0	IPI00419215		
39	A8K5I0		39645782	
40	A8K5M4		32483399	
41	A8K7B7		16306717	
42	B0YJ88		4506467	
43	B2R5T5		47132583	
44	B2RB89		4506057	
45	B3KSW2		31657101	
46	B3KTW0		32307161	
47	B3KY36		42822880	
48	B4DFW3		57165410	
49	B4DKX1		62632750	
50	B4E3T1		62632750	
51	B7Z4W0		45439355	
52	B9A6J2		55743118	
53	D0PNI1		80477445	
54	E9KL30		4506203	
55	G0W2N5		60459552	
56	K9JA46		61656605	
57	O00151	IPI00010414		
58	O00154	IPI00010415		
59	O00159		1926311	
60	O00161	IPI00010438		
61	O00178	IPI00010463		
62	O00182	IPI00010477	18148432	
63	O00186		27881593	
64	O00214		6625728	
65	O00231		28872725	
66	O00232	IPI00185374		
67	O00233	IPI00010860;IPI00216220	12230943	
68	O00273	IPI00010882		
69	O00299	IPI00010896		
70	O00399	IPI00220770		
71	O00410	IPI00793443	2102696	
72	O00429	IPI00037283		
73	O00442	IPI00011726;IPI00221327		
74	O00487	IPI00024821		
75	O00505	IPI00299033		
76	O00571	IPI00215637	2580552	
77	O00602	IPI00012555		
78	O00625	IPI00012575		
79	O00629	IPI00012578		
80	O00743	IPI00012970	6537210	
81	O00764	IPI00013004		
82	O14494	IPI00297037		
83	O14523	IPI00394781		
84	O14545	IPI00009146		
85	O14562	IPI00005194		
86	O14602	IPI00023004		
87	O14618	IPI00021389		
88	O14662	IPI00023149		
89	O14686	IPI00297859		
90	O14737	IPI00023640		
91	O14744	IPI00441473	20070220	
92	O14818	IPI00024175		
93	O14908	IPI00024705		
94	O14950	IPI00033494		
95	O14964	IPI00006176		
96	O14980	IPI00298961	23271204	
97	O15067	IPI00004534	12230514	
98	O15084	IPI00514769		
99	O15116	IPI00004436		
100	O15127	IPI00218850		
101	O15143	IPI00005160		
102	O15144	IPI00005161		
103	O15145	IPI00005162		
104	O15162	IPI00005181	10863877	
105	O15173		16876814	
106	O15212	IPI00005657		
107	O15305	IPI00006092		
108	O15400	IPI00289876;IPI00552913		
109	O15439	IPI00006675		
110	O15498	IPI00008569		
111	O15511	IPI00007280;IPI00550234		
112	O15514	IPI00007283		
113	O15541	IPI00007343		
114	O15554	IPI00032466		
115	O43143	IPI00396435		
116	O43175	IPI00011200		
117	O43242	IPI00011603	19343674	
118	O43264	IPI00011631	4759344	
119	O43324	IPI00003588		
120	O43396	IPI00305692		
121	O43399	IPI00306825		
122	O43414	IPI00020701		
123	O43426	IPI00012441		
124	O43427	IPI00012443		
125	O43447	IPI00007346		
126	O43488	IPI00305978		
127	O43583	IPI00306280		
128	O43598	IPI00007926		
129	O43617	IPI00004324		
130	O43633	IPI00004416		
131	O43665	IPI00643554	4506505	
132	O43681	IPI00013466	2905657	
133	O43707	IPI00013808		
134	O43752	IPI00013930		
135	O43759	IPI00178631		
136	O43760	IPI00013946		
137	O43765	IPI00013949	4506921	
138	O43776	IPI00306960		
139	O43813	IPI00005724		
140	O43924	IPI00015161		
141	O60232	IPI00028412		
142	O60234	IPI00028414		
143	O60256	IPI00003168		
144	O60271	IPI00748244		
145	O60437	IPI00298057		
146	O60488	IPI00029737	12669909	
147	O60493	IPI00815770		
148	O60506	IPI00018140		
149	O60547	IPI00030207		
150	O60641	IPI00006612		
151	O60664	IPI00303882		
152	O60684		6912478	
153	O60749	IPI00299095	2827434	
154	O60762		14250108	
155	O60763	IPI00031583		
156	O60884	IPI00032406		
157	O60888	IPI00034319		
158	O60925	IPI00000051		
159	O60927	IPI00030355		
160	O75083	IPI00746165		
161	O75116	IPI00307155		
162	O75131	IPI00024403		
163	O75157	IPI00164935		
164	O75165	IPI00307259		
165	O75170	IPI00375638		
166	O75190	IPI00024523		
167	O75223	IPI00031564		
168	O75312	IPI00025244		
169	O75323	IPI00016077		
170	O75326	IPI00025257	75517788	
171	O75340	IPI00025277		
172	O75347	IPI00217236		
173	O75348	IPI00025285		
174	O75351	IPI00182728		
175	O75368	IPI00025318		
176	O75369	IPI00289334		
177	O75387	IPI00021075	4505971	
178	O75396	IPI00006865		
179	O75531	IPI00026087		
180	O75554	IPI00026957		
181	O75688	IPI00026612		
182	O75695	IPI00026627		
183	O75716		54696040	
184	O75821	IPI00290460		
185	O75822	IPI00290461	3264861	
186	O75832	IPI00003565		
187	O75874	IPI00027223		
188	O75915	IPI00007426		
189	O75935	IPI00027014;IPI00514971		
190	O75937	IPI00003438		
191	O75955	IPI00027438	5114049	
192	O76003	IPI00008552		
193	O76054	IPI00018314		
194	O76071	IPI00008791		
195	O94804	IPI00304742		
196	O94888	IPI00742124		
197	O94889	IPI00747824		
198	O94919	IPI00001952		
199	O94966	IPI00016589		
200	O94973	IPI00016621	27477041	
201	O94979	IPI00305152		
202	O94992	IPI00007941		
203	O95081	IPI00418238		
204	O95155	IPI00005715		
205	O95166	IPI00027253		
206	O95197	IPI00028946		
207	O95236	IPI00302796		
208	O95260	IPI00218377		
209	O95273	IPI00074484		
210	O95279	IPI00029507		
211	O95292	IPI00006211	4759302	
212	O95336	IPI00029997		
213	O95347	IPI00007927		
214	O95352	IPI00007404		
215	O95372	IPI00027032		
216	O95373	IPI00007402	11544639	
217	O95376	IPI00007304		
218	O95433	IPI00030706		
219	O95456	IPI00030770;IPI00401072	14714576	
220	O95467		18426900	
221	O95562	IPI00029002		
222	O95573	IPI00031397	42794752	
223	O95630	IPI00007943		
224	O95721	IPI00032831		
225	O95747	IPI00010080		
226	O95777	IPI00219871		
227	O95782	IPI00256684;IPI00304577	15963476	
228	O95816	IPI00000643		
229	O95825	IPI00438923		
230	O95833	IPI00000692		
231	O95834	IPI00015944		
232	O95837	IPI00000695		
233	O95861	IPI00410214		
234	O95989	IPI00009148		
235	O95999	IPI00022477		
236	P00167	IPI00182933		
237	P00338	IPI00217966	62897717	
238	P00352	IPI00218914		
239	P00387	IPI00328415;IPI00446235	553254	
240	P00390	IPI00016862;IPI00759575		
241	P00441	IPI00218733		
242	P00491		387033	
243	P00492	IPI00218493	459815	
244	P00558	IPI00169383		
245	P00568	IPI00018342	4502011	
246	P00813	IPI00296441		
247	P00915	IPI00215983		
248	P00918	IPI00218414		
249	P01009	IPI00553177		
250	P01040	IPI00032325		
251	P01111	IPI00000005		
252	P01116	IPI00423570	15718761	
253	P02008	IPI00217473		
254	P02042	IPI00473011		
255	P02100	IPI00217471		
256	P02545	IPI00021405		
257	P02549	IPI00220741;IPI00641363	1174412	
258	P02647	IPI00021841	178775	
259	P02649	IPI00021842	178849	
260	P02671	IPI00021885		
261	P02724	IPI00298800		
262	P02730		68563369	
263	P02751	IPI00022418		
264	P02768	IPI00384697;IPI00745872	28592	
265	P02775	IPI00022445		
266	P02787	IPI00022463		
267	P02794	IPI00554521		
268	P04040	IPI00465436	13562132	
269	P04075	IPI00465439	28614	
270	P04080	IPI00021828		
271	P04083	IPI00218918		
272	P04264	IPI00220327		
273	P04279	IPI00023020		
274	P04406	IPI00219018	31645	
275	P04424	IPI00220267		
276	P04632	IPI00025084	4502565	
277	P04792	IPI00025512		
278	P04899		183182	
279	P04908	IPI00026272		
280	P04921	IPI00026299	183327	
281	P05023	IPI00006482	179212	
282	P05067	IPI00006608		
283	P05089	IPI00038356;IPI00291560;IPI00398768	178995	
284	P05109	IPI00007047		
285	P05198	IPI00219678		
286	P05386	IPI00008527		
287	P05387	IPI00008529		
288	P05388	IPI00008530	12654583	
289	P05455	IPI00009032		
290	P06132	IPI00301489		
291	P06396	IPI00026314;IPI00646773		
292	P06576	IPI00303476		
293	P06702	IPI00027462		
294	P06703	IPI00027463		
295	P06727	IPI00304273		
296	P06730	IPI00027485	54673615	
297	P06733	IPI00465248		
298	P06744	IPI00027497		
299	P06748	IPI00220740		
300	P06753	IPI00218319;IPI00218320		
301	P07195	IPI00219217		
302	P07203		577777	
303	P07237	IPI00010796		
304	P07311	IPI00221117		
305	P07355	IPI00455315		
306	P07384	IPI00011285	14250593	
307	P07451	IPI00216983		
308	P07737	IPI00216691		
309	P07738	IPI00215979	40353764	
310	P07741	IPI00218693		
311	P07814	IPI00013452		
312	P07900	IPI00382470;IPI00784295		
313	P07902	IPI00013925		
314	P07910	IPI00216592		
315	P07954	IPI00296053;IPI00759715		
316	P07996	IPI00296099		
317	P08107	IPI00304925		
318	P08133	IPI00221226		
319	P08174	IPI00216550		
320	P08238	IPI00414676		
321	P08246	IPI00027769		
322	P08311	IPI00028064		
323	P08397	IPI00028160;IPI00219877		
324	P08590	IPI00243742		
325	P08670	IPI00418471		
326	P08708	IPI00221093		
327	P08754	IPI00220578	5729850	
328	P08758	IPI00329801		
329	P08865	IPI00553164		
330	P09104	IPI00216171		
331	P09105	IPI00217472		
332	P09132	IPI00295889		
333	P09211	IPI00219757		
334	P09417	IPI00014439		
335	P09493	IPI00014581	825723	
336	P09496	IPI00014587;IPI00216393;IPI00790571	4502899	
337	P09497	IPI00216472	4502901	
338	P09543	IPI00220993		
339	P09651	IPI00215965;IPI00465365;IPI00797148	182073	
340	P09960	IPI00219077		
341	P0C0L4		179674	
342	P0C7P3	IPI00455330		
343	P0CB43	IPI00741734		
344	P0CG47	IPI00719280		
345	P0DI81	IPI00005119		
346	P0DMV8		386785	
347	P10114	IPI00019346		
348	P10155	IPI00019450		
349	P10599	IPI00216298		
350	P10644	IPI00021831	47132583	
351	P10746	IPI00745889		
352	P10768	IPI00411706		
353	P10809		306890	
354	P10909	IPI00291262		
355	P11021	IPI00003362	6470150	
356	P11142	IPI00003865		
357	P11166	IPI00220194		
358	P11169	IPI00003909		
359	P11171	IPI00003921;IPI00218697;IPI00218698;IPI00218699;IPI00218700;IPI00218701	182073	
360	P11172	IPI00003923		
361	P11233	IPI00217519	20147713	
362	P11234		4506405	
363	P11277	IPI00216704;IPI00237806;IPI00783228	134798	
364	P11413	IPI00216008;IPI00289800		
365	P11441	IPI00005658		
366	P11586		115206	
367	P11766	IPI00746777		
368	P11940	IPI00008524;IPI00410017	693937	
369	P12081	IPI00021808		
370	P12268	IPI00291510		
371	P12273	IPI00022974		
372	P12429	IPI00024095		
373	P12829	IPI00384992		
374	P12955	IPI00257882		
375	P13010	IPI00220834		
376	P13489	IPI00550069	190848	
377	P13639	IPI00186290		
378	P13667		4758304	
379	P13693	IPI00550900		
380	P13716	IPI00442121	248839	
381	P13727	IPI00010341		
382	P13796	IPI00010471		
383	P13798	IPI00337741		
384	P13987	IPI00011302		
385	P14174	IPI00293276		
386	P14209	IPI00253036		
387	P14317	IPI00026156		
388	P14550	IPI00220271		
389	P14618	IPI00220644;IPI00479186		
390	P14625		15010550	
391	P14672	IPI00027281		
392	P14735	IPI00220373		
393	P14868	IPI00216951		
394	P15104	IPI00010130		
395	P15121	IPI00413641		
396	P15144	IPI00221224		
397	P15170	IPI00218829		
398	P15259	IPI00218570		
399	P15311	IPI00843975	119717	
400	P15374	IPI00011250		
401	P15531	IPI00012048		
402	P15735	IPI00012891		
403	P15924		1147813	
404	P16070	IPI00297160	950419	
405	P16083	IPI00219129		
406	P16152	IPI00295386	4502599	
407	P16157	IPI00216697;IPI00297532;IPI00374973;IPI00654646;IPI00744408;IPI00744846;IPI00744895;IPI00744986;IPI00745348;IPI00747536;IPI00747552;IPI00748074;IPI00748330;IPI00748439;IPI00748895;IPI00749301	62088416	
408	P16403	IPI00217465		
409	P16452	IPI00028120	112798	
410	P16473	IPI00028642		
411	P16930	IPI00031708		
412	P16949	IPI00479997		
413	P16989	IPI00031801		
414	P17066	IPI00339269		
415	P17174	IPI00219029		
416	P17612	IPI00217960;IPI00396630		
417	P17655	IPI00289758		
418	P17812	IPI00290142		
419	P17813	IPI00017567		
420	P17858	IPI00332371		
421	P17931	IPI00465431	1196442	
422	P17980	IPI00018398		
423	P17987	IPI00290566	57863257	
424	P18077	IPI00029731		
425	P18124		35903	
426	P18206	IPI00291175;IPI00307162		
427	P18621	IPI00413324		
428	P18669	IPI00549725		
429	P19256		4502677	
430	P19474	IPI00018971		
431	P19623	IPI00292020		
432	P19784	IPI00020602		
433	P20020	IPI00021695		
434	P20042	IPI00021728		
435	P20073	IPI00002460;IPI00021771		
436	P20290	IPI00221035		
437	P20339	IPI00023510		
438	P20340	IPI00023526;IPI00217943		
439	P20618	IPI00025019	12653473	
440	P20810	IPI00220857;IPI00305750;IPI00760715;IPI00761035;IPI00761160	12056962	
441	P20930	IPI00026256	60097902	
442	P20962	IPI00550020		
443	P21108	IPI00218371		
444	P21266	IPI00246975		
445	P21281	IPI00007812	522193	
446	P21291	IPI00442073		
447	P21333	IPI00302592;IPI00333541		
448	P21399	IPI00008485		
449	P21964	IPI00011284		
450	P21980	IPI00294578		
451	P22061	IPI00411680		
452	P22102	IPI00025273		
453	P22234	IPI00815732		
454	P22303		52352734	
455	P22314	IPI00645078	35830	
456	P22392	IPI00026260;IPI00795292		
457	P22532	IPI00386598		
458	P22694	IPI00376119	4506057	
459	P22891	IPI00027843		
460	P23193	IPI00333215	45439355	
461	P23258	IPI00295081		
462	P23276	IPI00220459		
463	P23284	IPI00646304	118090	
464	P23381	IPI00295400	40889611	
465	P23396	IPI00011253		
466	P23443	IPI00216132		
467	P23526	IPI00012007		
468	P23528	IPI00012011		
469	P23588	IPI00012079	49258185	
470	P23610	IPI00012433		
471	P23634	IPI00012490	14286105	
472	P23743	IPI00333143		
473	P23919	IPI00013862		
474	P23921	IPI00013871	4506749	
475	P24534	IPI00178440		
476	P24539		13543618	
477	P24666	IPI00218847;IPI00219861		
478	P24941	IPI00031681		
479	P25325	IPI00165360		
480	P25685	IPI00015947		
481	P25686	IPI00220102		
482	P25786	IPI00016832;IPI00472442	4506179	
483	P25787	IPI00219622		
484	P25788	IPI00171199;IPI00419249	13528948	
485	P25789	IPI00299155	4506185	
486	P26038	IPI00219365		
487	P26447	IPI00032313		
488	P26599	IPI00179964	4506243	
489	P26639	IPI00329633	1464742	
490	P26640	IPI00000873		
491	P26885	IPI00002535		
492	P27105	IPI00219682	1103842	
493	P27169	IPI00218732		
494	P27348	IPI00018146	54696890	
495	P27448		15042609	
496	P27449	IPI00018855		
497	P27482	IPI00216984		
498	P27695	IPI00215911		
499	P27708	IPI00301263		
500	P27797	IPI00020599		
501	P27986	IPI00021448		
502	P28062	IPI00000783		
503	P28066	IPI00291922		
504	P28070	IPI00555956		
505	P28072	IPI00000811		
506	P28074	IPI00479306	30582393	
507	P28289	IPI00002375	12803651	
508	P28482	IPI00003479		
509	P28676	IPI00004524		
510	P28838	IPI00419237;IPI00789806		
511	P29144	IPI00020416	339878	
512	P29218	IPI00020906		
513	P29353	IPI00021326		
514	P29508	IPI00022204		
515	P29590	IPI00022348		
516	P29692	IPI00023048		
517	P29972	IPI00024689	19387211	
518	P30040	IPI00024911		
519	P30041	IPI00220301		
520	P30043	IPI00783862		
521	P30044	IPI00024915		
522	P30046	IPI00293867		
523	P30050	IPI00024933		
524	P30086	IPI00219446		
525	P30101	IPI00025252	21361657	
526	P30153	IPI00554737	231443	
527	P30154	IPI00294178;IPI00335449		
528	P30520	IPI00026833		
529	P30613	IPI00027165	189996	
530	P30626	IPI00027175		
531	P30711	IPI00741097		
532	P30740	IPI00027444		
533	P30838	IPI00296183		
534	P31146	IPI00010133		
535	P31150	IPI00010154		
536	P31151	IPI00219806		
537	P31153	IPI00010157		
538	P31323	IPI00554752		
539	P31939	IPI00289499	20127454	
540	P31942	IPI00013877		
541	P31943	IPI00013881		
542	P31946	IPI00216318;IPI00759832	4507949	
543	P31947	IPI00013890		
544	P31948	IPI00013894		
545	P31949	IPI00013895		
546	P32119	IPI00027350		
547	P32121	IPI00180375		
548	P32856		47117845	
549	P33121	IPI00012728		
550	P33176	IPI00012837		
551	P33241	IPI00013260		
552	P33527	IPI00008338		
553	P34896	IPI00220668		
554	P34932	IPI00002966	6226869	
555	P35219	IPI00219669		
556	P35232	IPI00017334		
557	P35236	IPI00081833		
558	P35240		18044276	
559	P35241		4506467	
560	P35268	IPI00219153		
561	P35527	IPI00019359		
562	P35573	IPI00219065		
563	P35579	IPI00019502;IPI00395772	12667788	
564	P35580	IPI00397526		
565	P35611	IPI00019901;IPI00220158	29826319	
566	P35612	IPI00019904	9257192	
567	P35613	IPI00019906	20146101	
568	P35754	IPI00219025		
569	P35813	IPI00020950		
570	P35998	IPI00021435	4506209	
571	P36404	IPI00003326		
572	P36405	IPI00003327		
573	P36507	IPI00003783		
574	P36543	IPI00003856	313014	
575	P36915	IPI00396387		
576	P36959	IPI00304803	182867	
577	P36969	IPI00304814;IPI00745335		
578	P37108	IPI00293434		
579	P37235	IPI00219344		
580	P37802	IPI00550363		
581	P37837	IPI00744692		
582	P37840	IPI00024107;IPI00218467		
583	P38117		4503609	
584	P38159	IPI00304692		
585	P38606	IPI00007682	15341906	
586	P38646		18645123	
587	P38919	IPI00009328	496902	
588	P39019	IPI00215780		
589	P39687	IPI00025849	62898121	
590	P40121	IPI00027341		
591	P40227	IPI00027626	58331171	
592	P40306	IPI00027933		
593	P40429	IPI00304612		
594	P40818		731046	
595	P40855	IPI00441867		
596	P40926	IPI00291006		
597	P41091	IPI00297982	18044760	
598	P41214	IPI00013160		
599	P41227	IPI00013184		
600	P42025	IPI00029469		
601	P42226	IPI00030782		
602	P42330	IPI00291483		
603	P42338	IPI00031388		
604	P42345	IPI00031410		
605	P42566	IPI00292134		
606	P42574	IPI00292140		
607	P42773	IPI00001564		
608	P43034	IPI00218728	40352755	
609	P43250		51896035	
610	P43353	IPI00018031		
611	P43405	IPI00018597		
612	P43487	IPI00414127		
613	P43490	IPI00018873		
614	P43686	IPI00020042;IPI00216770		
615	P45974	IPI00024664;IPI00375145		
616	P45985	IPI00024674		
617	P46060	IPI00294879		
618	P46108	IPI00004838;IPI00399054		
619	P46109	IPI00004839		
620	P46379	IPI00465128		
621	P46459	IPI00006451	21040484	
622	P46734	IPI00218857;IPI00218858;IPI00220438	21618349	
623	P46781	IPI00221088		
624	P46782	IPI00008433		
625	P46783	IPI00008438		
626	P46926	IPI00009305		
627	P46940	IPI00009342		
628	P46976	IPI00180386		
629	P47224	IPI00023939		
630	P47755	IPI00026182	433308	
631	P47756	IPI00026185;IPI00642256	80479060	
632	P47929	IPI00219221		
633	P48047		54696534	
634	P48147	IPI00008164		
635	P48426	IPI00009688		
636	P48444	IPI00514053		
637	P48506	IPI00215768		
638	P48507	IPI00010090		
639	P48637	IPI00010706		
640	P48643	IPI00010720	24307939	
641	P48729	IPI00183400	4388767	
642	P48739	IPI00334907		
643	P49247	IPI00026513		
644	P49321	IPI00179953;IPI00332499		
645	P49327	IPI00026781	915392	
646	P49356	IPI00026817		
647	P49368	IPI00553185	14124984	
648	P49427	IPI00027120		
649	P49588	IPI00027442		
650	P49589	IPI00556365		
651	P49591	IPI00220637		
652	P49593	IPI00291412		
653	P49720	IPI00028004	15278174	
654	P49721	IPI00028006		
655	P49755	IPI00028055		
656	P49770	IPI00028083	7657058	
657	P49773	IPI00239077		
658	P49840		682745	
659	P49902	IPI00029054		
660	P49915	IPI00029079		
661	P50148	IPI00288947	1181671	
662	P50395		4960030	
663	P50416	IPI00032038		
664	P50453	IPI00032139		
665	P50502	IPI00032826	904032	
666	P50542	IPI00032931		
667	P50552	IPI00301058		
668	P50570	IPI00033022;IPI00218889	56549123	
669	P50579	IPI00033036		
670	P50583	IPI00221231		
671	P50747	IPI00301907		
672	P50895	IPI00002406	1708887	
673	P50990	IPI00784090	47940653	
674	P50991	IPI00302927	76827901	
675	P50993	IPI00003021		
676	P51148	IPI00016339	642532	
677	P51149	IPI00016342		
678	P51153	IPI00016373		
679	P51157	IPI00016377		
680	P51571	IPI00019385		
681	P51665	IPI00019927		
682	P51692	IPI00103415		
683	P51784	IPI00184533		
684	P51811	IPI00020896		
685	P51812	IPI00020898		
686	P51858	IPI00020956		
687	P51991	IPI00419373	34740329	
688	P52209	IPI00219525	12653201	
689	P52294	IPI00303292	12804301	
690	P52298	IPI00183500		
691	P52434	IPI00003309		
692	P52565	IPI00003815		
693	P52566	IPI00003817		
694	P52594	IPI00304693		
695	P52657	IPI00004353		
696	P52758	IPI00005038		
697	P52788	IPI00005102		
698	P52888	IPI00549189	12652769	
699	P52907	IPI00005969	62898013	
700	P53004	IPI00294158	13543489	
701	P53041	IPI00019812	897761	
702	P53367	IPI00021258		
703	P53384	IPI00021277		
704	P53396	IPI00021290	28935	
705	P53582	IPI00022239		
706	P53602	IPI00022745		
707	P53611	IPI00295849		
708	P53621	IPI00295857		
709	P53680	IPI00219840		
710	P53985	IPI00024650		
711	P53990	IPI00024660;IPI00420088		
712	P54105	IPI00004795		
713	P54136	IPI00004860;IPI00759723		
714	P54577	IPI00007074		
715	P54578	IPI00219913	13097696	
716	P54652	IPI00007702		
717	P54707	IPI00008161		
718	P54725	IPI00008219		
719	P54727	IPI00008223		
720	P54920	IPI00009253		
721	P55010	IPI00022648		
722	P55036	IPI00022694	48735381	
723	P55039	IPI00022697		
724	P55060	IPI00022744;IPI00219994	3560557	
725	P55072	IPI00022774		
726	P55160	IPI00023407		
727	P55209	IPI00023860		
728	P55263	IPI00234368;IPI00290279		
729	P55786	IPI00026216		
730	P55957	IPI00413587;IPI00420084		
731	P56537	IPI00010105		
732	P56557	IPI00010146		
733	P57737	IPI00027996		
734	P57764	IPI00028027		
735	P57772	IPI00028050		
736	P58107	IPI00010951		
737	P59190	IPI00394882	27734452	
738	P59665	IPI00005721		
739	P59998	IPI00554811		
740	P60510	IPI00012833		
741	P60520	IPI00026358		
742	P60660	IPI00335168		
743	P60709	IPI00021439	14250401	
744	P60842	IPI00025491	4503529	
745	P60866	IPI00012493		
746	P60891	IPI00219616		
747	P60900	IPI00029623	296736	
748	P60953	IPI00016786		
749	P60981	IPI00473014		
750	P61006	IPI00028481	16933567	
751	P61018	IPI00477489	33150586	
752	P61019	IPI00031169	4506365	
753	P61020	IPI00017344	4506371	
754	P61026	IPI00016513		
755	P61081	IPI00022597	4507791	
756	P61086	IPI00021370		
757	P61088	IPI00003949		
758	P61106	IPI00291928		
759	P61158	IPI00028091		
760	P61160	IPI00005159		
761	P61163	IPI00029468		
762	P61201	IPI00018813;IPI00743825		
763	P61204	IPI00215917		
764	P61221	IPI00303207		
765	P61224	IPI00015148	7661678	
766	P61225	IPI00018364	38201690	
767	P61247	IPI00419880		
768	P61254	IPI00027270		
769	P61326	IPI00219306		
770	P61353	IPI00219155		
771	P61421	IPI00034159		
772	P61586		307375	
773	P61599	IPI00007174		
774	P61626	IPI00019038		
775	P61764		4507297	
776	P61923	IPI00032851		
777	P61956	IPI00299149		
778	P61960	IPI00010207		
779	P61962	IPI00006754		
780	P61966	IPI00152898		
781	P61970	IPI00009901		
782	P61978	IPI00216049;IPI00216746;IPI00807545	4758012	
783	P61981	IPI00220642	82407958	
784	P62081	IPI00013415		
785	P62140	IPI00218236		
786	P62158	IPI00075248		
787	P62166	IPI00219110		
788	P62191	IPI00011126	16741033	
789	P62195	IPI00023919		
790	P62244	IPI00221091		
791	P62249	IPI00221092		
792	P62256	IPI00020965		
793	P62258	IPI00000816		
794	P62263	IPI00026271		
795	P62266	IPI00218606		
796	P62269	IPI00013296		
797	P62273	IPI00182289		
798	P62277	IPI00221089		
799	P62280	IPI00025091		
800	P62310	IPI00219229		
801	P62312	IPI00001146		
802	P62330	IPI00215920		
803	P62487	IPI00218895		
804	P62495	IPI00429191	56789236	
805	P62633	IPI00430812;IPI00430814		
806	P62701	IPI00217030		
807	P62714	IPI00429689		
808	P62753	IPI00021840		
809	P62805	IPI00453473		
810	P62820	IPI00005719		
811	P62826	IPI00643041	4092054	
812	P62829	IPI00010153		
813	P62834	IPI00019345		
814	P62847	IPI00029750		
815	P62851	IPI00012750		
816	P62873	IPI00026268		
817	P62877	IPI00003386		
818	P62879	IPI00003348		
819	P62888	IPI00219156		
820	P62899	IPI00026302		
821	P62906	IPI00412579	531171	
822	P62913	IPI00376798		
823	P62917	IPI00012772		
824	P62937	IPI00419585		
825	P62979	IPI00179330		
826	P62987	IPI00456429		
827	P62993	IPI00021327		
828	P63000	IPI00010271		
829	P63010	IPI00784156		
830	P63092		18426900	
831	P63104	IPI00021263		
832	P63165	IPI00303105		
833	P63208	IPI00172421;IPI00301364		
834	P63220	IPI00017448		
835	P63241	IPI00376005;IPI00411704		
836	P63279	IPI00032957		
837	P67775	IPI00008380		
838	P67870	IPI00010865	181155	
839	P67936	IPI00010779		
840	P68036	IPI00021347		
841	P68104	IPI00396485		
842	P68133	IPI00021428		
843	P68371	IPI00007752		
844	P68402	IPI00026546		
845	P68871	IPI00654755		
846	P69891	IPI00220706		
847	P69905	IPI00410714		
848	P78318	IPI00019148	4557663	
849	P78371	IPI00297779		
850	P78417	IPI00019755		
851	P78527	IPI00296337		
852	P78560	IPI00020364		
853	P80217	IPI00008613		
854	P81605	IPI00027547		
855	P84077	IPI00215914		
856	P98179	IPI00024320		
857	Q00013	IPI00215610		
858	Q00169	IPI00216048		
859	Q00577	IPI00023591		
860	Q00610	IPI00024067;IPI00455383	4758012	
861	Q00688	IPI00024157		
862	Q00765	IPI00024670		
863	Q00796	IPI00216057		
864	Q01082	IPI00005614		
865	Q01105	IPI00072377		
866	Q01432	IPI00300573		
867	Q01469	IPI00007797		
868	Q01518	IPI00008274;IPI00639931		
869	Q01658	IPI00008991		
870	Q01970	IPI00010400		
