complex	compartment	subunits	genes	reactions	coefficients	cofactors	notes
cplx_HOMODECAMER_Pycr3	c	protein_Pycr3	Pycr3	HPROy;P5CRx;P5CRy	10
cplx_HOMODIMER_Abcb6	pm	protein_Abcb6	Abcb6	CPPP1ABCte;CPPP3ABCte;CPPPG3ABCte;FE2PHEMEABCte;HEMATINABCte;PPP9ABCte;UPP1ABCte;UPP3ABCte	2
cplx_HOMODIMER_Ache	pm	protein_Ache	Ache	ACHEe	2
cplx_HOMODIMER_Acy1	c	protein_Acy1	Acy1	ACMDAC;NACCYSDAC	2
cplx_HOMODIMER_Adh5	c	protein_Adh5	Adh5	FAWOXx_10_10OH;FAWOXx_10_10OXO;FAWOXx_12_12OH;FAWOXx_12_12OXO;FAWOXx_14_14OH;FAWOXx_14_14OXO;FAWOXx_16_016OH;FAWOXx_16_016OXO;FAWOXx_20_5Z8Z11Z14Z20OH;FAWOXx_20_5Z8Z11Z14Z20OXO;FAWOXx_22_22OH;FAWOXx_22_22OXO;HMGTHDH;ALCD2x;LCARR;LCARS;GTHNORDx;LALDO	2
cplx_HOMODIMER_Adss2	c	protein_Adss2	Adss2	ADSS	2
cplx_HOMODIMER_Afmid	c	protein_Afmid	Afmid	FKYNH	2
cplx_HOMODIMER_Akr7a5	c	protein_Akr7a5	Akr7a5	GHBDHy;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;SBTRa;ARABR_Ly;ALR2y;ALR3y;PPDOy	2
cplx_HOMODIMER_Aldh3a1	c	protein_Aldh3a1	Aldh3a1	ALDD2x;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;RBTDG_Dx;34DHALDDx;34DHALDDy;3M4HDXPACx;3M4HDXPACy;ALDD19x;ALDD19y;ALDD2y;MACOXO;34DHXMANDACOXx;34DHXMANDACOXy;4HOXPACDORx;4HOXPACDORy	2
cplx_HOMODIMER_Aldh3a2	c	protein_Aldh3a2	Aldh3a2	ALDD2x;ABUTDx;BAMPPALDOXx;NABTNO;GLYALDD;TMABADH;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;5HOXINDACTOX;HXDCAL2EDHx;HXDCAL2EDHy;HXDCALDHx;HXDCALDHy;GLACOx;FRNSL2E6EDH;IMACTD;MACOXO;MMALNDHx	2
cplx_HOMODIMER_Alpl	c	protein_Alpl	Alpl	AHDTPPPH;ALKP;CRTNP;THMMPP	2
cplx_HOMODIMER_Alpl	pm	protein_Alpl	Alpl	CRTNPe;ETHPe;NDPADPe;NTDAMPe;NTPAe;PPAe;PYDXPPe;THMMPPe	2
cplx_HOMODIMER_Ano6	pm	protein_Ano6	Ano6	PCSCRt;PSSCRt;LPCSCRt	2
cplx_HOMODIMER_Aprt	c	protein_Aprt	Aprt	ADPT;AICRT	2
cplx_HOMODIMER_Atic	c	protein_Atic	Atic	AICART;IMPC	2
cplx_HOMODIMER_Bpgm	c	protein_Bpgm	Bpgm	DPGM;DPGase;PGM	2
cplx_HOMODIMER_Carm1	c	protein_Carm1	Carm1	PRMTMMA;PRMTSDMA	2
cplx_HOMODIMER_Cars1	c	protein_Cars1	Cars1	CYSTRS	2
cplx_HOMODIMER_Cd38	c	protein_Cd38	Cd38	NADPN;CADPRBPH;CADPRIBH;DNADPL;NADL;NADN;NADPL;NMNN	2
cplx_HOMODIMER_Cd38	pm	protein_Cd38	Cd38	CADPRIBtec	2
cplx_HOMODIMER_Cds2	c	protein_Cds2	Cds2	CDS	2
cplx_HOMODIMER_Ckb	c	protein_Ckb	Ckb	CK	2
cplx_HOMODIMER_Ckb	pm	protein_Ckb	Ckb	CKe	2
cplx_HOMODIMER_Ckm	c	protein_Ckm	Ckm	CK	2
cplx_HOMODIMER_Ckm	pm	protein_Ckm	Ckm	CKe	2
cplx_HOMODIMER_Cndp2	c	protein_Cndp2	Cndp2	2ABUTGLYDP;AMPTASECG;FLDPP;FYDPP;GFDPP;GGDPP;GLDPP;GWDPP;KLDPP;LADPP;LGDPP;LLDPP;PFDPP;PLDPP;VLDPP;LLACPHEHYD	2
cplx_HOMODIMER_Crppa	c	protein_Crppa	Crppa	R5PCT;RBTCT;RU5PCT	2
cplx_HOMODIMER_Cryl1	c	protein_Cryl1	Cryl1	GULN3D	2
cplx_HOMODIMER_Cybrd1	pm	protein_Cybrd1	Cybrd1	TMASCBOXt;TMASCBOXt2;TMASCBOXt3	2
cplx_HOMODIMER_Dars1	c	protein_Dars1	Dars1	ASPTRS	2
cplx_HOMODIMER_Dhfr	c	protein_Dhfr	Dhfr	DHFRy	2
cplx_HOMODIMER_Dnph1	c	protein_Dnph1	Dnph1	DAMPNH;DCMPNH;DGMPNH;DIMPNH;DTMPNH;DUMPNH	2
cplx_HOMODIMER_Dpyd	c	protein_Dpyd	Dpyd	D5FURADy;DTHYMy;DURADy	2
cplx_HOMODIMER_Dtymk	c	protein_Dtymk	Dtymk	DUMPK1;DUMPK2;DTMPK1;DTMPK2	2
cplx_HOMODIMER_Eno1	c	protein_Eno1	Eno1	ENO	2
cplx_HOMODIMER_Eno2	c	protein_Eno2	Eno2	ENO	2
cplx_HOMODIMER_Eno3	c	protein_Eno3	Eno3	ENO	2
cplx_HOMODIMER_Entpd1	pm	protein_Entpd1	Entpd1	NDPADPe;NTPAe	2
cplx_HOMODIMER_Ephx2	c	protein_Ephx2	Ephx2	EET1112EPHX;EET1314EPHX;EET56EPHX;EET89EPHX;EDP1011EPHX;EDP1314EPHX;EDP1617EPHX;EDP1920EPHX;EDP78EPHX;EEQ1112EPHX;EEQ1415EPHX;EEQ1718EPHX;EEQ56EPHX;EEQ89EPHX;EPOME1213EPHX;EPOME910EPHX	2
cplx_HOMODIMER_Eprs1	c	protein_Eprs1	Eprs1	GLUTRS;PROTRS	2
cplx_HOMODIMER_Esd	c	protein_Esd	Esd	AC4OACNAMDC;AC9OACNAMDC;SFGTH	2
cplx_HOMODIMER_Fah	c	protein_Fah	Fah	FUMAC;FUMAC2	2
cplx_HOMODIMER_Fahd1	c	protein_Fahd1	Fahd1	OAADC	2
cplx_HOMODIMER_Fasn	c	protein_Fasn	Fasn	ACOATA;FA120ACPH;FA140ACPH;FA160ACPH;FA180ACPH;MCOATA;3OHAACPDH1;3OHAACPDH2;3OHAACPDH3;3OHAACPDH4;3OHAACPDH5;3OHAACPDH6;3OHAACPDH7;3OHAACPDH8;3OXAACPR1y;3OXAACPR2y;3OXAACPR3y;3OXAACPR4y;3OXAACPR5y;3OXAACPR6y;3OXAACPR7y;3OXAACPR8y;BKAACPSYN1;BKAACPSYN2;BKAACPSYN3;BKAACPSYN4;BKAACPSYN5;BKAACPSYN6;BKAACPSYN7;BKAACPSYN8;EACPR1y;EACPR2y;EACPR3y;EACPR4y;EACPR5y;EACPR6y;EACPR7y;EACPR8y	2
cplx_HOMODIMER_Fdps	c	protein_Fdps	Fdps	DMATT;GRTT	2
cplx_HOMODIMER_Flad1	c	protein_Flad1	Flad1	FMNAT	2
cplx_HOMODIMER_Fth1	c	protein_Fth1	Fth1	FISC	2
cplx_HOMODIMER_Ftl1	c	protein_Ftl1	Ftl1	FISC	2
cplx_HOMODIMER_Gale	c	protein_Gale	Gale	UDPG4E;UAG4E	2
cplx_HOMODIMER_Galk1	c	protein_Galk1	Galk1	GALK	2
cplx_HOMODIMER_Galt	c	protein_Galt	Galt	UGLT	2
cplx_HOMODIMER_Gars1	c	protein_Gars1	Gars1	GLYTRS;AP4ASYN	2
cplx_HOMODIMER_Gart	c	protein_Gart	Gart	GARFT;PRAGS;PRAIS	2
cplx_HOMODIMER_Gfus	c	protein_Gfus	Gfus	GFUCSx;GFUCSy	2
cplx_HOMODIMER_Ggct	c	protein_Ggct	Ggct	GGLUCTC;GGLUCT2ABUT	2
cplx_HOMODIMER_Glo1	c	protein_Glo1	Glo1	LGTHL	2
cplx_HOMODIMER_Gmps	c	protein_Gmps	Gmps	GMPS2;GLUN;THIOGMPS;THIOGMPS2;GMPS	2
cplx_HOMODIMER_Got1	c	protein_Got1	Got1	UNK3;PHETA1;2ABUTTA;ASPTA;GOATA;EHGLAT;3SALATA;CYSTA;LCYSTAT;OPHGLXTA;OPHOXATA;GTHGLXTA;GTHOXATA;TYRTA	2
cplx_HOMODIMER_Got2	c	protein_Got2	Got2	PHETA1;CYSTA;LCYSTAT;KYNAKGAT;TYRTA;3HKYNAKGAT	2
cplx_HOMODIMER_Gpi1	c	protein_Gpi1	Gpi1	PGI;G6PM	2
cplx_HOMODIMER_Gpt	c	protein_Gpt	Gpt	ALATA_L;VANILPYR	2
cplx_HOMODIMER_Grhpr	c	protein_Grhpr	Grhpr	HPYRRx_R;HPYRRy_R;GLYCLTDy;LALDO2x;LALDO2y	2
cplx_HOMODIMER_Gsr	c	protein_Gsr	Gsr	GTHOy;GTHOx	2
cplx_HOMODIMER_Gss	c	protein_Gss	Gss	GTHS;GTHS2	2
cplx_HOMODIMER_Gstm1	c	protein_Gstm1	Gstm1	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstm2	c	protein_Gstm2	Gstm2	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstm3	c	protein_Gstm3	Gstm3	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstm4	c	protein_Gstm4	Gstm4	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;GTHLEUKTRA4;GTHLEUKTRA5;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstm5	c	protein_Gstm5	Gstm5	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstm6	c	protein_Gstm6	Gstm6	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstm7	c	protein_Gstm7	Gstm7	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gsto1	c	protein_Gsto1	Gsto1	GTHDH;23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstp1	c	protein_Gstp1	Gstp1	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstp2	c	protein_Gstp2	Gstp2	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstt1	c	protein_Gstt1	Gstt1	23E1QN1GST;23E1QN4GST;23E2QN1GST;23E2QN4GST;34E1QN2GST;34E2QN2GST;ADRNCHRGST;ADRNLQGST_L;DOPAQGST_L;DPAMCHRGST;DPAMQGST_L;DPCHRGST_L;IND56QNGST;NRPPHRCHRGST;NRPPHRQGST_L;PROSTGA1GST;PROSTGA2GST;PROSTGA3GST	2
cplx_HOMODIMER_Gstz1	c	protein_Gstz1	Gstz1	MACACI	2
cplx_HOMODIMER_Hars1	c	protein_Hars1	Hars1	HISTRS	2
cplx_HOMODIMER_Hddc2	c	protein_Hddc2	Hddc2	NTDDAMP;NTDDGMP;NTDDCMP;NTDDTMP	2
cplx_HOMODIMER_Hexa	c	protein_Hexa	Hexa	HEXGA2;HEXGM2;HEXGBSIDE	2
cplx_HOMODIMER_Hexb	c	protein_Hexb	Hexb	HEXGA2;HEXGM2;HEXGBSIDE	2
cplx_HOMODIMER_Hint1	c	protein_Hint1	Hint1	AMPAMD	2
cplx_HOMODIMER_Hpgds	c	protein_Hpgds	Hpgds	PGD2S	2
cplx_HOMODIMER_Idh1	c	protein_Idh1	Idh1	ICDHy	2
cplx_HOMODIMER_Idh2	c	protein_Idh2	Idh2	ICDHy	2
cplx_HOMODIMER_Impa1	c	protein_Impa1	Impa1	MI1PP;GAL1PP;G1PPa;MI14P1PP;MI14P4PP;MI3PP;MI4PP;NTD2AMP;NTD2CMP;NTD2GMP;NTD2UMP	2
cplx_HOMODIMER_Impa2	c	protein_Impa2	Impa2	MI1PP;GAL1PP;G1PPa;MI14P1PP;MI14P4PP;MI3PP;MI4PP;NTD2AMP;NTD2CMP;NTD2GMP;NTD2UMP	2
cplx_HOMODIMER_Insr	c	protein_Insr	Insr	PROTYK	2
cplx_HOMODIMER_Itpa	c	protein_Itpa	Itpa	NTPPDI;NTPPI;NTPPX;RBVNTPP	2
cplx_HOMODIMER_Kars1	c	protein_Kars1	Kars1	LYSTRS;AP4ASYN	2
cplx_HOMODIMER_Kyat1	c	protein_Kyat1	Kyat1	CYSLNET;KYNAKGAT;HSERL1;CYSIL2;CYSL2;3HKYNAKGAT;PHPYRAT;CYSTL2;METMSPYRAT;SELCYSTL2	2
cplx_HOMODIMER_Lhpp	c	protein_Lhpp	Lhpp	PPA	2
cplx_HOMODIMER_Lypla1	c	protein_Lypla1	Lypla1	LPCLPLB;LPELPLB;LPILPLB;LPSLPLB;PROTCSAE_14_0;PROTCSAE_16_0;PROTCSAE_18_0	2
cplx_HOMODIMER_Map2k1	c	protein_Map2k1	Map2k1	PROTSK;PROTTK;PROTYK	2
cplx_HOMODIMER_Map2k2	c	protein_Map2k2	Map2k2	PROTSK;PROTTK;PROTYK	2
cplx_HOMODIMER_Map2k3	c	protein_Map2k3	Map2k3	PROTSK;PROTTK;PROTYK	2
cplx_HOMODIMER_Map2k6	c	protein_Map2k6	Map2k6	PROTSK;PROTTK;PROTYK	2
cplx_HOMODIMER_Mapk1	c	protein_Mapk1	Mapk1	PROTSK;PROTTK	2
cplx_HOMODIMER_Mapk3	c	protein_Mapk3	Mapk3	PROTSK;PROTTK	2
cplx_HOMODIMER_Mdh1	c	protein_Mdh1	Mdh1	MDH;L2HGDHx;SLDx;34HPLDH;PHLAC	2
cplx_HOMODIMER_Mdh2	c	protein_Mdh2	Mdh2	MDH;L2HGDHx;SLDx;34HPLDH;PHLAC	2
cplx_HOMODIMER_Mpo	pm	protein_Mpo	Mpo	MPOe	2
cplx_HOMODIMER_Mri1	c	protein_Mri1	Mri1	MTRI	2
cplx_HOMODIMER_Mthfd1	c	protein_Mthfd1	Mthfd1	FTHFL;MTHFC;MTHFD	2
cplx_HOMODIMER_Mtmr1	c	protein_Mtmr1	Mtmr1	PI35P3P;PI3PP	2
cplx_HOMODIMER_Mtmr2	c	protein_Mtmr2	Mtmr2	PI35P3P;PI3PP	2
cplx_HOMODIMER_Mvd	c	protein_Mvd	Mvd	DPMVD	2
cplx_HOMODIMER_Nadk2	c	protein_Nadk2	Nadk2	NADK	2
cplx_HOMODIMER_Nagk	c	protein_Nagk	Nagk	ACGAMK;AMANK	2
cplx_HOMODIMER_Nampt	c	protein_Nampt	Nampt	NMNS	2
cplx_HOMODIMER_Napepld	c	protein_Napepld	Napepld	NAPEPLD	2
cplx_HOMODIMER_Naprt	c	protein_Naprt	Naprt	NAMNPP;NAPRT	2
cplx_HOMODIMER_Nars1	c	protein_Nars1	Nars1	ASNTRS	2
cplx_HOMODIMER_Naxe	c	protein_Naxe	Naxe	NADHXE;NADPHXE	2
cplx_HOMODIMER_Nit1	c	protein_Nit1	Nit1	DGSHAMID;DOPHAMID	2
cplx_HOMODIMER_Nit2	c	protein_Nit2	Nit2	OXOGAH;OXOSUCAH	2
cplx_HOMODIMER_Nos3	c	protein_Nos3	Nos3	NOS1;NOS2	2
cplx_HOMODIMER_Nqo2	c	protein_Nqo2	Nqo2	ESTRADIOL23Q2ERz;ESTRADIOL34Q2ERz;ESTRONE23Q2ERz;ESTRONE34Q2ERz;Q102ERz;ADRNCHR2ERz;ADRNLQ2ERz_L;DOPAQ2ERz_L;DPAMCHR2ERz;DPAMQ2ERz_L;DPCHR2ERz_L;IND56Q2ERz;NRPPHRCHR2ERz;NRPPHRQ2ERz_L	2
cplx_HOMODIMER_Nt5c	c	protein_Nt5c	Nt5c	NICHYD;NMNHYD;NTD2AMP;NTD2CMP;NTD2GMP;NTD2UMP;NTDDIMP;NTDDAMP;NTDDGMP;NTDDUMP;NTDDTMP	2
cplx_HOMODIMER_Nudt5	c	protein_Nudt5	Nudt5	ADPMNDP;ADPRDP;ADPRUDP;ATPR5PT;ADPGLCDP	2
cplx_HOMODIMER_Odc1	c	protein_Odc1	Odc1	ORNDC	2
cplx_HOMODIMER_Pak2	c	protein_Pak2	Pak2	PROTSK;PROTTK	2
cplx_HOMODIMER_Pank2	c	protein_Pank2	Pank2	4PCYSK;PNTOK;PTTHK	2
cplx_HOMODIMER_Pank4	c	protein_Pank4	Pank4	PAN4PP	2
cplx_HOMODIMER_Park7	c	protein_Park7	Park7	PROTCDGLAC_D;PROTCDGLAC_L;PROTKDGLAC_D;PROTKDGLAC_L;PROTRDGLAC_D;PROTRDGLAC_L	2
cplx_HOMODIMER_Pcyt1a	c	protein_Pcyt1a	Pcyt1a	CHLPCTD	2
cplx_HOMODIMER_Pcyt1b	c	protein_Pcyt1b	Pcyt1b	CHLPCTD	2
cplx_HOMODIMER_Pcyt2	c	protein_Pcyt2	Pcyt2	PETHCT	2
cplx_HOMODIMER_Pde1a	c	protein_Pde1a	Pde1a	PDEG	2
cplx_HOMODIMER_Pde2a	c	protein_Pde2a	Pde2a	PDEA;PDEG;PDEI	2
cplx_HOMODIMER_Pde3a	c	protein_Pde3a	Pde3a	PDEA;PDEG;PDEI	2
cplx_HOMODIMER_Pde3b	c	protein_Pde3b	Pde3b	PDEA;PDEG;PDEI	2
cplx_HOMODIMER_Pde4d	c	protein_Pde4d	Pde4d	PDEA;PDEI	2
cplx_HOMODIMER_Pde5a	c	protein_Pde5a	Pde5a	PDEG	2
cplx_HOMODIMER_Pde9a	c	protein_Pde9a	Pde9a	PDEG	2
cplx_HOMODIMER_Pdxk	c	protein_Pdxk	Pdxk	PYDAMK;PYDXK;PYDXNK	2
cplx_HOMODIMER_Pdxp	c	protein_Pdxp	Pdxp	PDXPP;PYDXPP;PYDAMPP	2
cplx_HOMODIMER_Pepd	c	protein_Pepd	Pepd	APDPP;FPDPP;GPDPP;LPDPP;MPDPP;PPDPP;VPDPP	2
cplx_HOMODIMER_Pgam1	c	protein_Pgam1	Pgam1	DPGM;PGM	2
cplx_HOMODIMER_Pgd	c	protein_Pgd	Pgd	GND	2
cplx_HOMODIMER_Pgp	c	protein_Pgp	Pgp	G3PP;4PERP;PROTYPP;2LACP_L;PGLYCP	2
cplx_HOMODIMER_Pip4k2a	c	protein_Pip4k2a	Pip4k2a	PI5P4KA;PI5P4KG	2
cplx_HOMODIMER_Pip4k2b	c	protein_Pip4k2b	Pip4k2b	PI5P4KA;PI5P4KG	2
cplx_HOMODIMER_Pip4k2c	c	protein_Pip4k2c	Pip4k2c	PI5P4KA;PI5P4KG	2
cplx_HOMODIMER_Pisd	c	protein_Pisd	Pisd	PSDC	2
cplx_HOMODIMER_Pmm2	c	protein_Pmm2	Pmm2	PMANM	2
cplx_HOMODIMER_Pnpo	c	protein_Pnpo	Pnpo	PDX5PO;PYAM5PO	2
cplx_HOMODIMER_Ppa1	c	protein_Ppa1	Ppa1	PPA	2
cplx_HOMODIMER_Ppa2	c	protein_Ppa2	Ppa2	PPA	2
cplx_HOMODIMER_Ppcs	c	protein_Ppcs	Ppcs	PPNCL3	2
cplx_HOMODIMER_Prdx1	c	protein_Prdx1	Prdx1	PRDX2OX2;PRDX2OX1;PRDX2SO2OX1;PRDX2SOOX1;PRDX2SOR	2
cplx_HOMODIMER_Prdx2	c	protein_Prdx2	Prdx2	PRDX2OX2;PRDX2OX1;PRDX2SO2OX1;PRDX2SOOX1;PRDX2SOR	2
cplx_HOMODIMER_Prdx4	c	protein_Prdx4	Prdx4	PRDX2OX2;PRDX2OX1;PRDX2SO2OX1;PRDX2SOOX1;PRDX2SOR	2
cplx_HOMODIMER_Prdx6	c	protein_Prdx6	Prdx6	PCPLA2;HPETE11GTHR;HPETE12GTHR;HPETE15GTHR;HPETE5GTHR;HPETE8GTHR;HPETE9GTHR;HPDHA10GTHR;HPDHA11GTHR;HPDHA13GTHR;HPDHA14GTHR;HPDHA16GTHR;HPDHA17GTHR;HPDHA20GTHR;HPDHA4GTHR;HPDHA7GTHR;HPDHA8GTHR;HPEPE11GTHR;HPEPE12GTHR;HPEPE15GTHR;HPEPE18GTHR;HPEPE5GTHR;HPEPE8GTHR;HPEPE9GTHR;2OHE1PX;2OHE2PX;4OHE1PX;4OHE2PX;PCOPLA2;PCPPLA2;PEPPLA2;LPCAT;HPODE13GTHR;HPODE9GTHR;56DHIPX;ADRNLPX_L;DOPAPX_L;DPAMPX_L;LADRNCHRPX;LDPAMCHRPX;LDPCHRPX_L;LNRPPHRCHRPX;NRPPHRPX_L;PGG1GTHR;PGG2GTHR;PGG3GTHR;MEOHP;PRDX1GTHDG;PRDX1OX1	2
cplx_HOMODIMER_Prkg1	c	protein_Prkg1	Prkg1	PROTSK;PROTTK	2
cplx_HOMODIMER_Prps1	c	protein_Prps1	Prps1	PRPPS;PRPPSZ	2
cplx_HOMODIMER_Prps2	c	protein_Prps2	Prps2	PRPPS;PRPPSZ	2
cplx_HOMODIMER_Prune1	c	protein_Prune1	Prune1	PPA	2
cplx_HOMODIMER_Psat1	c	protein_Psat1	Psat1	ASNTA;GOATA;OPHGLXTA;OPHOXATA;GTHGLXTA;GTHOXATA;PSERT	2
cplx_HOMODIMER_Psph	c	protein_Psph	Psph	PSP_L	2
cplx_HOMODIMER_Ptgr1	c	protein_Ptgr1	Ptgr1	15KPGE1Ry;15KPGE2Ry;15KPGE3Ry;15KPGF1Ry;15KPGF2Ry;15KPGF3Ry	2
cplx_HOMODIMER_Ptgs1	c	protein_Ptgs1	Ptgs1	PGG1S;PGG2S;PGG3S	2
cplx_HOMODIMER_Ptgs2	c	protein_Ptgs2	Ptgs2	PGG1S;PGG2S;PGG3S	2
cplx_HOMODIMER_Qdpr	c	protein_Qdpr	Qdpr	DHPRx;DHPRy	2
cplx_HOMODIMER_Qprt	c	protein_Qprt	Qprt	NNDPR	2
cplx_HOMODIMER_Rbks	c	protein_Rbks	Rbks	RBK	2
cplx_HOMODIMER_Rhag	pm	protein_Rhag	Rhag	CO2t;MMAt2;NH3t;NH4t	2
cplx_HOMODIMER_Rock2	c	protein_Rock2	Rock2	PROTSK;PROTTK	2
cplx_HOMODIMER_Rpe	c	protein_Rpe	Rpe	RPE	2
cplx_HOMODIMER_Rpia	c	protein_Rpia	Rpia	RPI;ADPRPI	2
cplx_HOMODIMER_Sars1	c	protein_Sars1	Sars1	SERTRS	2
cplx_HOMODIMER_Sdsl	c	protein_Sdsl	Sdsl	SERHL;THRHL	2
cplx_HOMODIMER_Slc12a2	pm	protein_Slc12a2	Slc12a2	NKCC2t;NKCCt	2
cplx_HOMODIMER_Slc12a4	pm	protein_Slc12a4	Slc12a4	KCCt;KCC2t	2
cplx_HOMODIMER_Slc12a6	pm	protein_Slc12a6	Slc12a6	KCCt;KCC2t	2
cplx_HOMODIMER_Slc12a7	pm	protein_Slc12a7	Slc12a7	KCCt;KCC2t	2
cplx_HOMODIMER_Slc16a1	pm	protein_Slc16a1	Slc16a1	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	2
