complex	compartment	subunits	genes	reactions	coefficients	cofactors	notes
cplx_HETERODIMER_Hexab	c	protein_Hexa;protein_Hexb	Hexa;Hexb	HEXGA2;HEXGM2;HEXGBSIDE	1;1
cplx_HETERODIMER_Map2k1_Map2k2	c	protein_Map2k1;protein_Map2k2	Map2k1;Map2k2	PROTSK;PROTTK;PROTYK	1;1
cplx_HETERODIMER_Map2k3_Map2k6	c	protein_Map2k3;protein_Map2k6	Map2k3;Map2k6	PROTSK;PROTTK;PROTYK	1;1
cplx_HETERODIMER_Mapk14_Mapkapk2	c	protein_Mapk14;protein_Mapkapk2	Mapk14;Mapkapk2	PROTSK;PROTTK	1;1
cplx_HETERODIMER_Mtm1_Mtmr12	c	protein_Mtm1;protein_Mtmr12	Mtm1;Mtmr12	PI35P3P;PI3PP	1;1
cplx_HETERODIMER_Mtmr2_Mtmr12	c	protein_Mtmr12;protein_Mtmr2	Mtmr12;Mtmr2	PI35P3P;PI3PP	1;1
cplx_HETERODIMER_Mtmr2_Sbf1	c	protein_Mtmr2;protein_Sbf1	Mtmr2;Sbf1	PI35P3P;PI3PP	1;1
cplx_HETERODIMER_Pip4k2ab	c	protein_Pip4k2a;protein_Pip4k2b	Pip4k2a;Pip4k2b	PI5P4KA;PI5P4KG	1;1
cplx_HETERODIMER_Pip4k2ac	c	protein_Pip4k2a;protein_Pip4k2c	Pip4k2a;Pip4k2c	PI5P4KA;PI5P4KG	1;1
cplx_HETERODIMER_Pip4k2bc	c	protein_Pip4k2b;protein_Pip4k2c	Pip4k2b;Pip4k2c	PI5P4KA;PI5P4KG	1;1
cplx_HETERODIMER_Ppp2ca_Ppp2r1a	c	protein_Ppp2ca;protein_Ppp2r1a	Ppp2ca;Ppp2r1a	PROTSPP;PROTTPP	1;1
cplx_HETERODIMER_Ppp2ca_Ppp2r1b	c	protein_Ppp2ca;protein_Ppp2r1b	Ppp2ca;Ppp2r1b	PROTSPP;PROTTPP	1;1
cplx_HETERODIMER_Ppp2cb_Ppp2r1a	c	protein_Ppp2cb;protein_Ppp2r1a	Ppp2cb;Ppp2r1a	PROTSPP;PROTTPP	1;1
cplx_HETERODIMER_Ppp2cb_Ppp2r1b	c	protein_Ppp2cb;protein_Ppp2r1b	Ppp2cb;Ppp2r1b	PROTSPP;PROTTPP	1;1
cplx_HETERODIMER_Rnf123_Ubac1	c	protein_Rnf123;protein_Ubac1	Rnf123;Ubac1	UBIQE2CONJT	1;1
cplx_HETERODIMER_Slc40a1_Cp	pm	protein_Cp;protein_Slc40a1	Cp;Slc40a1	FEROXe	1;1
