enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_ADMARGORNtex_rev	cplx_MONOMER_SLC7A1	159872.28671324835	pc	ADMARGORNtex	admarg__L_e + orn__L_c <-- admarg__L_c + orn__L_e
enzyme_ADMARGt_L_fwd	cplx_MONOMER_SLC7A1	159872.28671324835	pc	ADMARGt_L	admarg__L_e --> admarg__L_c
enzyme_ADMARGt_L_rev	cplx_MONOMER_SLC7A1	0	pc	ADMARGt_L	admarg__L_e <-- admarg__L_c
enzyme_ADNCYC_fwd	cplx_MONOMER_ADCY10	343001.7050763118	pc	ADNCYC	atp_c --> 35camp_c + ppi_c
enzyme_ADNCYC_fwd	cplx_MONOMER_ADCY2	251309.5582998287	pc	ADNCYC	atp_c --> 35camp_c + ppi_c
enzyme_ADNCYC_rev	cplx_MONOMER_ADCY10	0	pc	ADNCYC	atp_c <-- 35camp_c + ppi_c
enzyme_ADNCYC_rev	cplx_MONOMER_ADCY2	0	pc	ADNCYC	atp_c <-- 35camp_c + ppi_c
enzyme_ADNK1_fwd	cplx_MONOMER_ADK	108914.64214797036	pc	ADNK1	adn_c + atp_c --> adp_c + amp_c + h_c
enzyme_ADNK1_rev	cplx_MONOMER_ADK	0	pc	ADNK1	adn_c + atp_c <-- adp_c + amp_c + h_c
enzyme_ADNt_fwd	cplx_MONOMER_SLC29A1	127893.58748395396	pc	ADNt	adn_c --> adn_e
enzyme_ADNt_rev	cplx_MONOMER_SLC29A1	127893.58748395396	pc	ADNt	adn_c <-- adn_e
enzyme_ADPGK_fwd	cplx_MONOMER_ADPGK	135174.68917857486	pc	ADPGK	adp_c + glc__D_c --> amp_c + g6p_c + h_c
enzyme_ADPGK_rev	cplx_MONOMER_ADPGK	0	pc	ADPGK	adp_c + glc__D_c <-- amp_c + g6p_c + h_c
enzyme_ADPGKa_fwd	cplx_MONOMER_ADPGK	135174.68917857486	pc	ADPGKa	adp_c + glc__aD_c --> amp_c + g6p__aD_c + h_c
