model	slack	objective	relaxation	NaKt
RBC_GEM_PC_Mean_D10	0.07805857644949593	-0.7809507407571763	0.011579142824098975	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.08187003797711255	-0.7774664323824076	0.010996405286104986	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.08586760639569851	-0.7738119914235619	0.010440797107784469	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.09006036897390785	-0.7699791106089924	0.009911055281165053	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.0944578566955691	-0.765959077037748	0.009405975597639959	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.09907006592550838	-0.7617427523734108	0.00892440991056219	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.10390748113327644	-0.7573205520708415	0.008465263525278714	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.10898109872643456	-0.752682423588598	0.008027492710671522	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.11430245204757736	-0.7478178235375113	0.007610102326549241	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.11988363759191618	-0.7427156937134602	0.00721214356149527	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.12573734250502036	-0.7373644359598748	0.006832711776030646	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.1318768734232241	-0.7317518858028162	0.006470944446188452	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.13831618672225932	-0.7258652847987084	0.006126019202825167	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.14506992024287516	-0.7196912515318554	0.0057971519622119355	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.15215342656556463	-0.713215751195819	0.005483595143656181	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.15958280791003376	-0.7064240636895123	0.005184635970101881	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.1673749527387532	-0.69930075015548	0.004899594847845543	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.1755475741477943	-0.6918296178843011	0.004627823821684323	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.184119250132222	-0.6839936835053391	0.0043687051019850225	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.19310946581757482	-0.6757751343801595	0.004121649660325197	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.20253865775343483	-0.6671552881108569	0.0038860958905143133	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.2124282603697701	-0.6581145500712484	0.0036615083319511956	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.22280075470166172	-0.6486323688643856	0.003447376452415414	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.23367971949317032	-0.6386871896051405	0.003243213487525985	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.24508988479651456	-0.6282564049216612	0.00304855533422901	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.25705718818840156	-0.6173163035643161	0.002862959495799117	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.26960883373130085	-0.6058420165053056	0.0026860040759562965	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.2827733538136947	-0.5938074604064083	0.0025172868198116848	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.2965806740098728	-0.581185278326366	0.002356424199462158	0.09990079596011725
