reactions	references
EHGLAT
G5SAD
GACMTR	pubmed:10516995;pubmed:27646145;pubmed:33730845
GHBDHy
GLYAMDTRc	pubmed:27646145;pubmed:33730845
HPROy	pubmed:2722838;pubmed:6893152;pubmed:6894153
L4HGSA
N1ASPMDOX	pubmed:12398765;pubmed:23330127;pubmed:33730845
N1SPRMOX	pubmed:12398765;pubmed:23330127
NABTNO	pubmed:30914451
NOS1	pubmed:32857630
NOS2	pubmed:32857630
ORNDC	pubmed:14621069;pubmed:27491795;pubmed:30239107;pubmed:31249027;pubmed:33730845
P5CRx	pubmed:2722838;pubmed:6893152;pubmed:6894153
P5CRy	pubmed:2722838;pubmed:6893152;pubmed:6894153
PYRRLHYD
SMOX	pubmed:12398765;pubmed:33730845
SPMDACT	pubmed:33730845
SPMDOX	pubmed:12398765;pubmed:23330127
SPMS	pubmed:14621069;pubmed:27491795;pubmed:33730845
SPRMACT	pubmed:33730845
SPRMS	pubmed:14621069;pubmed:27491795;pubmed:33730845
UREAHYDL
ASCBCU2R	pubmed:14752116;pubmed:16549536;pubmed:18243141;pubmed:9164668
ASCBFE3R	pubmed:14752116;pubmed:16549536;pubmed:18243141;pubmed:9164668
ASCBO2SX	pubmed:14752116
ASCBOH1R	pubmed:14752116
CYTB5ASCBR	pubmed:14752116
DASCBH	pubmed:14752116
DOGULND1	pubmed:14752116
DOGULND2	pubmed:14752116
DOGULNO1	pubmed:14752116
DOGULNO2	pubmed:14752116
GLACOx
GTHDH	pubmed:14752116;pubmed:36643550;pubmed:518602;pubmed:8660320;pubmed:8904295
LIPTASCBR	pubmed:8388377
MDHDASCBDP	pubmed:14752116;pubmed:8904295;pubmed:9405334
MDHDASCBRy	pubmed:14752116;pubmed:9667500
MERCPURMT	pubmed:12096148;pubmed:657528
MERCPURPRT	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148;pubmed:16732723;pubmed:2141093;pubmed:2630803
MTMERCPURPRT	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148;pubmed:16732723;pubmed:2141093;pubmed:2630803
THGDPK
THGMPK
THIOGMPMT	pubmed:12096148;pubmed:657528
THIOGMPS	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148
THIOGMPS2	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148
THIOGUAPRT	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148;pubmed:16732723;pubmed:2141093;pubmed:2630803;pubmed:4072092
THIOIMPD	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148;pubmed:30451390;pubmed:5024037;pubmed:7586576
THIOIMPMT	pubmed:12096148;pubmed:657528
6HOPTHPDH	pubmed:10727395;pubmed:2079837;pubmed:2762302
6LTHPI	pubmed:10727395;pubmed:2079837;pubmed:2762302
6PTHPDH	pubmed:10727395;pubmed:2079837;pubmed:21910479;pubmed:2762302;pubmed:8070312
