	metabolites	references
610	FAcrn_hs_16_9Z_c	
611	FAcrn_hs_17_0_c	
612	FAcrn_hs_17_10Z_c	
613	FAcrn_hs_17_9Z_c	
614	FAcrn_hs_18_0_c	
615	FAcrn_hs_18_11Z_c	
616	FAcrn_hs_18_13Z_c	
617	FAcrn_hs_18_2E_c	
618	FAcrn_hs_18_3OH__S_c	
619	FAcrn_hs_18_6Z9Z12Z15Z_c	
620	FAcrn_hs_18_6Z9Z12Z_c	
621	FAcrn_hs_18_6Z9Z_c	
622	FAcrn_hs_18_7Z_c	
623	FAcrn_hs_18_9E_c	
624	FAcrn_hs_18_9Z12Z15Z_c	
625	FAcrn_hs_18_9Z12Z3OH__S_c	
626	FAcrn_hs_18_9Z12Z_c	
627	FAcrn_hs_18_9Z3OH__S_c	
628	FAcrn_hs_18_9Z_c	
629	FAcrn_hs_19_0_c	
630	FAcrn_hs_20_0_c	
631	FAcrn_hs_20_11Z14Z17Z_c	
632	FAcrn_hs_20_11Z14Z_c	
633	FAcrn_hs_20_11Z_c	
634	FAcrn_hs_20_13Z_c	
635	FAcrn_hs_20_5Z8Z11Z14Z17Z_c	
636	FAcrn_hs_20_5Z8Z11Z14Z_c	
637	FAcrn_hs_20_5Z8Z11Z_c	
638	FAcrn_hs_20_8Z11Z14Z17Z_c	
639	FAcrn_hs_20_8Z11Z14Z_c	
640	FAcrn_hs_20_8Z11Z_c	
641	FAcrn_hs_20_9Z_c	
642	FAcrn_hs_21_0_c	
643	FAcrn_hs_22_0_c	
644	FAcrn_hs_22_10Z13Z16Z19Z_c	
645	FAcrn_hs_22_10Z13Z16Z_c	
646	FAcrn_hs_22_11Z_c	
647	FAcrn_hs_22_13Z16Z19Z_c	
648	FAcrn_hs_22_13Z16Z_c	
649	FAcrn_hs_22_13Z_c	
650	FAcrn_hs_22_4Z7Z10Z13Z16Z19Z_c	
651	FAcrn_hs_22_4Z7Z10Z13Z16Z_c	
652	FAcrn_hs_22_7Z10Z13Z16Z19Z_c	
653	FAcrn_hs_22_7Z10Z13Z16Z_c	
654	FAcrn_hs_23_0_c	
655	FAcrn_hs_24_0_c	
656	FAcrn_hs_24_12Z15Z18Z21Z_c	
657	FAcrn_hs_24_15Z_c	
658	FAcrn_hs_24_6Z9Z12Z15Z18Z21Z_c	
659	FAcrn_hs_24_6Z9Z12Z15Z18Z_c	
660	FAcrn_hs_24_9Z12Z15Z18Z21Z_c	
661	FAcrn_hs_24_9Z12Z15Z18Z_c	
662	FAcrn_hs_26_0_c	
663	FAcrn_hs_26_17Z_c	
664	FAcrn_hs_3_0_c	
665	FAcrn_hs_3_2E_c	
666	FAcrn_hs_3_3OH__S_c	
667	FAcrn_hs_4_0_c	
668	FAcrn_hs_4_2E_c	
669	FAcrn_hs_4_3OH__R_c	
670	FAcrn_hs_5_0_c	
671	FAcrn_hs_6_0_c	
672	FAcrn_hs_6_2E_c	
673	FAcrn_hs_6_3OH__S_c	
674	FAcrn_hs_7_0_c	
675	FAcrn_hs_7_3OH__S_c	
676	FAcrn_hs_8_0_c	
677	FAcrn_hs_8_2E_c	
678	FAcrn_hs_8_3OH__S_c	
679	FAcrn_hs_9_0_c	
680	FAcrn_hs_9_3OH__S_c	
681	Lcyst_c	
682	N1aspmd_c	
683	N1sprm_c	
684	PPP2CA_leu__L_c	
685	PPP2CA_leumeo_c	
