	genes	drugbank	pubchem.compound
30	AKR1B1	DB00143;DB00157;DB00605;DB00694;DB00997;DB01039;DB01689;DB02007;DB02020;DB02021;DB02101;DB02132;DB02383;DB02518;DB02712;DB02834;DB02994;DB03461;DB04272;DB05327;DB05383;DB05533;DB06077;DB06246;DB07028;DB07030;DB07063;DB07093;DB07139;DB07187;DB07450;DB07498;DB07999;DB08000;DB08084;DB08098;DB08449;DB08772;DB11859;DB16707	124886;153948;1548887;2146;262961;30323;311;31703;3339;44241743;5472495;62770
31	AKR1C3	DB00157;DB00328;DB00776;DB00959;DB00997;DB01039;DB01536;DB01561;DB01698;DB02056;DB02266;DB02901;DB03461;DB06077;DB07700;DB09074;DB13124;DB13751	10635;14982;23680530;23725625;31703;3339;34312;3715;44241743;5280805;5877;6741
32	ALAD	DB00855;DB02068;DB02239;DB02260;DB02272;DB02878;DB04560;DB04781	123608;137
33	ALDH1A1	DB00157;DB00162;DB00755;DB04447;DB09462	444795;445354;638034;753
34	ALDH3A1	DB00157	
35	ALDH3B1	DB00157	
36	ALDH9A1	DB00157	
37	ALDOA	DB01593;DB02512;DB04326;DB04733;DB08240;DB11638;DB14487;DB14533;DB14548	107770;11192;668
38	ALPL	DB00165;DB01143;DB09338;DB09498	1054;2141;5388879;6019
39	ANPEP	DB00973;DB06196;DB06773;DB16627	150311;6918172;6918173
40	APRT	DB00131;DB00173;DB01632;DB03506;DB04272	311
41	AQP1	DB00819;DB02451;DB09338	1986
42	AQP3	DB09020;DB11365	2391
43	ARF6	DB01864;DB04315;DB08231	
44	ARG1	DB00129;DB01983;DB02381;DB02499;DB02689;DB03144;DB03731;DB03904;DB04197;DB04530;DB04585;DB04648;DB06757	1176
45	ASL	DB00125;DB02267;DB03814	
46	ATIC	DB00116;DB00563;DB00642;DB01700;DB01972;DB02309;DB03442;DB04057	126941;446556;6804;6918197
47	ATP1A1	DB00390;DB00511;DB00774;DB00903;DB01021;DB01078;DB01092;DB01158;DB01188;DB01244;DB01250;DB01345;DB01370;DB01378;DB01396;DB01430;DB06157;DB09020;DB09479;DB13620;DB13749;DB13996;DB14498;DB14499;DB14500;DB14514;DB14515;DB14517;DB14518;DB16690	2391;24507;2724385;3278;3647;439501;441207;45480172;50088;517044;5560;8896
48	ATP1A3	DB01092;DB01250;DB09020;DB09479;DB16690	2391;439501
49	ATP1B1	DB01250;DB09020;DB09479;DB16690	2391
50	ATP1B2	DB01250;DB09020;DB09479;DB16690	2391
51	ATP1B3	DB01250;DB09020;DB09479;DB16690	2391
52	ATP2B1	DB00867;DB01159;DB01189;DB01236	3040551;42113;5206
