genes	uniprot	hgnc.symbol	drugcentral
SCN9A	Q15858	SCN9A	180;323;489;1540;1579;1700;1794;1797;1999;2152;2403;2610;4310;4921
SHMT1	P34896	SHMT1	1811;2073;2836
SIRT2	Q8IXJ6	SIRT2	1906;2966
SLC12A2	P55011	SLC12A2	427;1258;2201
SLC19A1	P41440	SLC19A1	1751;2073;2353;4117
SLC19A2	O60779	SLC19A2	2832
SLC1A1	P43005	SLC1A1	1310;1550
SLC25A4	P12235	SLC25A4	690
SLC25A5	P05141	SLC25A5	690
SLC25A6	P12236	SLC25A6	690
SLC29A1	Q99808	SLC29A1	893;924;1580;4184
SLC2A1	P11166	SLC2A1	729;1328
SLC2A2	P11168	SLC2A2	3514
SLC6A9	P48067	SLC6A9	1319
SLC7A5	Q01650	SLC7A5	1264;1377;1557;1567;2144;2255;2786;4128
SLC9A1	P19634	SLC9A1	158
SLK	Q9H2G2	SLK	785;1045;1282;1548;2459;2544;3533;4118;4178;4187;4225;4318;4359;4903;5231;5252;5341;5347
SMPD1	P17405	SMPD1	621;1427
SORD	Q00796	SORD	1021;3514
STK11	Q15831	STK11	2544;3533;4903;5231;5347
SYK	P43405	SYK	785;1423;3514;4118;4187;4359;4866;5231;5252;5280;5347;5459
SYNJ1	O43426	SYNJ1	2335
THTPA	Q9BU02	THTPA	2832
TKT	P29401	TKT	2832
TPK1	Q9H3S4	TPK1	2832
TPMT	P51580	TPMT	269;1708
TRPC6	Q9Y210	TRPC6	672;1968
TRPV2	Q9Y5S1	TRPV2	5288
TXNRD1	Q16881	TXNRD1	244;1763;4122;4349;4706
UMPS	P11172	UMPS	2002
VCP	P55072	VCP	719;1364;2817
YARS1	P54577	YARS	3064
YES1	P07947	YES1	785;1045;1932;2544;4118;4178;4187;4225;4359;4810;4903;5231;5252;5347;5459
